"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Sex","Sex Code","Single Race 6","Single Race 6 Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Other bacterial diseases","A30-A49","2018","2018","Male","M","Black or African American","2054-5","45-54 years","45-54",104,2566124,4.1
,"Other bacterial diseases","A30-A49","2018","2018","Male","M","Black or African American","2054-5","55-64 years","55-64",271,2335386,11.6
,"Other bacterial diseases","A30-A49","2018","2018","Male","M","Black or African American","2054-5","65-74 years","65-74",304,1318921,23.0
,"Other bacterial diseases","A30-A49","2018","2018","Male","M","Black or African American","2054-5","75-84 years","75-84",265,524872,50.5
,"Other bacterial diseases","A30-A49","2018","2018","Male","M","Black or African American","2054-5","85+ years","85+",136,156764,86.8
,"Other bacterial diseases","A30-A49","2018","2018","Male","M","White","2106-3","25-34 years","25-34",71,17139924,0.4
,"Other bacterial diseases","A30-A49","2018","2018","Male","M","White","2106-3","35-44 years","35-44",207,15690205,1.3
,"Other bacterial diseases","A30-A49","2018","2018","Male","M","White","2106-3","45-54 years","45-54",517,16139044,3.2
,"Other bacterial diseases","A30-A49","2018","2018","Male","M","White","2106-3","55-64 years","55-64",1277,16607004,7.7
,"Other bacterial diseases","A30-A49","2018","2018","Male","M","White","2106-3","65-74 years","65-74",1989,12015961,16.6
,"Other bacterial diseases","A30-A49","2018","2018","Male","M","White","2106-3","75-84 years","75-84",2139,5803807,36.9
,"Other bacterial diseases","A30-A49","2018","2018","Male","M","White","2106-3","85+ years","85+",1680,2035102,82.6
,"Other bacterial diseases","A30-A49","2018","2018","Male","M","More than one race","M","65-74 years","65-74",10,138549,Unreliable
,"Other bacterial diseases","A30-A49","2019","2019","Female","F","American Indian or Alaska Native","1002-5","45-54 years","45-54",12,245490,Unreliable
,"Other bacterial diseases","A30-A49","2019","2019","Female","F","American Indian or Alaska Native","1002-5","55-64 years","55-64",18,227860,Unreliable
,"Other bacterial diseases","A30-A49","2019","2019","Female","F","American Indian or Alaska Native","1002-5","65-74 years","65-74",22,138030,15.9
,"Other bacterial diseases","A30-A49","2019","2019","Female","F","American Indian or Alaska Native","1002-5","75-84 years","75-84",16,60279,Unreliable
,"Other bacterial diseases","A30-A49","2019","2019","Female","F","Asian","A","45-54 years","45-54",11,1429034,Unreliable
,"Other bacterial diseases","A30-A49","2019","2019","Female","F","Asian","A","55-64 years","55-64",20,1180969,1.7
,"Other bacterial diseases","A30-A49","2019","2019","Female","F","Asian","A","65-74 years","65-74",47,850400,5.5
,"Other bacterial diseases","A30-A49","2019","2019","Female","F","Asian","A","75-84 years","75-84",77,405278,19.0
,"Other bacterial diseases","A30-A49","2019","2019","Female","F","Asian","A","85+ years","85+",92,184150,50.0
,"Other bacterial diseases","A30-A49","2019","2019","Female","F","Black or African American","2054-5","25-34 years","25-34",14,3515464,Unreliable
,"Other bacterial diseases","A30-A49","2019","2019","Female","F","Black or African American","2054-5","35-44 years","35-44",41,3006446,1.4
,"Other bacterial diseases","A30-A49","2019","2019","Female","F","Black or African American","2054-5","45-54 years","45-54",111,2876648,3.9
,"Other bacterial diseases","A30-A49","2019","2019","Female","F","Black or African American","2054-5","55-64 years","55-64",247,2800859,8.8
,"Other bacterial diseases","A30-A49","2019","2019","Female","F","Black or African American","2054-5","65-74 years","65-74",281,1835359,15.3
,"Other bacterial diseases","A30-A49","2019","2019","Female","F","Black or African American","2054-5","75-84 years","75-84",271,867300,31.2
,"Other bacterial diseases","A30-A49","2019","2019","Female","F","Black or African American","2054-5","85+ years","85+",233,367289,63.4
,"Other bacterial diseases","A30-A49","2019","2019","Female","F","White","2106-3","25-34 years","25-34",61,16321230,0.4
,"Other bacterial diseases","A30-A49","2019","2019","Female","F","White","2106-3","35-44 years","35-44",158,15394774,1.0
,"Other bacterial diseases","A30-A49","2019","2019","Female","F","White","2106-3","45-54 years","45-54",382,15756904,2.4
,"Other bacterial diseases","A30-A49","2019","2019","Female","F","White","2106-3","55-64 years","55-64",961,17414888,5.5
,"Other bacterial diseases","A30-A49","2019","2019","Female","F","White","2106-3","65-74 years","65-74",1617,13765649,11.7
,"Other bacterial diseases","A30-A49","2019","2019","Female","F","White","2106-3","75-84 years","75-84",1883,7551472,24.9
,"Other bacterial diseases","A30-A49","2019","2019","Female","F","White","2106-3","85+ years","85+",1805,3619254,49.9
,"Other bacterial diseases","A30-A49","2019","2019","Female","F","More than one race","M","65-74 years","65-74",14,170534,Unreliable
,"Other bacterial diseases","A30-A49","2019","2019","Female","F","More than one race","M","75-84 years","75-84",11,77167,Unreliable
,"Other bacterial diseases","A30-A49","2019","2019","Male","M","American Indian or Alaska Native","1002-5","35-44 years","35-44",10,290505,Unreliable
,"Other bacterial diseases","A30-A49","2019","2019","Male","M","American Indian or Alaska Native","1002-5","45-54 years","45-54",15,250285,Unreliable
,"Other bacterial diseases","A30-A49","2019","2019","Male","M","American Indian or Alaska Native","1002-5","55-64 years","55-64",21,214611,9.8
,"Other bacterial diseases","A30-A49","2019","2019","Male","M","American Indian or Alaska Native","1002-5","65-74 years","65-74",13,122177,Unreliable
,"Other bacterial diseases","A30-A49","2019","2019","Male","M","American Indian or Alaska Native","1002-5","75-84 years","75-84",13,47808,Unreliable
,"Other bacterial diseases","A30-A49","2019","2019","Male","M","American Indian or Alaska Native","1002-5","85+ years","85+",13,13205,Unreliable
,"Other bacterial diseases","A30-A49","2019","2019","Male","M","Asian","A","45-54 years","45-54",23,1249824,1.8
,"Other bacterial diseases","A30-A49","2019","2019","Male","M","Asian","A","55-64 years","55-64",32,985079,3.2
,"Other bacterial diseases","A30-A49","2019","2019","Male","M","Asian","A","65-74 years","65-74",75,665448,11.3
,"Other bacterial diseases","A30-A49","2019","2019","Male","M","Asian","A","75-84 years","75-84",89,314268,28.3
,"Other bacterial diseases","A30-A49","2019","2019","Male","M","Asian","A","85+ years","85+",73,109926,66.4
,"Other bacterial diseases","A30-A49","2019","2019","Male","M","Black or African American","2054-5","25-34 years","25-34",20,3492900,0.6
,"Other bacterial diseases","A30-A49","2019","2019","Male","M","Black or African American","2054-5","35-44 years","35-44",42,2723729,1.5
,"Other bacterial diseases","A30-A49","2019","2019","Male","M","Black or African American","2054-5","45-54 years","45-54",102,2529998,4.0
,"Other bacterial diseases","A30-A49","2019","2019","Male","M","Black or African American","2054-5","55-64 years","55-64",278,2369016,11.7
,"Other bacterial diseases","A30-A49","2019","2019","Male","M","Black or African American","2054-5","65-74 years","65-74",307,1380913,22.2
,"Other bacterial diseases","A30-A49","2019","2019","Male","M","Black or African American","2054-5","75-84 years","75-84",288,549833,52.4
,"Other bacterial diseases","A30-A49","2019","2019","Male","M","Black or African American","2054-5","85+ years","85+",142,161831,87.7
,"Other bacterial diseases","A30-A49","2019","2019","Male","M","White","2106-3","25-34 years","25-34",79,17169835,0.5
,"Other bacterial diseases","A30-A49","2019","2019","Male","M","White","2106-3","35-44 years","35-44",198,15809201,1.3
,"Other bacterial diseases","A30-A49","2019","2019","Male","M","White","2106-3","45-54 years","45-54",503,15781686,3.2
,"Other bacterial diseases","A30-A49","2019","2019","Male","M","White","2106-3","55-64 years","55-64",1243,16638173,7.5
,"Other bacterial diseases","A30-A49","2019","2019","Male","M","White","2106-3","65-74 years","65-74",1859,12362274,15.0
,"Other bacterial diseases","A30-A49","2019","2019","Male","M","White","2106-3","75-84 years","75-84",2074,6018458,34.5
,"Other bacterial diseases","A30-A49","2019","2019","Male","M","White","2106-3","85+ years","85+",1520,2070601,73.4
,"Other bacterial diseases","A30-A49","2019","2019","Male","M","More than one race","M","55-64 years","55-64",16,254100,Unreliable
,"Other bacterial diseases","A30-A49","2019","2019","Male","M","More than one race","M","65-74 years","65-74",11,146848,Unreliable
,"Other bacterial diseases","A30-A49","2019","2019","Male","M","More than one race","M","75-84 years","75-84",13,59384,Unreliable
,"Other bacterial diseases","A30-A49","2020","2020","Female","F","American Indian or Alaska Native","1002-5","35-44 years","35-44",14,276495,Unreliable
,"Other bacterial diseases","A30-A49","2020","2020","Female","F","American Indian or Alaska Native","1002-5","45-54 years","45-54",20,244956,8.2
,"Other bacterial diseases","A30-A49","2020","2020","Female","F","American Indian or Alaska Native","1002-5","55-64 years","55-64",38,231588,16.4
,"Other bacterial diseases","A30-A49","2020","2020","Female","F","American Indian or Alaska Native","1002-5","65-74 years","65-74",32,146082,21.9
,"Other bacterial diseases","A30-A49","2020","2020","Female","F","American Indian or Alaska Native","1002-5","75-84 years","75-84",19,63709,Unreliable
,"Other bacterial diseases","A30-A49","2020","2020","Female","F","Asian","A","45-54 years","45-54",14,1457277,Unreliable
,"Other bacterial diseases","A30-A49","2020","2020","Female","F","Asian","A","55-64 years","55-64",37,1192784,3.1
,"Other bacterial diseases","A30-A49","2020","2020","Female","F","Asian","A","65-74 years","65-74",84,890821,9.4
,"Other bacterial diseases","A30-A49","2020","2020","Female","F","Asian","A","75-84 years","75-84",92,427872,21.5
,"Other bacterial diseases","A30-A49","2020","2020","Female","F","Asian","A","85+ years","85+",101,194827,51.8
,"Other bacterial diseases","A30-A49","2020","2020","Female","F","Black or African American","2054-5","25-34 years","25-34",21,3546510,0.6
,"Other bacterial diseases","A30-A49","2020","2020","Female","F","Black or African American","2054-5","35-44 years","35-44",65,3046227,2.1
,"Other bacterial diseases","A30-A49","2020","2020","Female","F","Black or African American","2054-5","45-54 years","45-54",144,2850662,5.1
,"Other bacterial diseases","A30-A49","2020","2020","Female","F","Black or African American","2054-5","55-64 years","55-64",352,2824910,12.5
,"Other bacterial diseases","A30-A49","2020","2020","Female","F","Black or African American","2054-5","65-74 years","65-74",438,1923090,22.8
,"Other bacterial diseases","A30-A49","2020","2020","Female","F","Black or African American","2054-5","75-84 years","75-84",393,896629,43.8
,"Other bacterial diseases","A30-A49","2020","2020","Female","F","Black or African American","2054-5","85+ years","85+",303,376151,80.6
,"Other bacterial diseases","A30-A49","2020","2020","Female","F","White","2106-3","25-34 years","25-34",74,16321512,0.5
,"Other bacterial diseases","A30-A49","2020","2020","Female","F","White","2106-3","35-44 years","35-44",192,15533913,1.2
,"Other bacterial diseases","A30-A49","2020","2020","Female","F","White","2106-3","45-54 years","45-54",473,15486493,3.1
,"Other bacterial diseases","A30-A49","2020","2020","Female","F","White","2106-3","55-64 years","55-64",1257,17332858,7.3
,"Other bacterial diseases","A30-A49","2020","2020","Female","F","White","2106-3","65-74 years","65-74",2136,14199413,15.0
,"Other bacterial diseases","A30-A49","2020","2020","Female","F","White","2106-3","75-84 years","75-84",2263,7747481,29.2
,"Other bacterial diseases","A30-A49","2020","2020","Female","F","White","2106-3","85+ years","85+",2011,3611728,55.7
,"Other bacterial diseases","A30-A49","2020","2020","Female","F","More than one race","M","55-64 years","55-64",18,290903,Unreliable
,"Other bacterial diseases","A30-A49","2020","2020","Female","F","More than one race","M","65-74 years","65-74",16,181073,Unreliable
,"Other bacterial diseases","A30-A49","2020","2020","Female","F","More than one race","M","75-84 years","75-84",18,81601,Unreliable
,"Other bacterial diseases","A30-A49","2020","2020","Male","M","American Indian or Alaska Native","1002-5","35-44 years","35-44",19,294777,Unreliable
,"Other bacterial diseases","A30-A49","2020","2020","Male","M","American Indian or Alaska Native","1002-5","45-54 years","45-54",25,250264,10.0
,"Other bacterial diseases","A30-A49","2020","2020","Male","M","American Indian or Alaska Native","1002-5","55-64 years","55-64",32,218305,14.7
,"Other bacterial diseases","A30-A49","2020","2020","Male","M","American Indian or Alaska Native","1002-5","65-74 years","65-74",45,128942,34.9
,"Other bacterial diseases","A30-A49","2020","2020","Male","M","American Indian or Alaska Native","1002-5","75-84 years","75-84",19,50759,Unreliable
,"Other bacterial diseases","A30-A49","2020","2020","Male","M","American Indian or Alaska Native","1002-5","85+ years","85+",12,14245,Unreliable
,"Other bacterial diseases","A30-A49","2020","2020","Male","M","Asian","A","35-44 years","35-44",13,1499394,Unreliable
,"Other bacterial diseases","A30-A49","2020","2020","Male","M","Asian","A","45-54 years","45-54",26,1274229,2.0
,"Other bacterial diseases","A30-A49","2020","2020","Male","M","Asian","A","55-64 years","55-64",75,1002002,7.5
,"Other bacterial diseases","A30-A49","2020","2020","Male","M","Asian","A","65-74 years","65-74",141,695521,20.3
,"Other bacterial diseases","A30-A49","2020","2020","Male","M","Asian","A","75-84 years","75-84",122,331575,36.8
,"Other bacterial diseases","A30-A49","2020","2020","Male","M","Asian","A","85+ years","85+",100,118062,84.7
,"Other bacterial diseases","A30-A49","2020","2020","Male","M","Black or African American","2054-5","25-34 years","25-34",36,3548328,1.0
,"Other bacterial diseases","A30-A49","2020","2020","Male","M","Black or African American","2054-5","35-44 years","35-44",70,2773914,2.5
,"Other bacterial diseases","A30-A49","2020","2020","Male","M","Black or African American","2054-5","45-54 years","45-54",199,2502927,8.0
,"Other bacterial diseases","A30-A49","2020","2020","Male","M","Black or African American","2054-5","55-64 years","55-64",415,2391246,17.4
,"Other bacterial diseases","A30-A49","2020","2020","Male","M","Black or African American","2054-5","65-74 years","65-74",595,1446770,41.1
,"Other bacterial diseases","A30-A49","2020","2020","Male","M","Black or African American","2054-5","75-84 years","75-84",404,569933,70.9
,"Other bacterial diseases","A30-A49","2020","2020","Male","M","Black or African American","2054-5","85+ years","85+",210,167252,125.6
,"Other bacterial diseases","A30-A49","2020","2020","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI","55-64 years","55-64",12,39729,Unreliable
,"Other bacterial diseases","A30-A49","2020","2020","Male","M","White","2106-3","25-34 years","25-34",101,17168451,0.6
,"Other bacterial diseases","A30-A49","2020","2020","Male","M","White","2106-3","35-44 years","35-44",280,15964132,1.8
,"Other bacterial diseases","A30-A49","2020","2020","Male","M","White","2106-3","45-54 years","45-54",722,15530076,4.6
,"Other bacterial diseases","A30-A49","2020","2020","Male","M","White","2106-3","55-64 years","55-64",1864,16579452,11.2
,"Other bacterial diseases","A30-A49","2020","2020","Male","M","White","2106-3","65-74 years","65-74",2806,12733573,22.0
,"Other bacterial diseases","A30-A49","2020","2020","Male","M","White","2106-3","75-84 years","75-84",2747,6198581,44.3
,"Other bacterial diseases","A30-A49","2020","2020","Male","M","White","2106-3","85+ years","85+",1731,2092795,82.7
,"Other bacterial diseases","A30-A49","2020","2020","Male","M","More than one race","M","65-74 years","65-74",17,155586,Unreliable
,"Other bacterial diseases","A30-A49","2021","2021","Female","F","American Indian or Alaska Native","1002-5","35-44 years","35-44",18,282463,Unreliable
,"Other bacterial diseases","A30-A49","2021","2021","Female","F","American Indian or Alaska Native","1002-5","45-54 years","45-54",33,246317,13.4
,"Other bacterial diseases","A30-A49","2021","2021","Female","F","American Indian or Alaska Native","1002-5","55-64 years","55-64",46,233600,19.7
,"Other bacterial diseases","A30-A49","2021","2021","Female","F","American Indian or Alaska Native","1002-5","65-74 years","65-74",46,153520,30.0
,"Other bacterial diseases","A30-A49","2021","2021","Female","F","American Indian or Alaska Native","1002-5","75-84 years","75-84",24,65081,36.9
,"Other bacterial diseases","A30-A49","2021","2021","Female","F","American Indian or Alaska Native","1002-5","85+ years","85+",14,23031,Unreliable
,"Other bacterial diseases","A30-A49","2021","2021","Female","F","Asian","A","45-54 years","45-54",23,1495701,1.5
,"Other bacterial diseases","A30-A49","2021","2021","Female","F","Asian","A","55-64 years","55-64",66,1212373,5.4
,"Other bacterial diseases","A30-A49","2021","2021","Female","F","Asian","A","65-74 years","65-74",111,925664,12.0
,"Other bacterial diseases","A30-A49","2021","2021","Female","F","Asian","A","75-84 years","75-84",136,433415,31.4
,"Other bacterial diseases","A30-A49","2021","2021","Female","F","Asian","A","85+ years","85+",144,186873,77.1
,"Other bacterial diseases","A30-A49","2021","2021","Female","F","Black or African American","2054-5","25-34 years","25-34",46,3529649,1.3
,"Other bacterial diseases","A30-A49","2021","2021","Female","F","Black or African American","2054-5","35-44 years","35-44",92,3119548,2.9
,"Other bacterial diseases","A30-A49","2021","2021","Female","F","Black or African American","2054-5","45-54 years","45-54",234,2844994,8.2
,"Other bacterial diseases","A30-A49","2021","2021","Female","F","Black or African American","2054-5","55-64 years","55-64",561,2839733,19.8
,"Other bacterial diseases","A30-A49","2021","2021","Female","F","Black or African American","2054-5","65-74 years","65-74",695,1997072,34.8
,"Other bacterial diseases","A30-A49","2021","2021","Female","F","Black or African American","2054-5","75-84 years","75-84",556,881795,63.1
,"Other bacterial diseases","A30-A49","2021","2021","Female","F","Black or African American","2054-5","85+ years","85+",393,345574,113.7
,"Other bacterial diseases","A30-A49","2021","2021","Female","F","White","2106-3","25-34 years","25-34",140,16163545,0.9
,"Other bacterial diseases","A30-A49","2021","2021","Female","F","White","2106-3","35-44 years","35-44",345,15849465,2.2
,"Other bacterial diseases","A30-A49","2021","2021","Female","F","White","2106-3","45-54 years","45-54",814,15375564,5.3
,"Other bacterial diseases","A30-A49","2021","2021","Female","F","White","2106-3","55-64 years","55-64",2026,17215418,11.8
,"Other bacterial diseases","A30-A49","2021","2021","Female","F","White","2106-3","65-74 years","65-74",3287,14502206,22.7
,"Other bacterial diseases","A30-A49","2021","2021","Female","F","White","2106-3","75-84 years","75-84",3300,7560894,43.6
,"Other bacterial diseases","A30-A49","2021","2021","Female","F","White","2106-3","85+ years","85+",2552,3207653,79.6
,"Other bacterial diseases","A30-A49","2021","2021","Female","F","More than one race","M","35-44 years","35-44",10,508790,Unreliable
,"Other bacterial diseases","A30-A49","2021","2021","Female","F","More than one race","M","55-64 years","55-64",18,296239,Unreliable
,"Other bacterial diseases","A30-A49","2021","2021","Female","F","More than one race","M","65-74 years","65-74",24,191728,12.5
,"Other bacterial diseases","A30-A49","2021","2021","Female","F","More than one race","M","75-84 years","75-84",19,84873,Unreliable
,"Other bacterial diseases","A30-A49","2021","2021","Female","F","More than one race","M","85+ years","85+",13,32505,Unreliable
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","American Indian or Alaska Native","1002-5","35-44 years","35-44",31,305904,10.1
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","American Indian or Alaska Native","1002-5","45-54 years","45-54",43,257502,16.7
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","American Indian or Alaska Native","1002-5","55-64 years","55-64",62,226284,27.4
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","American Indian or Alaska Native","1002-5","65-74 years","65-74",58,137092,42.3
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","American Indian or Alaska Native","1002-5","75-84 years","75-84",31,52698,58.8
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","Asian","A","25-34 years","25-34",12,1597991,Unreliable
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","Asian","A","35-44 years","35-44",23,1567113,1.5
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","Asian","A","45-54 years","45-54",54,1335923,4.0
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","Asian","A","55-64 years","55-64",90,1048245,8.6
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","Asian","A","65-74 years","65-74",174,737619,23.6
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","Asian","A","75-84 years","75-84",182,339262,53.6
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","Asian","A","85+ years","85+",116,114455,101.3
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","Black or African American","2054-5","25-34 years","25-34",39,3512412,1.1
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","Black or African American","2054-5","35-44 years","35-44",110,2895495,3.8
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","Black or African American","2054-5","45-54 years","45-54",270,2551513,10.6
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","Black or African American","2054-5","55-64 years","55-64",592,2464580,24.0
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","Black or African American","2054-5","65-74 years","65-74",788,1535044,51.3
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","Black or African American","2054-5","75-84 years","75-84",518,568239,91.2
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","Black or African American","2054-5","85+ years","85+",244,154714,157.7
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI","45-54 years","45-54",14,51429,Unreliable
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI","55-64 years","55-64",19,41721,Unreliable
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI","65-74 years","65-74",17,24632,Unreliable
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI","75-84 years","75-84",10,9823,Unreliable
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","White","2106-3","25-34 years","25-34",199,16832245,1.2
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","White","2106-3","35-44 years","35-44",599,16549888,3.6
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","White","2106-3","45-54 years","45-54",1360,15783434,8.6
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","White","2106-3","55-64 years","55-64",3140,16915836,18.6
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","White","2106-3","65-74 years","65-74",4404,13268502,33.2
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","White","2106-3","75-84 years","75-84",4091,6131986,66.7
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","White","2106-3","85+ years","85+",2303,1870291,123.1
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","More than one race","M","35-44 years","35-44",10,469103,Unreliable
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","More than one race","M","45-54 years","45-54",23,332158,6.9
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","More than one race","M","55-64 years","55-64",31,266652,11.6
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","More than one race","M","65-74 years","65-74",23,166197,13.8
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","More than one race","M","75-84 years","75-84",27,66506,40.6
,"Other bacterial diseases","A30-A49","2021","2021","Male","M","More than one race","M","85+ years","85+",12,19588,Unreliable
,"Other bacterial diseases","A30-A49","2022","2022","Female","F","American Indian or Alaska Native","1002-5","35-44 years","35-44",16,281327,Unreliable
,"Other bacterial diseases","A30-A49","2022","2022","Female","F","American Indian or Alaska Native","1002-5","45-54 years","45-54",31,243943,12.7
,"Other bacterial diseases","A30-A49","2022","2022","Female","F","American Indian or Alaska Native","1002-5","55-64 years","55-64",34,229957,14.8
,"Other bacterial diseases","A30-A49","2022","2022","Female","F","American Indian or Alaska Native","1002-5","65-74 years","65-74",58,157955,36.7
,"Other bacterial diseases","A30-A49","2022","2022","Female","F","American Indian or Alaska Native","1002-5","75-84 years","75-84",51,70944,71.9
,"Other bacterial diseases","A30-A49","2022","2022","Female","F","American Indian or Alaska Native","1002-5","85+ years","85+",14,26554,Unreliable
,"Other bacterial diseases","A30-A49","2022","2022","Female","F","Asian","A","45-54 years","45-54",28,1535078,1.8
,"Other bacterial diseases","A30-A49","2022","2022","Female","F","Asian","A","55-64 years","55-64",53,1228954,4.3
,"Other bacterial diseases","A30-A49","2022","2022","Female","F","Asian","A","65-74 years","65-74",112,958031,11.7
