"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Five-Year Age Groups","Five-Year Age Groups Code","Sex","Sex Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate
,"2018","2018","Renal failure","N17-N19","65-69 years","65-69","Male","M","More than one race","M",11,81762,Unreliable
,"2018","2018","Renal failure","N17-N19","70-74 years","70-74","Female","F","American Indian or Alaska Native","1002-5",33,53866,61.3
,"2018","2018","Renal failure","N17-N19","70-74 years","70-74","Female","F","Asian","A",78,340247,22.9
,"2018","2018","Renal failure","N17-N19","70-74 years","70-74","Female","F","Black or African American","2054-5",480,722317,66.5
,"2018","2018","Renal failure","N17-N19","70-74 years","70-74","Female","F","White","2106-3",2585,6001102,43.1
,"2018","2018","Renal failure","N17-N19","70-74 years","70-74","Female","F","More than one race","M",14,67485,Unreliable
,"2018","2018","Renal failure","N17-N19","70-74 years","70-74","Male","M","American Indian or Alaska Native","1002-5",27,47373,57.0
,"2018","2018","Renal failure","N17-N19","70-74 years","70-74","Male","M","Asian","A",114,268291,42.5
,"2018","2018","Renal failure","N17-N19","70-74 years","70-74","Male","M","Black or African American","2054-5",501,527361,95.0
,"2018","2018","Renal failure","N17-N19","70-74 years","70-74","Male","M","White","2106-3",3527,5302945,66.5
,"2018","2018","Renal failure","N17-N19","70-74 years","70-74","Male","M","More than one race","M",21,56787,37.0
,"2018","2018","Renal failure","N17-N19","75-79 years","75-79","Female","F","American Indian or Alaska Native","1002-5",17,34620,Unreliable
,"2018","2018","Renal failure","N17-N19","75-79 years","75-79","Female","F","Asian","A",97,228632,42.4
,"2018","2018","Renal failure","N17-N19","75-79 years","75-79","Female","F","Black or African American","2054-5",486,496165,98.0
,"2018","2018","Renal failure","N17-N19","75-79 years","75-79","Female","F","White","2106-3",3040,4313074,70.5
,"2018","2018","Renal failure","N17-N19","75-79 years","75-79","Female","F","More than one race","M",14,44144,Unreliable
,"2018","2018","Renal failure","N17-N19","75-79 years","75-79","Male","M","American Indian or Alaska Native","1002-5",29,28596,101.4
,"2018","2018","Renal failure","N17-N19","75-79 years","75-79","Male","M","Asian","A",129,181752,71.0
,"2018","2018","Renal failure","N17-N19","75-79 years","75-79","Male","M","Black or African American","2054-5",443,329086,134.6
,"2018","2018","Renal failure","N17-N19","75-79 years","75-79","Male","M","White","2106-3",3960,3565466,111.1
,"2018","2018","Renal failure","N17-N19","75-79 years","75-79","Male","M","More than one race","M",11,34851,Unreliable
,"2018","2018","Renal failure","N17-N19","80-84 years","80-84","Female","F","American Indian or Alaska Native","1002-5",24,22098,108.6
,"2018","2018","Renal failure","N17-N19","80-84 years","80-84","Female","F","Asian","A",131,155594,84.2
,"2018","2018","Renal failure","N17-N19","80-84 years","80-84","Female","F","Black or African American","2054-5",483,336470,143.5
,"2018","2018","Renal failure","N17-N19","80-84 years","80-84","Female","F","White","2106-3",3507,2990755,117.3
,"2018","2018","Renal failure","N17-N19","80-84 years","80-84","Female","F","More than one race","M",22,28277,77.8
,"2018","2018","Renal failure","N17-N19","80-84 years","80-84","Male","M","American Indian or Alaska Native","1002-5",29,16134,179.7
,"2018","2018","Renal failure","N17-N19","80-84 years","80-84","Male","M","Asian","A",140,116509,120.2
,"2018","2018","Renal failure","N17-N19","80-84 years","80-84","Male","M","Black or African American","2054-5",403,195786,205.8
,"2018","2018","Renal failure","N17-N19","80-84 years","80-84","Male","M","White","2106-3",3928,2238341,175.5
,"2018","2018","Renal failure","N17-N19","80-84 years","80-84","Male","M","More than one race","M",15,20677,Unreliable
,"2018","2018","Renal failure","N17-N19","85-89 years","85-89","Female","F","American Indian or Alaska Native","1002-5",20,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","85-89 years","85-89","Female","F","Asian","A",153,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","85-89 years","85-89","Female","F","Black or African American","2054-5",414,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","85-89 years","85-89","Female","F","White","2106-3",4020,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","85-89 years","85-89","Female","F","More than one race","M",20,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","85-89 years","85-89","Male","M","American Indian or Alaska Native","1002-5",16,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","85-89 years","85-89","Male","M","Asian","A",147,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","85-89 years","85-89","Male","M","Black or African American","2054-5",285,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","85-89 years","85-89","Male","M","White","2106-3",3895,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","85-89 years","85-89","Male","M","More than one race","M",10,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","90-94 years","90-94","Female","F","Asian","A",126,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","90-94 years","90-94","Female","F","Black or African American","2054-5",340,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","90-94 years","90-94","Female","F","White","2106-3",3346,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","90-94 years","90-94","Male","M","Asian","A",84,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","90-94 years","90-94","Male","M","Black or African American","2054-5",163,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","90-94 years","90-94","Male","M","White","2106-3",2613,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","90-94 years","90-94","Male","M","More than one race","M",11,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","95-99 years","95-99","Female","F","Asian","A",50,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","95-99 years","95-99","Female","F","Black or African American","2054-5",133,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","95-99 years","95-99","Female","F","White","2106-3",1437,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","95-99 years","95-99","Male","M","Asian","A",35,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","95-99 years","95-99","Male","M","Black or African American","2054-5",56,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","95-99 years","95-99","Male","M","White","2106-3",818,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","100+ years","100+","Female","F","Asian","A",13,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","100+ years","100+","Female","F","Black or African American","2054-5",33,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","100+ years","100+","Female","F","White","2106-3",269,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","100+ years","100+","Male","M","Asian","A",10,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","100+ years","100+","Male","M","Black or African American","2054-5",12,Not Applicable,Not Applicable
,"2018","2018","Renal failure","N17-N19","100+ years","100+","Male","M","White","2106-3",103,Not Applicable,Not Applicable
,"2019","2019","Renal failure","N17-N19","< 1 year","1","Female","F","Black or African American","2054-5",14,280549,Unreliable
,"2019","2019","Renal failure","N17-N19","< 1 year","1","Female","F","White","2106-3",40,1328470,3.0
,"2019","2019","Renal failure","N17-N19","< 1 year","1","Male","M","Black or African American","2054-5",10,290934,Unreliable
,"2019","2019","Renal failure","N17-N19","< 1 year","1","Male","M","White","2106-3",56,1393789,4.0
,"2019","2019","Renal failure","N17-N19","10-14 years","10-14","Male","M","White","2106-3",13,7699102,Unreliable
,"2019","2019","Renal failure","N17-N19","15-19 years","15-19","Female","F","White","2106-3",14,7525358,Unreliable
,"2019","2019","Renal failure","N17-N19","15-19 years","15-19","Male","M","White","2106-3",14,7898407,Unreliable
,"2019","2019","Renal failure","N17-N19","20-24 years","20-24","Female","F","Black or African American","2054-5",13,1626535,Unreliable
,"2019","2019","Renal failure","N17-N19","20-24 years","20-24","Female","F","White","2106-3",32,7695287,0.4
,"2019","2019","Renal failure","N17-N19","20-24 years","20-24","Male","M","Black or African American","2054-5",18,1672322,Unreliable
,"2019","2019","Renal failure","N17-N19","20-24 years","20-24","Male","M","White","2106-3",35,8113485,0.4
,"2019","2019","Renal failure","N17-N19","25-29 years","25-29","Female","F","Black or African American","2054-5",18,1855461,Unreliable
,"2019","2019","Renal failure","N17-N19","25-29 years","25-29","Female","F","White","2106-3",43,8262050,0.5
,"2019","2019","Renal failure","N17-N19","25-29 years","25-29","Male","M","Black or African American","2054-5",33,1890983,1.7
,"2019","2019","Renal failure","N17-N19","25-29 years","25-29","Male","M","White","2106-3",87,8723515,1.0
,"2019","2019","Renal failure","N17-N19","30-34 years","30-34","Female","F","Black or African American","2054-5",28,1660003,1.7
,"2019","2019","Renal failure","N17-N19","30-34 years","30-34","Female","F","White","2106-3",83,8059180,1.0
,"2019","2019","Renal failure","N17-N19","30-34 years","30-34","Male","M","Black or African American","2054-5",50,1601917,3.1
,"2019","2019","Renal failure","N17-N19","30-34 years","30-34","Male","M","White","2106-3",136,8446320,1.6
,"2019","2019","Renal failure","N17-N19","35-39 years","35-39","Female","F","American Indian or Alaska Native","1002-5",14,143431,Unreliable
,"2019","2019","Renal failure","N17-N19","35-39 years","35-39","Female","F","Black or African American","2054-5",62,1565644,4.0
,"2019","2019","Renal failure","N17-N19","35-39 years","35-39","Female","F","White","2106-3",166,7986105,2.1
,"2019","2019","Renal failure","N17-N19","35-39 years","35-39","Male","M","American Indian or Alaska Native","1002-5",18,154058,Unreliable
,"2019","2019","Renal failure","N17-N19","35-39 years","35-39","Male","M","Black or African American","2054-5",49,1438276,3.4
,"2019","2019","Renal failure","N17-N19","35-39 years","35-39","Male","M","White","2106-3",230,8241017,2.8
,"2019","2019","Renal failure","N17-N19","40-44 years","40-44","Female","F","American Indian or Alaska Native","1002-5",14,129445,Unreliable
,"2019","2019","Renal failure","N17-N19","40-44 years","40-44","Female","F","Black or African American","2054-5",68,1440802,4.7
,"2019","2019","Renal failure","N17-N19","40-44 years","40-44","Female","F","White","2106-3",222,7408669,3.0
,"2019","2019","Renal failure","N17-N19","40-44 years","40-44","Male","M","American Indian or Alaska Native","1002-5",12,136447,Unreliable
,"2019","2019","Renal failure","N17-N19","40-44 years","40-44","Male","M","Asian","A",23,692781,3.3
,"2019","2019","Renal failure","N17-N19","40-44 years","40-44","Male","M","Black or African American","2054-5",85,1285453,6.6
,"2019","2019","Renal failure","N17-N19","40-44 years","40-44","Male","M","White","2106-3",350,7568184,4.6
,"2019","2019","Renal failure","N17-N19","45-49 years","45-49","Female","F","American Indian or Alaska Native","1002-5",14,125709,Unreliable
,"2019","2019","Renal failure","N17-N19","45-49 years","45-49","Female","F","Asian","A",15,771131,Unreliable
,"2019","2019","Renal failure","N17-N19","45-49 years","45-49","Female","F","Black or African American","2054-5",111,1451345,7.6
,"2019","2019","Renal failure","N17-N19","45-49 years","45-49","Female","F","White","2106-3",419,7752420,5.4
,"2019","2019","Renal failure","N17-N19","45-49 years","45-49","Male","M","American Indian or Alaska Native","1002-5",10,129414,Unreliable
,"2019","2019","Renal failure","N17-N19","45-49 years","45-49","Male","M","Asian","A",20,676325,3.0
,"2019","2019","Renal failure","N17-N19","45-49 years","45-49","Male","M","Black or African American","2054-5",127,1276791,9.9
,"2019","2019","Renal failure","N17-N19","45-49 years","45-49","Male","M","White","2106-3",589,7809387,7.5
,"2019","2019","Renal failure","N17-N19","50-54 years","50-54","Female","F","American Indian or Alaska Native","1002-5",16,119781,Unreliable
,"2019","2019","Renal failure","N17-N19","50-54 years","50-54","Female","F","Asian","A",14,657903,Unreliable
,"2019","2019","Renal failure","N17-N19","50-54 years","50-54","Female","F","Black or African American","2054-5",195,1425303,13.7
,"2019","2019","Renal failure","N17-N19","50-54 years","50-54","Female","F","White","2106-3",574,8004484,7.2
,"2019","2019","Renal failure","N17-N19","50-54 years","50-54","Male","M","American Indian or Alaska Native","1002-5",20,120871,16.5
,"2019","2019","Renal failure","N17-N19","50-54 years","50-54","Male","M","Asian","A",56,573499,9.8
,"2019","2019","Renal failure","N17-N19","50-54 years","50-54","Male","M","Black or African American","2054-5",236,1253207,18.8
,"2019","2019","Renal failure","N17-N19","50-54 years","50-54","Male","M","White","2106-3",949,7972299,11.9
,"2019","2019","Renal failure","N17-N19","50-54 years","50-54","Male","M","More than one race","M",11,143807,Unreliable
,"2019","2019","Renal failure","N17-N19","55-59 years","55-59","Female","F","American Indian or Alaska Native","1002-5",15,121906,Unreliable
,"2019","2019","Renal failure","N17-N19","55-59 years","55-59","Female","F","Asian","A",31,617747,5.0
,"2019","2019","Renal failure","N17-N19","55-59 years","55-59","Female","F","Black or African American","2054-5",296,1468538,20.2
,"2019","2019","Renal failure","N17-N19","55-59 years","55-59","Female","F","White","2106-3",1047,8850887,11.8
,"2019","2019","Renal failure","N17-N19","55-59 years","55-59","Female","F","More than one race","M",10,153797,Unreliable
,"2019","2019","Renal failure","N17-N19","55-59 years","55-59","Male","M","American Indian or Alaska Native","1002-5",27,117227,23.0
,"2019","2019","Renal failure","N17-N19","55-59 years","55-59","Male","M","Asian","A",45,525283,8.6
,"2019","2019","Renal failure","N17-N19","55-59 years","55-59","Male","M","Black or African American","2054-5",351,1265153,27.7
,"2019","2019","Renal failure","N17-N19","55-59 years","55-59","Male","M","White","2106-3",1573,8576309,18.3
,"2019","2019","Renal failure","N17-N19","55-59 years","55-59","Male","M","More than one race","M",16,137444,Unreliable
,"2019","2019","Renal failure","N17-N19","60-64 years ","60-64","Female","F","American Indian or Alaska Native","1002-5",24,105954,22.7
,"2019","2019","Renal failure","N17-N19","60-64 years ","60-64","Female","F","Asian","A",30,563222,5.3
,"2019","2019","Renal failure","N17-N19","60-64 years ","60-64","Female","F","Black or African American","2054-5",453,1332321,34.0
,"2019","2019","Renal failure","N17-N19","60-64 years ","60-64","Female","F","White","2106-3",1549,8564001,18.1
,"2019","2019","Renal failure","N17-N19","60-64 years ","60-64","Female","F","More than one race","M",11,130787,Unreliable
,"2019","2019","Renal failure","N17-N19","60-64 years ","60-64","Male","M","American Indian or Alaska Native","1002-5",32,97384,32.9
,"2019","2019","Renal failure","N17-N19","60-64 years ","60-64","Male","M","Asian","A",73,459796,15.9
,"2019","2019","Renal failure","N17-N19","60-64 years ","60-64","Male","M","Black or African American","2054-5",497,1103863,45.0
,"2019","2019","Renal failure","N17-N19","60-64 years ","60-64","Male","M","White","2106-3",2267,8061864,28.1
,"2019","2019","Renal failure","N17-N19","60-64 years ","60-64","Male","M","More than one race","M",21,116656,18.0
,"2019","2019","Renal failure","N17-N19","65-69 years","65-69","Female","F","American Indian or Alaska Native","1002-5",33,80478,41.0
,"2019","2019","Renal failure","N17-N19","65-69 years","65-69","Female","F","Asian","A",50,483921,10.3
,"2019","2019","Renal failure","N17-N19","65-69 years","65-69","Female","F","Black or African American","2054-5",456,1064201,42.8
,"2019","2019","Renal failure","N17-N19","65-69 years","65-69","Female","F","White","2106-3",1956,7514281,26.0
,"2019","2019","Renal failure","N17-N19","65-69 years","65-69","Female","F","More than one race","M",18,98491,Unreliable
,"2019","2019","Renal failure","N17-N19","65-69 years","65-69","Male","M","American Indian or Alaska Native","1002-5",38,71407,53.2
,"2019","2019","Renal failure","N17-N19","65-69 years","65-69","Male","M","Asian","A",98,378674,25.9
,"2019","2019","Renal failure","N17-N19","65-69 years","65-69","Male","M","Black or African American","2054-5",530,819133,64.7
,"2019","2019","Renal failure","N17-N19","65-69 years","65-69","Male","M","White","2106-3",2921,6831995,42.8
,"2019","2019","Renal failure","N17-N19","65-69 years","65-69","Male","M","More than one race","M",24,85904,27.9
,"2019","2019","Renal failure","N17-N19","70-74 years","70-74","Female","F","American Indian or Alaska Native","1002-5",29,57552,50.4
,"2019","2019","Renal failure","N17-N19","70-74 years","70-74","Female","F","Asian","A",91,366479,24.8
,"2019","2019","Renal failure","N17-N19","70-74 years","70-74","Female","F","Black or African American","2054-5",466,771158,60.4
,"2019","2019","Renal failure","N17-N19","70-74 years","70-74","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI",10,10026,Unreliable
,"2019","2019","Renal failure","N17-N19","70-74 years","70-74","Female","F","White","2106-3",2702,6251368,43.2
,"2019","2019","Renal failure","N17-N19","70-74 years","70-74","Female","F","More than one race","M",13,72043,Unreliable
,"2019","2019","Renal failure","N17-N19","70-74 years","70-74","Male","M","American Indian or Alaska Native","1002-5",25,50770,49.2
,"2019","2019","Renal failure","N17-N19","70-74 years","70-74","Male","M","Asian","A",106,286774,37.0
,"2019","2019","Renal failure","N17-N19","70-74 years","70-74","Male","M","Black or African American","2054-5",538,561780,95.8
,"2019","2019","Renal failure","N17-N19","70-74 years","70-74","Male","M","White","2106-3",3474,5530279,62.8
,"2019","2019","Renal failure","N17-N19","70-74 years","70-74","Male","M","More than one race","M",18,60944,Unreliable
,"2019","2019","Renal failure","N17-N19","75-79 years","75-79","Female","F","American Indian or Alaska Native","1002-5",29,36818,78.8
,"2019","2019","Renal failure","N17-N19","75-79 years","75-79","Female","F","Asian","A",95,241926,39.3
,"2019","2019","Renal failure","N17-N19","75-79 years","75-79","Female","F","Black or African American","2054-5",496,518159,95.7
,"2019","2019","Renal failure","N17-N19","75-79 years","75-79","Female","F","White","2106-3",3084,4483876,68.8
,"2019","2019","Renal failure","N17-N19","75-79 years","75-79","Female","F","More than one race","M",22,47279,46.5
,"2019","2019","Renal failure","N17-N19","75-79 years","75-79","Male","M","American Indian or Alaska Native","1002-5",27,30457,88.6
,"2019","2019","Renal failure","N17-N19","75-79 years","75-79","Male","M","Asian","A",149,190490,78.2
,"2019","2019","Renal failure","N17-N19","75-79 years","75-79","Male","M","Black or African American","2054-5",486,343743,141.4
,"2019","2019","Renal failure","N17-N19","75-79 years","75-79","Male","M","White","2106-3",3803,3711138,102.5
,"2019","2019","Renal failure","N17-N19","75-79 years","75-79","Male","M","More than one race","M",21,37289,56.3
,"2019","2019","Renal failure","N17-N19","80-84 years","80-84","Female","F","American Indian or Alaska Native","1002-5",25,23461,106.6
,"2019","2019","Renal failure","N17-N19","80-84 years","80-84","Female","F","Asian","A",123,163352,75.3
,"2019","2019","Renal failure","N17-N19","80-84 years","80-84","Female","F","Black or African American","2054-5",446,349141,127.7
,"2019","2019","Renal failure","N17-N19","80-84 years","80-84","Female","F","White","2106-3",3479,3067596,113.4
,"2019","2019","Renal failure","N17-N19","80-84 years","80-84","Male","M","American Indian or Alaska Native","1002-5",21,17351,121.0
,"2019","2019","Renal failure","N17-N19","80-84 years","80-84","Male","M","Asian","A",137,123778,110.7
,"2019","2019","Renal failure","N17-N19","80-84 years","80-84","Male","M","Black or African American","2054-5",421,206090,204.3
,"2019","2019","Renal failure","N17-N19","80-84 years","80-84","Male","M","White","2106-3",4055,2307320,175.7
,"2019","2019","Renal failure","N17-N19","80-84 years","80-84","Male","M","More than one race","M",15,22095,Unreliable
,"2019","2019","Renal failure","N17-N19","85-89 years","85-89","Female","F","American Indian or Alaska Native","1002-5",18,Not Applicable,Not Applicable
,"2019","2019","Renal failure","N17-N19","85-89 years","85-89","Female","F","Asian","A",141,Not Applicable,Not Applicable
,"2019","2019","Renal failure","N17-N19","85-89 years","85-89","Female","F","Black or African American","2054-5",430,Not Applicable,Not Applicable
