"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Sex","Sex Code","Race","Race Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Renal failure","N17-N19","2010","2010","Male","M","American Indian or Alaska Native","1002-5","65-74 years","65-74",34,76459,44.5
,"Renal failure","N17-N19","2010","2010","Male","M","American Indian or Alaska Native","1002-5","75-84 years","75-84",39,29157,133.8
,"Renal failure","N17-N19","2010","2010","Male","M","American Indian or Alaska Native","1002-5","85+ years","85+",24,7236,331.7
,"Renal failure","N17-N19","2010","2010","Male","M","Asian or Pacific Islander","A-PI","35-44 years","35-44",18,1298595,Unreliable
,"Renal failure","N17-N19","2010","2010","Male","M","Asian or Pacific Islander","A-PI","45-54 years","45-54",47,1074756,4.4
,"Renal failure","N17-N19","2010","2010","Male","M","Asian or Pacific Islander","A-PI","55-64 years","55-64",98,761268,12.9
,"Renal failure","N17-N19","2010","2010","Male","M","Asian or Pacific Islander","A-PI","65-74 years","65-74",148,408568,36.2
,"Renal failure","N17-N19","2010","2010","Male","M","Asian or Pacific Islander","A-PI","75-84 years","75-84",225,185737,121.1
,"Renal failure","N17-N19","2010","2010","Male","M","Asian or Pacific Islander","A-PI","85+ years","85+",219,54709,400.3
,"Renal failure","N17-N19","2010","2010","Male","M","Black or African American","2054-5","25-34 years","25-34",58,2801017,2.1
,"Renal failure","N17-N19","2010","2010","Male","M","Black or African American","2054-5","35-44 years","35-44",147,2639054,5.6
,"Renal failure","N17-N19","2010","2010","Male","M","Black or African American","2054-5","45-54 years","45-54",399,2707520,14.7
,"Renal failure","N17-N19","2010","2010","Male","M","Black or African American","2054-5","55-64 years","55-64",731,1832463,39.9
,"Renal failure","N17-N19","2010","2010","Male","M","Black or African American","2054-5","65-74 years","65-74",765,885780,86.4
,"Renal failure","N17-N19","2010","2010","Male","M","Black or African American","2054-5","75-84 years","75-84",839,395774,212.0
,"Renal failure","N17-N19","2010","2010","Male","M","Black or African American","2054-5","85+ years","85+",631,110382,571.7
,"Renal failure","N17-N19","2010","2010","Male","M","White","2106-3","25-34 years","25-34",131,16138835,0.8
,"Renal failure","N17-N19","2010","2010","Male","M","White","2106-3","35-44 years","35-44",415,16208232,2.6
,"Renal failure","N17-N19","2010","2010","Male","M","White","2106-3","45-54 years","45-54",1481,18095800,8.2
,"Renal failure","N17-N19","2010","2010","Male","M","White","2106-3","55-64 years","55-64",3043,14840259,20.5
,"Renal failure","N17-N19","2010","2010","Male","M","White","2106-3","65-74 years","65-74",4912,8725712,56.3
,"Renal failure","N17-N19","2010","2010","Male","M","White","2106-3","75-84 years","75-84",8175,4866094,168.0
,"Renal failure","N17-N19","2010","2010","Male","M","White","2106-3","85+ years","85+",7931,1617352,490.4
,"Renal failure","N17-N19","2011","2011","Female","F","American Indian or Alaska Native","1002-5","35-44 years","35-44",12,283174,Unreliable
,"Renal failure","N17-N19","2011","2011","Female","F","American Indian or Alaska Native","1002-5","45-54 years","45-54",35,276312,12.7
,"Renal failure","N17-N19","2011","2011","Female","F","American Indian or Alaska Native","1002-5","55-64 years","55-64",30,192307,15.6
,"Renal failure","N17-N19","2011","2011","Female","F","American Indian or Alaska Native","1002-5","65-74 years","65-74",63,93453,67.4
,"Renal failure","N17-N19","2011","2011","Female","F","American Indian or Alaska Native","1002-5","75-84 years","75-84",53,43747,121.2
,"Renal failure","N17-N19","2011","2011","Female","F","American Indian or Alaska Native","1002-5","85+ years","85+",42,15447,271.9
,"Renal failure","N17-N19","2011","2011","Female","F","Asian or Pacific Islander","A-PI","45-54 years","45-54",34,1247324,2.7
,"Renal failure","N17-N19","2011","2011","Female","F","Asian or Pacific Islander","A-PI","55-64 years","55-64",58,979140,5.9
,"Renal failure","N17-N19","2011","2011","Female","F","Asian or Pacific Islander","A-PI","65-74 years","65-74",114,525453,21.7
,"Renal failure","N17-N19","2011","2011","Female","F","Asian or Pacific Islander","A-PI","75-84 years","75-84",226,282420,80.0
,"Renal failure","N17-N19","2011","2011","Female","F","Asian or Pacific Islander","A-PI","85+ years","85+",276,105055,262.7
,"Renal failure","N17-N19","2011","2011","Female","F","Black or African American","2054-5","25-34 years","25-34",40,3122987,1.3
,"Renal failure","N17-N19","2011","2011","Female","F","Black or African American","2054-5","35-44 years","35-44",106,2934906,3.6
,"Renal failure","N17-N19","2011","2011","Female","F","Black or African American","2054-5","45-54 years","45-54",313,3066612,10.2
,"Renal failure","N17-N19","2011","2011","Female","F","Black or African American","2054-5","55-64 years","55-64",596,2331287,25.6
,"Renal failure","N17-N19","2011","2011","Female","F","Black or African American","2054-5","65-74 years","65-74",688,1237777,55.6
,"Renal failure","N17-N19","2011","2011","Female","F","Black or African American","2054-5","75-84 years","75-84",982,696468,141.0
,"Renal failure","N17-N19","2011","2011","Female","F","Black or African American","2054-5","85+ years","85+",1104,292691,377.2
,"Renal failure","N17-N19","2011","2011","Female","F","White","2106-3","25-34 years","25-34",102,15778153,0.6
,"Renal failure","N17-N19","2011","2011","Female","F","White","2106-3","35-44 years","35-44",282,15695797,1.8
,"Renal failure","N17-N19","2011","2011","Female","F","White","2106-3","45-54 years","45-54",888,18108708,4.9
,"Renal failure","N17-N19","2011","2011","Female","F","White","2106-3","55-64 years","55-64",2084,16201201,12.9
,"Renal failure","N17-N19","2011","2011","Female","F","White","2106-3","65-74 years","65-74",3727,10148742,36.7
,"Renal failure","N17-N19","2011","2011","Female","F","White","2106-3","75-84 years","75-84",7327,6579562,111.4
,"Renal failure","N17-N19","2011","2011","Female","F","White","2106-3","85+ years","85+",11260,3429955,328.3
,"Renal failure","N17-N19","2011","2011","Male","M","American Indian or Alaska Native","1002-5","35-44 years","35-44",13,292515,Unreliable
,"Renal failure","N17-N19","2011","2011","Male","M","American Indian or Alaska Native","1002-5","45-54 years","45-54",31,269072,11.5
,"Renal failure","N17-N19","2011","2011","Male","M","American Indian or Alaska Native","1002-5","55-64 years","55-64",39,179489,21.7
,"Renal failure","N17-N19","2011","2011","Male","M","American Indian or Alaska Native","1002-5","65-74 years","65-74",47,82279,57.1
,"Renal failure","N17-N19","2011","2011","Male","M","American Indian or Alaska Native","1002-5","75-84 years","75-84",43,31812,135.2
,"Renal failure","N17-N19","2011","2011","Male","M","American Indian or Alaska Native","1002-5","85+ years","85+",28,8223,340.5
,"Renal failure","N17-N19","2011","2011","Male","M","Asian or Pacific Islander","A-PI","35-44 years","35-44",19,1333988,Unreliable
,"Renal failure","N17-N19","2011","2011","Male","M","Asian or Pacific Islander","A-PI","45-54 years","45-54",37,1101754,3.4
,"Renal failure","N17-N19","2011","2011","Male","M","Asian or Pacific Islander","A-PI","55-64 years","55-64",101,809532,12.5
,"Renal failure","N17-N19","2011","2011","Male","M","Asian or Pacific Islander","A-PI","65-74 years","65-74",145,436536,33.2
,"Renal failure","N17-N19","2011","2011","Male","M","Asian or Pacific Islander","A-PI","75-84 years","75-84",202,200623,100.7
,"Renal failure","N17-N19","2011","2011","Male","M","Asian or Pacific Islander","A-PI","85+ years","85+",251,61242,409.8
,"Renal failure","N17-N19","2011","2011","Male","M","Black or African American","2054-5","25-34 years","25-34",69,2876283,2.4
,"Renal failure","N17-N19","2011","2011","Male","M","Black or African American","2054-5","35-44 years","35-44",129,2612286,4.9
,"Renal failure","N17-N19","2011","2011","Male","M","Black or African American","2054-5","45-54 years","45-54",406,2717303,14.9
,"Renal failure","N17-N19","2011","2011","Male","M","Black or African American","2054-5","55-64 years","55-64",709,1946428,36.4
,"Renal failure","N17-N19","2011","2011","Male","M","Black or African American","2054-5","65-74 years","65-74",785,924403,84.9
,"Renal failure","N17-N19","2011","2011","Male","M","Black or African American","2054-5","75-84 years","75-84",847,414645,204.3
,"Renal failure","N17-N19","2011","2011","Male","M","Black or African American","2054-5","85+ years","85+",544,114793,473.9
,"Renal failure","N17-N19","2011","2011","Male","M","White","2106-3","25-34 years","25-34",148,16433075,0.9
,"Renal failure","N17-N19","2011","2011","Male","M","White","2106-3","35-44 years","35-44",419,15984681,2.6
,"Renal failure","N17-N19","2011","2011","Male","M","White","2106-3","45-54 years","45-54",1518,17931118,8.5
,"Renal failure","N17-N19","2011","2011","Male","M","White","2106-3","55-64 years","55-64",3227,15422756,20.9
,"Renal failure","N17-N19","2011","2011","Male","M","White","2106-3","65-74 years","65-74",4810,9033095,53.2
,"Renal failure","N17-N19","2011","2011","Male","M","White","2106-3","75-84 years","75-84",8196,4925953,166.4
,"Renal failure","N17-N19","2011","2011","Male","M","White","2106-3","85+ years","85+",8153,1709767,476.8
,"Renal failure","N17-N19","2012","2012","Female","F","American Indian or Alaska Native","1002-5","45-54 years","45-54",33,276700,11.9
,"Renal failure","N17-N19","2012","2012","Female","F","American Indian or Alaska Native","1002-5","55-64 years","55-64",40,200285,20.0
,"Renal failure","N17-N19","2012","2012","Female","F","American Indian or Alaska Native","1002-5","65-74 years","65-74",35,100409,34.9
,"Renal failure","N17-N19","2012","2012","Female","F","American Indian or Alaska Native","1002-5","75-84 years","75-84",58,45258,128.2
,"Renal failure","N17-N19","2012","2012","Female","F","American Indian or Alaska Native","1002-5","85+ years","85+",41,16376,250.4
,"Renal failure","N17-N19","2012","2012","Female","F","Asian or Pacific Islander","A-PI","45-54 years","45-54",37,1275996,2.9
,"Renal failure","N17-N19","2012","2012","Female","F","Asian or Pacific Islander","A-PI","55-64 years","55-64",60,1023275,5.9
,"Renal failure","N17-N19","2012","2012","Female","F","Asian or Pacific Islander","A-PI","65-74 years","65-74",120,568687,21.1
,"Renal failure","N17-N19","2012","2012","Female","F","Asian or Pacific Islander","A-PI","75-84 years","75-84",203,297516,68.2
,"Renal failure","N17-N19","2012","2012","Female","F","Asian or Pacific Islander","A-PI","85+ years","85+",318,115055,276.4
,"Renal failure","N17-N19","2012","2012","Female","F","Black or African American","2054-5","25-34 years","25-34",25,3170806,0.8
,"Renal failure","N17-N19","2012","2012","Female","F","Black or African American","2054-5","35-44 years","35-44",88,2941200,3.0
,"Renal failure","N17-N19","2012","2012","Female","F","Black or African American","2054-5","45-54 years","45-54",287,3055924,9.4
,"Renal failure","N17-N19","2012","2012","Female","F","Black or African American","2054-5","55-64 years","55-64",607,2419636,25.1
,"Renal failure","N17-N19","2012","2012","Female","F","Black or African American","2054-5","65-74 years","65-74",623,1304676,47.8
,"Renal failure","N17-N19","2012","2012","Female","F","Black or African American","2054-5","75-84 years","75-84",903,706069,127.9
,"Renal failure","N17-N19","2012","2012","Female","F","Black or African American","2054-5","85+ years","85+",1115,307270,362.9
,"Renal failure","N17-N19","2012","2012","Female","F","White","2106-3","25-34 years","25-34",91,15892849,0.6
,"Renal failure","N17-N19","2012","2012","Female","F","White","2106-3","35-44 years","35-44",251,15573096,1.6
,"Renal failure","N17-N19","2012","2012","Female","F","White","2106-3","45-54 years","45-54",901,17853248,5.0
,"Renal failure","N17-N19","2012","2012","Female","F","White","2106-3","55-64 years","55-64",2158,16340112,13.2
,"Renal failure","N17-N19","2012","2012","Female","F","White","2106-3","65-74 years","65-74",3797,10808758,35.1
,"Renal failure","N17-N19","2012","2012","Female","F","White","2106-3","75-84 years","75-84",7050,6575641,107.2
,"Renal failure","N17-N19","2012","2012","Female","F","White","2106-3","85+ years","85+",10843,3484596,311.2
,"Renal failure","N17-N19","2012","2012","Male","M","American Indian or Alaska Native","1002-5","35-44 years","35-44",10,295651,Unreliable
,"Renal failure","N17-N19","2012","2012","Male","M","American Indian or Alaska Native","1002-5","45-54 years","45-54",39,269981,14.4
,"Renal failure","N17-N19","2012","2012","Male","M","American Indian or Alaska Native","1002-5","55-64 years","55-64",40,185911,21.5
,"Renal failure","N17-N19","2012","2012","Male","M","American Indian or Alaska Native","1002-5","65-74 years","65-74",56,88818,63.1
,"Renal failure","N17-N19","2012","2012","Male","M","American Indian or Alaska Native","1002-5","75-84 years","75-84",50,33101,151.1
,"Renal failure","N17-N19","2012","2012","Male","M","American Indian or Alaska Native","1002-5","85+ years","85+",24,8691,276.1
,"Renal failure","N17-N19","2012","2012","Male","M","Asian or Pacific Islander","A-PI","35-44 years","35-44",17,1376255,Unreliable
,"Renal failure","N17-N19","2012","2012","Male","M","Asian or Pacific Islander","A-PI","45-54 years","45-54",44,1128254,3.9
,"Renal failure","N17-N19","2012","2012","Male","M","Asian or Pacific Islander","A-PI","55-64 years","55-64",109,846795,12.9
,"Renal failure","N17-N19","2012","2012","Male","M","Asian or Pacific Islander","A-PI","65-74 years","65-74",153,468808,32.6
,"Renal failure","N17-N19","2012","2012","Male","M","Asian or Pacific Islander","A-PI","75-84 years","75-84",264,214358,123.2
,"Renal failure","N17-N19","2012","2012","Male","M","Asian or Pacific Islander","A-PI","85+ years","85+",239,66110,361.5
,"Renal failure","N17-N19","2012","2012","Male","M","Black or African American","2054-5","25-34 years","25-34",58,2944482,2.0
,"Renal failure","N17-N19","2012","2012","Male","M","Black or African American","2054-5","35-44 years","35-44",129,2619646,4.9
,"Renal failure","N17-N19","2012","2012","Male","M","Black or African American","2054-5","45-54 years","45-54",387,2707346,14.3
,"Renal failure","N17-N19","2012","2012","Male","M","Black or African American","2054-5","55-64 years","55-64",771,2021385,38.1
,"Renal failure","N17-N19","2012","2012","Male","M","Black or African American","2054-5","65-74 years","65-74",740,978519,75.6
,"Renal failure","N17-N19","2012","2012","Male","M","Black or African American","2054-5","75-84 years","75-84",802,424153,189.1
,"Renal failure","N17-N19","2012","2012","Male","M","Black or African American","2054-5","85+ years","85+",596,123493,482.6
,"Renal failure","N17-N19","2012","2012","Male","M","White","2106-3","25-34 years","25-34",152,16593734,0.9
,"Renal failure","N17-N19","2012","2012","Male","M","White","2106-3","35-44 years","35-44",413,15882055,2.6
,"Renal failure","N17-N19","2012","2012","Male","M","White","2106-3","45-54 years","45-54",1528,17701289,8.6
,"Renal failure","N17-N19","2012","2012","Male","M","White","2106-3","55-64 years","55-64",3218,15548803,20.7
,"Renal failure","N17-N19","2012","2012","Male","M","White","2106-3","65-74 years","65-74",5000,9666717,51.7
,"Renal failure","N17-N19","2012","2012","Male","M","White","2106-3","75-84 years","75-84",7666,4976538,154.0
,"Renal failure","N17-N19","2012","2012","Male","M","White","2106-3","85+ years","85+",7947,1765739,450.1
,"Renal failure","N17-N19","2013","2013","Female","F","American Indian or Alaska Native","1002-5","35-44 years","35-44",18,287786,Unreliable
,"Renal failure","N17-N19","2013","2013","Female","F","American Indian or Alaska Native","1002-5","45-54 years","45-54",33,276505,11.9
,"Renal failure","N17-N19","2013","2013","Female","F","American Indian or Alaska Native","1002-5","55-64 years","55-64",35,208893,16.8
,"Renal failure","N17-N19","2013","2013","Female","F","American Indian or Alaska Native","1002-5","65-74 years","65-74",46,107248,42.9
,"Renal failure","N17-N19","2013","2013","Female","F","American Indian or Alaska Native","1002-5","75-84 years","75-84",55,47550,115.7
,"Renal failure","N17-N19","2013","2013","Female","F","American Indian or Alaska Native","1002-5","85+ years","85+",31,17519,177.0
,"Renal failure","N17-N19","2013","2013","Female","F","Asian or Pacific Islander","A-PI","25-34 years","25-34",10,1628431,Unreliable
,"Renal failure","N17-N19","2013","2013","Female","F","Asian or Pacific Islander","A-PI","35-44 years","35-44",13,1580422,Unreliable
,"Renal failure","N17-N19","2013","2013","Female","F","Asian or Pacific Islander","A-PI","45-54 years","45-54",22,1309454,1.7
,"Renal failure","N17-N19","2013","2013","Female","F","Asian or Pacific Islander","A-PI","55-64 years","55-64",73,1064048,6.9
,"Renal failure","N17-N19","2013","2013","Female","F","Asian or Pacific Islander","A-PI","65-74 years","65-74",107,614960,17.4
,"Renal failure","N17-N19","2013","2013","Female","F","Asian or Pacific Islander","A-PI","75-84 years","75-84",238,312870,76.1
,"Renal failure","N17-N19","2013","2013","Female","F","Asian or Pacific Islander","A-PI","85+ years","85+",326,126827,257.0
,"Renal failure","N17-N19","2013","2013","Female","F","Black or African American","2054-5","25-34 years","25-34",45,3224131,1.4
,"Renal failure","N17-N19","2013","2013","Female","F","Black or African American","2054-5","35-44 years","35-44",97,2950264,3.3
,"Renal failure","N17-N19","2013","2013","Female","F","Black or African American","2054-5","45-54 years","45-54",275,3043355,9.0
,"Renal failure","N17-N19","2013","2013","Female","F","Black or African American","2054-5","55-64 years","55-64",596,2498661,23.9
,"Renal failure","N17-N19","2013","2013","Female","F","Black or African American","2054-5","65-74 years","65-74",736,1378030,53.4
,"Renal failure","N17-N19","2013","2013","Female","F","Black or African American","2054-5","75-84 years","75-84",936,722525,129.5
,"Renal failure","N17-N19","2013","2013","Female","F","Black or African American","2054-5","85+ years","85+",1089,317960,342.5
,"Renal failure","N17-N19","2013","2013","Female","F","White","2106-3","25-34 years","25-34",100,16021255,0.6
,"Renal failure","N17-N19","2013","2013","Female","F","White","2106-3","35-44 years","35-44",299,15488957,1.9
,"Renal failure","N17-N19","2013","2013","Female","F","White","2106-3","45-54 years","45-54",1009,17569134,5.7
,"Renal failure","N17-N19","2013","2013","Female","F","White","2106-3","55-64 years","55-64",2204,16588074,13.3
,"Renal failure","N17-N19","2013","2013","Female","F","White","2106-3","65-74 years","65-74",3982,11318886,35.2
,"Renal failure","N17-N19","2013","2013","Female","F","White","2106-3","75-84 years","75-84",6996,6603057,106.0
,"Renal failure","N17-N19","2013","2013","Female","F","White","2106-3","85+ years","85+",10701,3536701,302.6
,"Renal failure","N17-N19","2013","2013","Male","M","American Indian or Alaska Native","1002-5","35-44 years","35-44",16,298691,Unreliable
,"Renal failure","N17-N19","2013","2013","Male","M","American Indian or Alaska Native","1002-5","45-54 years","45-54",35,271530,12.9
,"Renal failure","N17-N19","2013","2013","Male","M","American Indian or Alaska Native","1002-5","55-64 years","55-64",49,193548,25.3
,"Renal failure","N17-N19","2013","2013","Male","M","American Indian or Alaska Native","1002-5","65-74 years","65-74",38,95237,39.9
,"Renal failure","N17-N19","2013","2013","Male","M","American Indian or Alaska Native","1002-5","75-84 years","75-84",45,35081,128.3
,"Renal failure","N17-N19","2013","2013","Male","M","American Indian or Alaska Native","1002-5","85+ years","85+",35,9475,369.4
,"Renal failure","N17-N19","2013","2013","Male","M","Asian or Pacific Islander","A-PI","35-44 years","35-44",29,1405065,2.1
,"Renal failure","N17-N19","2013","2013","Male","M","Asian or Pacific Islander","A-PI","45-54 years","45-54",50,1157519,4.3
,"Renal failure","N17-N19","2013","2013","Male","M","Asian or Pacific Islander","A-PI","55-64 years","55-64",114,883729,12.9
,"Renal failure","N17-N19","2013","2013","Male","M","Asian or Pacific Islander","A-PI","65-74 years","65-74",170,504244,33.7
,"Renal failure","N17-N19","2013","2013","Male","M","Asian or Pacific Islander","A-PI","75-84 years","75-84",226,229913,98.3
,"Renal failure","N17-N19","2013","2013","Male","M","Asian or Pacific Islander","A-PI","85+ years","85+",279,72810,383.2
,"Renal failure","N17-N19","2013","2013","Male","M","Black or African American","2054-5","25-34 years","25-34",63,3018776,2.1
,"Renal failure","N17-N19","2013","2013","Male","M","Black or African American","2054-5","35-44 years","35-44",148,2628985,5.6
,"Renal failure","N17-N19","2013","2013","Male","M","Black or African American","2054-5","45-54 years","45-54",353,2693002,13.1
,"Renal failure","N17-N19","2013","2013","Male","M","Black or African American","2054-5","55-64 years","55-64",813,2092483,38.9
,"Renal failure","N17-N19","2013","2013","Male","M","Black or African American","2054-5","65-74 years","65-74",799,1038392,76.9
,"Renal failure","N17-N19","2013","2013","Male","M","Black or African American","2054-5","75-84 years","75-84",827,439331,188.2
,"Renal failure","N17-N19","2013","2013","Male","M","Black or African American","2054-5","85+ years","85+",601,129339,464.7
,"Renal failure","N17-N19","2013","2013","Male","M","White","2106-3","25-34 years","25-34",161,16763513,1.0
,"Renal failure","N17-N19","2013","2013","Male","M","White","2106-3","35-44 years","35-44",425,15812520,2.7
,"Renal failure","N17-N19","2013","2013","Male","M","White","2106-3","45-54 years","45-54",1517,17447033,8.7
,"Renal failure","N17-N19","2013","2013","Male","M","White","2106-3","55-64 years","55-64",3420,15786995,21.7
,"Renal failure","N17-N19","2013","2013","Male","M","White","2106-3","65-74 years","65-74",5277,10159769,51.9
,"Renal failure","N17-N19","2013","2013","Male","M","White","2106-3","75-84 years","75-84",7723,5056192,152.7
,"Renal failure","N17-N19","2013","2013","Male","M","White","2106-3","85+ years","85+",7853,1830158,429.1
,"Renal failure","N17-N19","2014","2014","Female","F","American Indian or Alaska Native","1002-5","35-44 years","35-44",14,291074,Unreliable
,"Renal failure","N17-N19","2014","2014","Female","F","American Indian or Alaska Native","1002-5","45-54 years","45-54",35,277173,12.6
,"Renal failure","N17-N19","2014","2014","Female","F","American Indian or Alaska Native","1002-5","55-64 years","55-64",40,217910,18.4
,"Renal failure","N17-N19","2014","2014","Female","F","American Indian or Alaska Native","1002-5","65-74 years","65-74",50,114498,43.7
,"Renal failure","N17-N19","2014","2014","Female","F","American Indian or Alaska Native","1002-5","75-84 years","75-84",61,50208,121.5
,"Renal failure","N17-N19","2014","2014","Female","F","American Indian or Alaska Native","1002-5","85+ years","85+",44,18585,236.8
,"Renal failure","N17-N19","2014","2014","Female","F","Asian or Pacific Islander","A-PI","35-44 years","35-44",26,1634483,1.6
,"Renal failure","N17-N19","2014","2014","Female","F","Asian or Pacific Islander","A-PI","45-54 years","45-54",23,1366299,1.7
,"Renal failure","N17-N19","2014","2014","Female","F","Asian or Pacific Islander","A-PI","55-64 years","55-64",65,1111024,5.9
,"Renal failure","N17-N19","2014","2014","Female","F","Asian or Pacific Islander","A-PI","65-74 years","65-74",119,669694,17.8
,"Renal failure","N17-N19","2014","2014","Female","F","Asian or Pacific Islander","A-PI","75-84 years","75-84",197,331448,59.4
,"Renal failure","N17-N19","2014","2014","Female","F","Asian or Pacific Islander","A-PI","85+ years","85+",359,137805,260.5
,"Renal failure","N17-N19","2014","2014","Female","F","Black or African American","2054-5","25-34 years","25-34",38,3304914,1.1
,"Renal failure","N17-N19","2014","2014","Female","F","Black or African American","2054-5","35-44 years","35-44",116,2984282,3.9
,"Renal failure","N17-N19","2014","2014","Female","F","Black or African American","2054-5","45-54 years","45-54",303,3028774,10.0
,"Renal failure","N17-N19","2014","2014","Female","F","Black or African American","2054-5","55-64 years","55-64",595,2577838,23.1
,"Renal failure","N17-N19","2014","2014","Female","F","Black or African American","2054-5","65-74 years","65-74",718,1460270,49.2
,"Renal failure","N17-N19","2014","2014","Female","F","Black or African American","2054-5","75-84 years","75-84",896,740614,121.0
,"Renal failure","N17-N19","2014","2014","Female","F","Black or African American","2054-5","85+ years","85+",1026,327938,312.9
,"Renal failure","N17-N19","2014","2014","Female","F","White","2106-3","25-34 years","25-34",124,16204311,0.8
,"Renal failure","N17-N19","2014","2014","Female","F","White","2106-3","35-44 years","35-44",283,15444065,1.8
,"Renal failure","N17-N19","2014","2014","Female","F","White","2106-3","45-54 years","45-54",956,17361561,5.5
,"Renal failure","N17-N19","2014","2014","Female","F","White","2106-3","55-64 years","55-64",2350,16848927,13.9
,"Renal failure","N17-N19","2014","2014","Female","F","White","2106-3","65-74 years","65-74",4227,11804783,35.8
,"Renal failure","N17-N19","2014","2014","Female","F","White","2106-3","75-84 years","75-84",6770,6667042,101.5
,"Renal failure","N17-N19","2014","2014","Female","F","White","2106-3","85+ years","85+",10402,3569034,291.5
,"Renal failure","N17-N19","2014","2014","Male","M","American Indian or Alaska Native","1002-5","35-44 years","35-44",22,302170,7.3
,"Renal failure","N17-N19","2014","2014","Male","M","American Indian or Alaska Native","1002-5","45-54 years","45-54",39,274161,14.2
,"Renal failure","N17-N19","2014","2014","Male","M","American Indian or Alaska Native","1002-5","55-64 years","55-64",53,201175,26.3
,"Renal failure","N17-N19","2014","2014","Male","M","American Indian or Alaska Native","1002-5","65-74 years","65-74",53,101793,52.1
,"Renal failure","N17-N19","2014","2014","Male","M","American Indian or Alaska Native","1002-5","75-84 years","75-84",55,37312,147.4
,"Renal failure","N17-N19","2014","2014","Male","M","American Indian or Alaska Native","1002-5","85+ years","85+",32,10348,309.2
,"Renal failure","N17-N19","2014","2014","Male","M","Asian or Pacific Islander","A-PI","35-44 years","35-44",19,1449054,Unreliable
,"Renal failure","N17-N19","2014","2014","Male","M","Asian or Pacific Islander","A-PI","45-54 years","45-54",39,1204948,3.2
,"Renal failure","N17-N19","2014","2014","Male","M","Asian or Pacific Islander","A-PI","55-64 years","55-64",117,924813,12.7
