"Notes","Year","Year Code","Multiple Cause of death","Multiple Cause of death Code",Deaths,Population,Crude Rate
,"2012","2012","Septicaemia due to Staphylococcus aureus","A41.0",2071,313914040,0.7
,"2012","2012","Septicaemia due to other specified staphylococcus","A41.1",30,313914040,0.0
,"2012","2012","Septicaemia due to unspecified staphylococcus","A41.2",873,313914040,0.3
,"2012","2012","Septicaemia due to Haemophilus influenzae","A41.3",31,313914040,0.0
,"2012","2012","Septicaemia due to anaerobes","A41.4",320,313914040,0.1
,"2012","2012","Septicaemia due to other Gram-negative organisms","A41.5",3602,313914040,1.1
,"2012","2012","Other specified septicaemia","A41.8",216,313914040,0.1
,"2012","2012","Septicaemia, unspecified","A41.9",156924,313914040,50.0
"Total","2012","2012",,,165212,313914040,52.6
,"2013","2013","Septicaemia due to streptococcus, group A","A40.0",50,316128839,0.0
,"2013","2013","Septicaemia due to streptococcus, group B","A40.1",68,316128839,0.0
,"2013","2013","Septicaemia due to streptococcus, group D","A40.2",350,316128839,0.1
,"2013","2013","Septicaemia due to Streptococcus pneumoniae","A40.3",358,316128839,0.1
,"2013","2013","Other streptococcal septicaemia","A40.8",40,316128839,0.0
,"2013","2013","Streptococcal septicaemia, unspecified","A40.9",368,316128839,0.1
,"2013","2013","Septicaemia due to Staphylococcus aureus","A41.0",1976,316128839,0.6
,"2013","2013","Septicaemia due to other specified staphylococcus","A41.1",32,316128839,0.0
,"2013","2013","Septicaemia due to unspecified staphylococcus","A41.2",840,316128839,0.3
,"2013","2013","Septicaemia due to Haemophilus influenzae","A41.3",35,316128839,0.0
,"2013","2013","Septicaemia due to anaerobes","A41.4",362,316128839,0.1
,"2013","2013","Septicaemia due to other Gram-negative organisms","A41.5",3613,316128839,1.1
,"2013","2013","Other specified septicaemia","A41.8",225,316128839,0.1
,"2013","2013","Septicaemia, unspecified","A41.9",165417,316128839,52.3
"Total","2013","2013",,,173734,316128839,55.0
,"2014","2014","Septicaemia due to streptococcus, group A","A40.0",65,318857056,0.0
,"2014","2014","Septicaemia due to streptococcus, group B","A40.1",62,318857056,0.0
,"2014","2014","Septicaemia due to streptococcus, group D","A40.2",315,318857056,0.1
,"2014","2014","Septicaemia due to Streptococcus pneumoniae","A40.3",293,318857056,0.1
,"2014","2014","Other streptococcal septicaemia","A40.8",39,318857056,0.0
,"2014","2014","Streptococcal septicaemia, unspecified","A40.9",379,318857056,0.1
,"2014","2014","Septicaemia due to Staphylococcus aureus","A41.0",2025,318857056,0.6
,"2014","2014","Septicaemia due to other specified staphylococcus","A41.1",22,318857056,0.0
,"2014","2014","Septicaemia due to unspecified staphylococcus","A41.2",740,318857056,0.2
,"2014","2014","Septicaemia due to Haemophilus influenzae","A41.3",24,318857056,0.0
,"2014","2014","Septicaemia due to anaerobes","A41.4",324,318857056,0.1
,"2014","2014","Septicaemia due to other Gram-negative organisms","A41.5",3652,318857056,1.1
,"2014","2014","Other specified septicaemia","A41.8",217,318857056,0.1
,"2014","2014","Septicaemia, unspecified","A41.9",174205,318857056,54.6
"Total","2014","2014",,,182362,318857056,57.2
,"2015","2015","Septicaemia due to streptococcus, group A","A40.0",70,321418820,0.0
,"2015","2015","Septicaemia due to streptococcus, group B","A40.1",72,321418820,0.0
,"2015","2015","Septicaemia due to streptococcus, group D","A40.2",376,321418820,0.1
,"2015","2015","Septicaemia due to Streptococcus pneumoniae","A40.3",285,321418820,0.1
,"2015","2015","Other streptococcal septicaemia","A40.8",45,321418820,0.0
,"2015","2015","Streptococcal septicaemia, unspecified","A40.9",430,321418820,0.1
,"2015","2015","Septicaemia due to Staphylococcus aureus","A41.0",2117,321418820,0.7
,"2015","2015","Septicaemia due to other specified staphylococcus","A41.1",27,321418820,0.0
,"2015","2015","Septicaemia due to unspecified staphylococcus","A41.2",726,321418820,0.2
,"2015","2015","Septicaemia due to Haemophilus influenzae","A41.3",56,321418820,0.0
,"2015","2015","Septicaemia due to anaerobes","A41.4",335,321418820,0.1
,"2015","2015","Septicaemia due to other Gram-negative organisms","A41.5",3912,321418820,1.2
,"2015","2015","Other specified septicaemia","A41.8",203,321418820,0.1
,"2015","2015","Septicaemia, unspecified","A41.9",186684,321418820,58.1
"Total","2015","2015",,,195338,321418820,60.8
,"2016","2016","Septicaemia due to streptococcus, group A","A40.0",88,323127513,0.0
,"2016","2016","Septicaemia due to streptococcus, group B","A40.1",86,323127513,0.0
,"2016","2016","Septicaemia due to streptococcus, group D","A40.2",431,323127513,0.1
,"2016","2016","Septicaemia due to Streptococcus pneumoniae","A40.3",321,323127513,0.1
,"2016","2016","Other streptococcal septicaemia","A40.8",58,323127513,0.0
,"2016","2016","Streptococcal septicaemia, unspecified","A40.9",469,323127513,0.1
,"2016","2016","Septicaemia due to Staphylococcus aureus","A41.0",2306,323127513,0.7
,"2016","2016","Septicaemia due to other specified staphylococcus","A41.1",53,323127513,0.0
,"2016","2016","Septicaemia due to unspecified staphylococcus","A41.2",673,323127513,0.2
,"2016","2016","Septicaemia due to Haemophilus influenzae","A41.3",52,323127513,0.0
,"2016","2016","Septicaemia due to anaerobes","A41.4",402,323127513,0.1
,"2016","2016","Septicaemia due to other Gram-negative organisms","A41.5",4320,323127513,1.3
,"2016","2016","Other specified septicaemia","A41.8",268,323127513,0.1
,"2016","2016","Septicaemia, unspecified","A41.9",188790,323127513,58.4
"Total","2016","2016",,,198317,323127513,61.4
,"2017","2017","Septicaemia due to streptococcus, group A","A40.0",84,325719178,0.0
,"2017","2017","Septicaemia due to streptococcus, group B","A40.1",76,325719178,0.0
,"2017","2017","Septicaemia due to streptococcus, group D","A40.2",367,325719178,0.1
,"2017","2017","Septicaemia due to Streptococcus pneumoniae","A40.3",296,325719178,0.1
,"2017","2017","Other streptococcal septicaemia","A40.8",45,325719178,0.0
,"2017","2017","Streptococcal septicaemia, unspecified","A40.9",492,325719178,0.2
,"2017","2017","Septicaemia due to Staphylococcus aureus","A41.0",2038,325719178,0.6
,"2017","2017","Septicaemia due to other specified staphylococcus","A41.1",30,325719178,0.0
,"2017","2017","Septicaemia due to unspecified staphylococcus","A41.2",580,325719178,0.2
,"2017","2017","Septicaemia due to Haemophilus influenzae","A41.3",52,325719178,0.0
,"2017","2017","Septicaemia due to anaerobes","A41.4",293,325719178,0.1
,"2017","2017","Septicaemia due to other Gram-negative organisms","A41.5",3897,325719178,1.2
,"2017","2017","Other specified septicaemia","A41.8",158,325719178,0.0
,"2017","2017","Septicaemia, unspecified","A41.9",195407,325719178,60.0
"Total","2017","2017",,,203815,325719178,62.6
"Total",,,,,1443484,2539502901,56.8
"---"
"Dataset: Multiple Cause of Death, 1999-2020"
"Query Parameters:"
"MCD - ICD-10 Codes: A40.0 (Septicaemia due to streptococcus, group A); A40.1 (Septicaemia due to streptococcus, group B); A40.2"
"(Septicaemia due to streptococcus, group D); A40.3 (Septicaemia due to Streptococcus pneumoniae); A40.8 (Other streptococcal"
"septicaemia); A40.9 (Streptococcal septicaemia, unspecified); A41.0 (Septicaemia due to Staphylococcus aureus); A41.1"
"(Septicaemia due to other specified staphylococcus); A41.2 (Septicaemia due to unspecified staphylococcus); A41.3 (Septicaemia"
"due to Haemophilus influenzae); A41.4 (Septicaemia due to anaerobes); A41.5 (Septicaemia due to other Gram-negative organisms);"
"A41.8 (Other specified septicaemia); A41.9 (Septicaemia, unspecified)"
"Year/Month: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017"
"Group By: Year; Multiple Cause of death"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Jan 8, 2026 7:37:32 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10.html on Jan 8, 2026 7:37:32 PM"
"---"
Footnotes:
"1. Totals and sub-totals show the frequency of the selected causes of death, which may be greater than the number of deaths."
"Note that any single death record may have up to 20 causes. More information."
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"2. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"
"postcensal series released by NCHS on June 13, 2013. Population figures for 2011 are bridged-race estimates of the July 1"
"resident population, from the county-level postcensal Vintage 2011 series released by NCHS on July 18, 2012. Population figures"
"for 2010 are April 1 Census counts. The population figures for years 2001 - 2009, are bridged-race estimates of the July 1"
"resident population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012."
"Population figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of"
"July 1 estimates. Population figures for Infant Age Groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"3. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group."
"4. Beginning with the 2018 data, changes have been implemented that affect the counts for ICD-10 cause of death codes O00-O99"
"compared to previous practice. In addition, data for the cause of death codes O00-O99 for 2003 through 2017 reflect differences"
"in information available to individual states and probable errors. Caution should be used in interpreting these data. More"
"information can be found at: https://www.cdc.gov/nchs/maternal-mortality/."
"5. On March 11, 2021, the 2019 mortality data on CDC WONDER was updated with the 2019 mortality data updated by NCHS on March 4,"
"2021 to include corrected information for residents of Texas affecting 5 records previously coded to cause code *U01.4,"
"Terrorism involving firearms (homicide). The underlying and multiple cause of death codes for 5 records were corrected in the"
"2019 data. Underlying and multiple cause of death codes for those 5 records were recoded to Assault (homicide) by other and"
"unspecified firearm discharge, ICD-10 code X95. The corrected final death records replaces the data released on December 22,"
"2020."
"6. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#ICD-10 Changes."
