"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Five-Year Age Groups","Five-Year Age Groups Code","Sex","Sex Code","Race","Race Code",Deaths,Population,Crude Rate
,"1999","1999","Other bacterial diseases","A30-A49","30-34 years","30-34","Male","M","Asian or Pacific Islander","A-PI",20,490502,4.1
,"1999","1999","Other bacterial diseases","A30-A49","30-34 years","30-34","Male","M","Black or African American","2054-5",210,1308656,16.0
,"1999","1999","Other bacterial diseases","A30-A49","30-34 years","30-34","Male","M","White","2106-3",405,8447156,4.8
,"1999","1999","Other bacterial diseases","A30-A49","35-39 years","35-39","Female","F","American Indian or Alaska Native","1002-5",20,117270,17.1
,"1999","1999","Other bacterial diseases","A30-A49","35-39 years","35-39","Female","F","Asian or Pacific Islander","A-PI",13,514740,Unreliable
,"1999","1999","Other bacterial diseases","A30-A49","35-39 years","35-39","Female","F","Black or African American","2054-5",324,1564410,20.7
,"1999","1999","Other bacterial diseases","A30-A49","35-39 years","35-39","Female","F","White","2106-3",529,9277734,5.7
,"1999","1999","Other bacterial diseases","A30-A49","35-39 years","35-39","Male","M","American Indian or Alaska Native","1002-5",16,114524,Unreliable
,"1999","1999","Other bacterial diseases","A30-A49","35-39 years","35-39","Male","M","Asian or Pacific Islander","A-PI",22,481693,4.6
,"1999","1999","Other bacterial diseases","A30-A49","35-39 years","35-39","Male","M","Black or African American","2054-5",363,1387055,26.2
,"1999","1999","Other bacterial diseases","A30-A49","35-39 years","35-39","Male","M","White","2106-3",754,9425123,8.0
,"1999","1999","Other bacterial diseases","A30-A49","40-44 years","40-44","Female","F","American Indian or Alaska Native","1002-5",13,108927,Unreliable
,"1999","1999","Other bacterial diseases","A30-A49","40-44 years","40-44","Female","F","Asian or Pacific Islander","A-PI",16,483359,Unreliable
,"1999","1999","Other bacterial diseases","A30-A49","40-44 years","40-44","Female","F","Black or African American","2054-5",502,1468119,34.2
,"1999","1999","Other bacterial diseases","A30-A49","40-44 years","40-44","Female","F","White","2106-3",831,9135045,9.1
,"1999","1999","Other bacterial diseases","A30-A49","40-44 years","40-44","Male","M","American Indian or Alaska Native","1002-5",23,103043,22.3
,"1999","1999","Other bacterial diseases","A30-A49","40-44 years","40-44","Male","M","Asian or Pacific Islander","A-PI",36,435269,8.3
,"1999","1999","Other bacterial diseases","A30-A49","40-44 years","40-44","Male","M","Black or African American","2054-5",645,1291354,49.9
,"1999","1999","Other bacterial diseases","A30-A49","40-44 years","40-44","Male","M","White","2106-3",1201,9169012,13.1
,"1999","1999","Other bacterial diseases","A30-A49","45-49 years","45-49","Female","F","American Indian or Alaska Native","1002-5",20,90336,22.1
,"1999","1999","Other bacterial diseases","A30-A49","45-49 years","45-49","Female","F","Asian or Pacific Islander","A-PI",42,427529,9.8
,"1999","1999","Other bacterial diseases","A30-A49","45-49 years","45-49","Female","F","Black or African American","2054-5",599,1229341,48.7
,"1999","1999","Other bacterial diseases","A30-A49","45-49 years","45-49","Female","F","White","2106-3",1190,8240528,14.4
,"1999","1999","Other bacterial diseases","A30-A49","45-49 years","45-49","Male","M","American Indian or Alaska Native","1002-5",26,85195,30.5
,"1999","1999","Other bacterial diseases","A30-A49","45-49 years","45-49","Male","M","Asian or Pacific Islander","A-PI",40,369634,10.8
,"1999","1999","Other bacterial diseases","A30-A49","45-49 years","45-49","Male","M","Black or African American","2054-5",790,1060502,74.5
,"1999","1999","Other bacterial diseases","A30-A49","45-49 years","45-49","Male","M","White","2106-3",1624,8151142,19.9
,"1999","1999","Other bacterial diseases","A30-A49","50-54 years","50-54","Female","F","American Indian or Alaska Native","1002-5",31,71341,43.5
,"1999","1999","Other bacterial diseases","A30-A49","50-54 years","50-54","Female","F","Asian or Pacific Islander","A-PI",45,343698,13.1
,"1999","1999","Other bacterial diseases","A30-A49","50-54 years","50-54","Female","F","Black or African American","2054-5",595,957589,62.1
,"1999","1999","Other bacterial diseases","A30-A49","50-54 years","50-54","Female","F","White","2106-3",1611,7271943,22.2
,"1999","1999","Other bacterial diseases","A30-A49","50-54 years","50-54","Male","M","American Indian or Alaska Native","1002-5",33,67122,49.2
,"1999","1999","Other bacterial diseases","A30-A49","50-54 years","50-54","Male","M","Asian or Pacific Islander","A-PI",54,300193,18.0
,"1999","1999","Other bacterial diseases","A30-A49","50-54 years","50-54","Male","M","Black or African American","2054-5",791,811874,97.4
,"1999","1999","Other bacterial diseases","A30-A49","50-54 years","50-54","Male","M","White","2106-3",2104,7099852,29.6
,"1999","1999","Other bacterial diseases","A30-A49","55-59 years","55-59","Female","F","American Indian or Alaska Native","1002-5",26,50646,51.3
,"1999","1999","Other bacterial diseases","A30-A49","55-59 years","55-59","Female","F","Asian or Pacific Islander","A-PI",53,237721,22.3
,"1999","1999","Other bacterial diseases","A30-A49","55-59 years","55-59","Female","F","Black or African American","2054-5",732,722150,101.4
,"1999","1999","Other bacterial diseases","A30-A49","55-59 years","55-59","Female","F","White","2106-3",2167,5754517,37.7
,"1999","1999","Other bacterial diseases","A30-A49","55-59 years","55-59","Male","M","American Indian or Alaska Native","1002-5",43,47202,91.1
,"1999","1999","Other bacterial diseases","A30-A49","55-59 years","55-59","Male","M","Asian or Pacific Islander","A-PI",73,211740,34.5
,"1999","1999","Other bacterial diseases","A30-A49","55-59 years","55-59","Male","M","Black or African American","2054-5",847,589866,143.6
,"1999","1999","Other bacterial diseases","A30-A49","55-59 years","55-59","Male","M","White","2106-3",2565,5470979,46.9
,"1999","1999","Other bacterial diseases","A30-A49","60-64 years ","60-64","Female","F","American Indian or Alaska Native","1002-5",39,37824,103.1
,"1999","1999","Other bacterial diseases","A30-A49","60-64 years ","60-64","Female","F","Asian or Pacific Islander","A-PI",72,190223,37.9
,"1999","1999","Other bacterial diseases","A30-A49","60-64 years ","60-64","Female","F","Black or African American","2054-5",889,600993,147.9
,"1999","1999","Other bacterial diseases","A30-A49","60-64 years ","60-64","Female","F","White","2106-3",2770,4784689,57.9
,"1999","1999","Other bacterial diseases","A30-A49","60-64 years ","60-64","Male","M","American Indian or Alaska Native","1002-5",35,34766,100.7
,"1999","1999","Other bacterial diseases","A30-A49","60-64 years ","60-64","Male","M","Asian or Pacific Islander","A-PI",91,166190,54.8
,"1999","1999","Other bacterial diseases","A30-A49","60-64 years ","60-64","Male","M","Black or African American","2054-5",1002,471350,212.6
,"1999","1999","Other bacterial diseases","A30-A49","60-64 years ","60-64","Male","M","White","2106-3",3254,4407170,73.8
,"1999","1999","Other bacterial diseases","A30-A49","65-69 years","65-69","Female","F","American Indian or Alaska Native","1002-5",48,28606,167.8
,"1999","1999","Other bacterial diseases","A30-A49","65-69 years","65-69","Female","F","Asian or Pacific Islander","A-PI",125,162305,77.0
,"1999","1999","Other bacterial diseases","A30-A49","65-69 years","65-69","Female","F","Black or African American","2054-5",1149,519753,221.1
,"1999","1999","Other bacterial diseases","A30-A49","65-69 years","65-69","Female","F","White","2106-3",4228,4431324,95.4
,"1999","1999","Other bacterial diseases","A30-A49","65-69 years","65-69","Male","M","American Indian or Alaska Native","1002-5",34,24113,141.0
,"1999","1999","Other bacterial diseases","A30-A49","65-69 years","65-69","Male","M","Asian or Pacific Islander","A-PI",121,125044,96.8
,"1999","1999","Other bacterial diseases","A30-A49","65-69 years","65-69","Male","M","Black or African American","2054-5",1098,385148,285.1
,"1999","1999","Other bacterial diseases","A30-A49","65-69 years","65-69","Male","M","White","2106-3",4875,3865205,126.1
,"1999","1999","Other bacterial diseases","A30-A49","70-74 years","70-74","Female","F","American Indian or Alaska Native","1002-5",41,21795,188.1
,"1999","1999","Other bacterial diseases","A30-A49","70-74 years","70-74","Female","F","Asian or Pacific Islander","A-PI",143,131025,109.1
,"1999","1999","Other bacterial diseases","A30-A49","70-74 years","70-74","Female","F","Black or African American","2054-5",1503,444367,338.2
,"1999","1999","Other bacterial diseases","A30-A49","70-74 years","70-74","Female","F","White","2106-3",6196,4386249,141.3
,"1999","1999","Other bacterial diseases","A30-A49","70-74 years","70-74","Male","M","American Indian or Alaska Native","1002-5",35,17090,204.8
,"1999","1999","Other bacterial diseases","A30-A49","70-74 years","70-74","Male","M","Asian or Pacific Islander","A-PI",148,96080,154.0
,"1999","1999","Other bacterial diseases","A30-A49","70-74 years","70-74","Male","M","Black or African American","2054-5",1377,294812,467.1
,"1999","1999","Other bacterial diseases","A30-A49","70-74 years","70-74","Male","M","White","2106-3",6849,3485993,196.5
,"1999","1999","Other bacterial diseases","A30-A49","75-79 years","75-79","Female","F","American Indian or Alaska Native","1002-5",50,15848,315.5
,"1999","1999","Other bacterial diseases","A30-A49","75-79 years","75-79","Female","F","Asian or Pacific Islander","A-PI",172,89923,191.3
,"1999","1999","Other bacterial diseases","A30-A49","75-79 years","75-79","Female","F","Black or African American","2054-5",1705,349571,487.7
,"1999","1999","Other bacterial diseases","A30-A49","75-79 years","75-79","Female","F","White","2106-3",8674,3875879,223.8
,"1999","1999","Other bacterial diseases","A30-A49","75-79 years","75-79","Male","M","American Indian or Alaska Native","1002-5",38,10617,357.9
,"1999","1999","Other bacterial diseases","A30-A49","75-79 years","75-79","Male","M","Asian or Pacific Islander","A-PI",197,68814,286.3
,"1999","1999","Other bacterial diseases","A30-A49","75-79 years","75-79","Male","M","Black or African American","2054-5",1443,210570,685.3
,"1999","1999","Other bacterial diseases","A30-A49","75-79 years","75-79","Male","M","White","2106-3",8698,2721384,319.6
,"1999","1999","Other bacterial diseases","A30-A49","80-84 years","80-84","Female","F","American Indian or Alaska Native","1002-5",42,9395,447.0
,"1999","1999","Other bacterial diseases","A30-A49","80-84 years","80-84","Female","F","Asian or Pacific Islander","A-PI",161,51404,313.2
,"1999","1999","Other bacterial diseases","A30-A49","80-84 years","80-84","Female","F","Black or African American","2054-5",1649,231410,712.6
,"1999","1999","Other bacterial diseases","A30-A49","80-84 years","80-84","Female","F","White","2106-3",10064,2787768,361.0
,"1999","1999","Other bacterial diseases","A30-A49","80-84 years","80-84","Male","M","American Indian or Alaska Native","1002-5",23,5413,424.9
,"1999","1999","Other bacterial diseases","A30-A49","80-84 years","80-84","Male","M","Asian or Pacific Islander","A-PI",163,36503,446.5
,"1999","1999","Other bacterial diseases","A30-A49","80-84 years","80-84","Male","M","Black or African American","2054-5",1134,114685,988.8
,"1999","1999","Other bacterial diseases","A30-A49","80-84 years","80-84","Male","M","White","2106-3",8137,1645730,494.4
,"1999","1999","Other bacterial diseases","A30-A49","85-89 years","85-89","Female","F","American Indian or Alaska Native","1002-5",42,Not Applicable,Not Applicable
,"1999","1999","Other bacterial diseases","A30-A49","85-89 years","85-89","Female","F","Asian or Pacific Islander","A-PI",143,Not Applicable,Not Applicable
,"1999","1999","Other bacterial diseases","A30-A49","85-89 years","85-89","Female","F","Black or African American","2054-5",1641,Not Applicable,Not Applicable
,"1999","1999","Other bacterial diseases","A30-A49","85-89 years","85-89","Female","F","White","2106-3",10305,Not Applicable,Not Applicable
,"1999","1999","Other bacterial diseases","A30-A49","85-89 years","85-89","Male","M","American Indian or Alaska Native","1002-5",14,Not Applicable,Not Applicable
,"1999","1999","Other bacterial diseases","A30-A49","85-89 years","85-89","Male","M","Asian or Pacific Islander","A-PI",163,Not Applicable,Not Applicable
,"1999","1999","Other bacterial diseases","A30-A49","85-89 years","85-89","Male","M","Black or African American","2054-5",902,Not Applicable,Not Applicable
,"1999","1999","Other bacterial diseases","A30-A49","85-89 years","85-89","Male","M","White","2106-3",5993,Not Applicable,Not Applicable
,"1999","1999","Other bacterial diseases","A30-A49","90-94 years","90-94","Female","F","American Indian or Alaska Native","1002-5",16,Not Applicable,Not Applicable
,"1999","1999","Other bacterial diseases","A30-A49","90-94 years","90-94","Female","F","Asian or Pacific Islander","A-PI",63,Not Applicable,Not Applicable
,"1999","1999","Other bacterial diseases","A30-A49","90-94 years","90-94","Female","F","Black or African American","2054-5",1013,Not Applicable,Not Applicable
,"1999","1999","Other bacterial diseases","A30-A49","90-94 years","90-94","Female","F","White","2106-3",6873,Not Applicable,Not Applicable
,"1999","1999","Other bacterial diseases","A30-A49","90-94 years","90-94","Male","M","Asian or Pacific Islander","A-PI",65,Not Applicable,Not Applicable
,"1999","1999","Other bacterial diseases","A30-A49","90-94 years","90-94","Male","M","Black or African American","2054-5",417,Not Applicable,Not Applicable
,"1999","1999","Other bacterial diseases","A30-A49","90-94 years","90-94","Male","M","White","2106-3",2816,Not Applicable,Not Applicable
,"1999","1999","Other bacterial diseases","A30-A49","95-99 years","95-99","Female","F","Asian or Pacific Islander","A-PI",33,Not Applicable,Not Applicable
,"1999","1999","Other bacterial diseases","A30-A49","95-99 years","95-99","Female","F","Black or African American","2054-5",453,Not Applicable,Not Applicable
,"1999","1999","Other bacterial diseases","A30-A49","95-99 years","95-99","Female","F","White","2106-3",2554,Not Applicable,Not Applicable
,"1999","1999","Other bacterial diseases","A30-A49","95-99 years","95-99","Male","M","Asian or Pacific Islander","A-PI",11,Not Applicable,Not Applicable
,"1999","1999","Other bacterial diseases","A30-A49","95-99 years","95-99","Male","M","Black or African American","2054-5",155,Not Applicable,Not Applicable
,"1999","1999","Other bacterial diseases","A30-A49","95-99 years","95-99","Male","M","White","2106-3",758,Not Applicable,Not Applicable
,"1999","1999","Other bacterial diseases","A30-A49","100+ years","100+","Female","F","Black or African American","2054-5",142,Not Applicable,Not Applicable
,"1999","1999","Other bacterial diseases","A30-A49","100+ years","100+","Female","F","White","2106-3",413,Not Applicable,Not Applicable
,"1999","1999","Other bacterial diseases","A30-A49","100+ years","100+","Male","M","Black or African American","2054-5",25,Not Applicable,Not Applicable
,"1999","1999","Other bacterial diseases","A30-A49","100+ years","100+","Male","M","White","2106-3",77,Not Applicable,Not Applicable
,"2000","2000","Other bacterial diseases","A30-A49","< 1 year","1","Female","F","Asian or Pacific Islander","A-PI",11,80588,Unreliable
,"2000","2000","Other bacterial diseases","A30-A49","< 1 year","1","Female","F","Black or African American","2054-5",115,302401,38.0
,"2000","2000","Other bacterial diseases","A30-A49","< 1 year","1","Female","F","White","2106-3",211,1447232,14.6
,"2000","2000","Other bacterial diseases","A30-A49","< 1 year","1","Male","M","Asian or Pacific Islander","A-PI",14,84431,Unreliable
,"2000","2000","Other bacterial diseases","A30-A49","< 1 year","1","Male","M","Black or African American","2054-5",135,312650,43.2
,"2000","2000","Other bacterial diseases","A30-A49","< 1 year","1","Male","M","White","2106-3",241,1524372,15.8
,"2000","2000","Other bacterial diseases","A30-A49","1-4 years","1-4","Female","F","Black or African American","2054-5",44,1228210,3.6
,"2000","2000","Other bacterial diseases","A30-A49","1-4 years","1-4","Female","F","White","2106-3",101,5838810,1.7
,"2000","2000","Other bacterial diseases","A30-A49","1-4 years","1-4","Male","M","Black or African American","2054-5",46,1270615,3.6
,"2000","2000","Other bacterial diseases","A30-A49","1-4 years","1-4","Male","M","White","2106-3",112,6142584,1.8
,"2000","2000","Other bacterial diseases","A30-A49","5-9 years","5-9","Female","F","Black or African American","2054-5",16,1707440,Unreliable
,"2000","2000","Other bacterial diseases","A30-A49","5-9 years","5-9","Female","F","White","2106-3",47,7761309,0.6
,"2000","2000","Other bacterial diseases","A30-A49","5-9 years","5-9","Male","M","Black or African American","2054-5",21,1762577,1.2
,"2000","2000","Other bacterial diseases","A30-A49","5-9 years","5-9","Male","M","White","2106-3",68,8179507,0.8
,"2000","2000","Other bacterial diseases","A30-A49","10-14 years","10-14","Female","F","Black or African American","2054-5",14,1640766,Unreliable
,"2000","2000","Other bacterial diseases","A30-A49","10-14 years","10-14","Female","F","White","2106-3",54,7814198,0.7
,"2000","2000","Other bacterial diseases","A30-A49","10-14 years","10-14","Male","M","Black or African American","2054-5",13,1691010,Unreliable
,"2000","2000","Other bacterial diseases","A30-A49","10-14 years","10-14","Male","M","White","2106-3",59,8248024,0.7
,"2000","2000","Other bacterial diseases","A30-A49","15-19 years","15-19","Female","F","Black or African American","2054-5",36,1536869,2.3
,"2000","2000","Other bacterial diseases","A30-A49","15-19 years","15-19","Female","F","White","2106-3",82,7716859,1.1
,"2000","2000","Other bacterial diseases","A30-A49","15-19 years","15-19","Male","M","Black or African American","2054-5",32,1571778,2.0
,"2000","2000","Other bacterial diseases","A30-A49","15-19 years","15-19","Male","M","White","2106-3",106,8218703,1.3
,"2000","2000","Other bacterial diseases","A30-A49","20-24 years","20-24","Female","F","Black or African American","2054-5",72,1433907,5.0
,"2000","2000","Other bacterial diseases","A30-A49","20-24 years","20-24","Female","F","White","2106-3",122,7249136,1.7
,"2000","2000","Other bacterial diseases","A30-A49","20-24 years","20-24","Male","M","Black or African American","2054-5",60,1360383,4.4
,"2000","2000","Other bacterial diseases","A30-A49","20-24 years","20-24","Male","M","White","2106-3",160,7722976,2.1
,"2000","2000","Other bacterial diseases","A30-A49","25-29 years","25-29","Female","F","Black or African American","2054-5",93,1415587,6.6
,"2000","2000","Other bacterial diseases","A30-A49","25-29 years","25-29","Female","F","White","2106-3",184,7491633,2.5
,"2000","2000","Other bacterial diseases","A30-A49","25-29 years","25-29","Male","M","Black or African American","2054-5",86,1281456,6.7
,"2000","2000","Other bacterial diseases","A30-A49","25-29 years","25-29","Male","M","White","2106-3",199,7850735,2.5
,"2000","2000","Other bacterial diseases","A30-A49","30-34 years","30-34","Female","F","Asian or Pacific Islander","A-PI",12,546539,Unreliable
,"2000","2000","Other bacterial diseases","A30-A49","30-34 years","30-34","Female","F","Black or African American","2054-5",158,1450022,10.9
,"2000","2000","Other bacterial diseases","A30-A49","30-34 years","30-34","Female","F","White","2106-3",258,8082203,3.2
,"2000","2000","Other bacterial diseases","A30-A49","30-34 years","30-34","Male","M","Black or African American","2054-5",160,1304434,12.3
,"2000","2000","Other bacterial diseases","A30-A49","30-34 years","30-34","Male","M","White","2106-3",323,8381747,3.9
,"2000","2000","Other bacterial diseases","A30-A49","35-39 years","35-39","Female","F","American Indian or Alaska Native","1002-5",14,121285,Unreliable
,"2000","2000","Other bacterial diseases","A30-A49","35-39 years","35-39","Female","F","Asian or Pacific Islander","A-PI",24,526835,4.6
,"2000","2000","Other bacterial diseases","A30-A49","35-39 years","35-39","Female","F","Black or African American","2054-5",260,1563679,16.6
,"2000","2000","Other bacterial diseases","A30-A49","35-39 years","35-39","Female","F","White","2106-3",518,9176169,5.6
,"2000","2000","Other bacterial diseases","A30-A49","35-39 years","35-39","Male","M","American Indian or Alaska Native","1002-5",12,119052,Unreliable
,"2000","2000","Other bacterial diseases","A30-A49","35-39 years","35-39","Male","M","Asian or Pacific Islander","A-PI",20,497047,4.0
,"2000","2000","Other bacterial diseases","A30-A49","35-39 years","35-39","Male","M","Black or African American","2054-5",247,1386896,17.8
,"2000","2000","Other bacterial diseases","A30-A49","35-39 years","35-39","Male","M","White","2106-3",637,9315701,6.8
,"2000","2000","Other bacterial diseases","A30-A49","40-44 years","40-44","Female","F","American Indian or Alaska Native","1002-5",14,114950,Unreliable
,"2000","2000","Other bacterial diseases","A30-A49","40-44 years","40-44","Female","F","Asian or Pacific Islander","A-PI",27,496750,5.4
,"2000","2000","Other bacterial diseases","A30-A49","40-44 years","40-44","Female","F","Black or African American","2054-5",381,1490950,25.6
,"2000","2000","Other bacterial diseases","A30-A49","40-44 years","40-44","Female","F","White","2106-3",814,9210111,8.8
,"2000","2000","Other bacterial diseases","A30-A49","40-44 years","40-44","Male","M","American Indian or Alaska Native","1002-5",24,109593,21.9
,"2000","2000","Other bacterial diseases","A30-A49","40-44 years","40-44","Male","M","Asian or Pacific Islander","A-PI",29,449527,6.5
,"2000","2000","Other bacterial diseases","A30-A49","40-44 years","40-44","Male","M","Black or African American","2054-5",442,1317791,33.5
,"2000","2000","Other bacterial diseases","A30-A49","40-44 years","40-44","Male","M","White","2106-3",1104,9252191,11.9
,"2000","2000","Other bacterial diseases","A30-A49","45-49 years","45-49","Female","F","American Indian or Alaska Native","1002-5",21,96781,21.7
,"2000","2000","Other bacterial diseases","A30-A49","45-49 years","45-49","Female","F","Asian or Pacific Islander","A-PI",31,443856,7.0
,"2000","2000","Other bacterial diseases","A30-A49","45-49 years","45-49","Female","F","Black or African American","2054-5",533,1264346,42.2
,"2000","2000","Other bacterial diseases","A30-A49","45-49 years","45-49","Female","F","White","2106-3",1156,8397915,13.8
,"2000","2000","Other bacterial diseases","A30-A49","45-49 years","45-49","Male","M","American Indian or Alaska Native","1002-5",26,91534,28.4
,"2000","2000","Other bacterial diseases","A30-A49","45-49 years","45-49","Male","M","Asian or Pacific Islander","A-PI",51,386131,13.2
,"2000","2000","Other bacterial diseases","A30-A49","45-49 years","45-49","Male","M","Black or African American","2054-5",692,1096126,63.1
,"2000","2000","Other bacterial diseases","A30-A49","45-49 years","45-49","Male","M","White","2106-3",1654,8315715,19.9
,"2000","2000","Other bacterial diseases","A30-A49","50-54 years","50-54","Female","F","American Indian or Alaska Native","1002-5",34,77314,44.0
,"2000","2000","Other bacterial diseases","A30-A49","50-54 years","50-54","Female","F","Asian or Pacific Islander","A-PI",45,368269,12.2
,"2000","2000","Other bacterial diseases","A30-A49","50-54 years","50-54","Female","F","Black or African American","2054-5",638,1009332,63.2
,"2000","2000","Other bacterial diseases","A30-A49","50-54 years","50-54","Female","F","White","2106-3",1725,7522909,22.9
,"2000","2000","Other bacterial diseases","A30-A49","50-54 years","50-54","Male","M","American Indian or Alaska Native","1002-5",25,73452,34.0
,"2000","2000","Other bacterial diseases","A30-A49","50-54 years","50-54","Male","M","Asian or Pacific Islander","A-PI",52,319238,16.3
,"2000","2000","Other bacterial diseases","A30-A49","50-54 years","50-54","Male","M","Black or African American","2054-5",801,860621,93.1
,"2000","2000","Other bacterial diseases","A30-A49","50-54 years","50-54","Male","M","White","2106-3",2166,7354413,29.5
,"2000","2000","Other bacterial diseases","A30-A49","55-59 years","55-59","Female","F","American Indian or Alaska Native","1002-5",36,54563,66.0
,"2000","2000","Other bacterial diseases","A30-A49","55-59 years","55-59","Female","F","Asian or Pacific Islander","A-PI",81,251678,32.2
,"2000","2000","Other bacterial diseases","A30-A49","55-59 years","55-59","Female","F","Black or African American","2054-5",718,740990,96.9
,"2000","2000","Other bacterial diseases","A30-A49","55-59 years","55-59","Female","F","White","2106-3",2172,5913277,36.7
,"2000","2000","Other bacterial diseases","A30-A49","55-59 years","55-59","Male","M","American Indian or Alaska Native","1002-5",28,51121,54.8
,"2000","2000","Other bacterial diseases","A30-A49","55-59 years","55-59","Male","M","Asian or Pacific Islander","A-PI",73,223922,32.6
,"2000","2000","Other bacterial diseases","A30-A49","55-59 years","55-59","Male","M","Black or African American","2054-5",822,607295,135.4
,"2000","2000","Other bacterial diseases","A30-A49","55-59 years","55-59","Male","M","White","2106-3",2668,5626391,47.4
,"2000","2000","Other bacterial diseases","A30-A49","60-64 years ","60-64","Female","F","American Indian or Alaska Native","1002-5",30,40504,74.1
,"2000","2000","Other bacterial diseases","A30-A49","60-64 years ","60-64","Female","F","Asian or Pacific Islander","A-PI",80,198864,40.2
,"2000","2000","Other bacterial diseases","A30-A49","60-64 years ","60-64","Female","F","Black or African American","2054-5",949,611886,155.1
,"2000","2000","Other bacterial diseases","A30-A49","60-64 years ","60-64","Female","F","White","2106-3",2887,4817566,59.9
,"2000","2000","Other bacterial diseases","A30-A49","60-64 years ","60-64","Male","M","American Indian or Alaska Native","1002-5",35,37289,93.9
,"2000","2000","Other bacterial diseases","A30-A49","60-64 years ","60-64","Male","M","Asian or Pacific Islander","A-PI",94,175365,53.6
,"2000","2000","Other bacterial diseases","A30-A49","60-64 years ","60-64","Male","M","Black or African American","2054-5",996,482966,206.2
