"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Sex","Sex Code","Single Race 6","Single Race 6 Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Renal failure","N17-N19","2019","2019","Female","F","Black or African American","2054-5","45-54 years","45-54",306,2876648,10.6
,"Renal failure","N17-N19","2019","2019","Female","F","Black or African American","2054-5","55-64 years","55-64",749,2800859,26.7
,"Renal failure","N17-N19","2019","2019","Female","F","Black or African American","2054-5","65-74 years","65-74",922,1835359,50.2
,"Renal failure","N17-N19","2019","2019","Female","F","Black or African American","2054-5","75-84 years","75-84",942,867300,108.6
,"Renal failure","N17-N19","2019","2019","Female","F","Black or African American","2054-5","85+ years","85+",915,367289,249.1
,"Renal failure","N17-N19","2019","2019","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI","55-64 years","55-64",12,40158,Unreliable
,"Renal failure","N17-N19","2019","2019","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI","65-74 years","65-74",11,23882,Unreliable
,"Renal failure","N17-N19","2019","2019","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI","75-84 years","75-84",10,10153,Unreliable
,"Renal failure","N17-N19","2019","2019","Female","F","White","2106-3","25-34 years","25-34",126,16321230,0.8
,"Renal failure","N17-N19","2019","2019","Female","F","White","2106-3","35-44 years","35-44",388,15394774,2.5
,"Renal failure","N17-N19","2019","2019","Female","F","White","2106-3","45-54 years","45-54",993,15756904,6.3
,"Renal failure","N17-N19","2019","2019","Female","F","White","2106-3","55-64 years","55-64",2596,17414888,14.9
,"Renal failure","N17-N19","2019","2019","Female","F","White","2106-3","65-74 years","65-74",4658,13765649,33.8
,"Renal failure","N17-N19","2019","2019","Female","F","White","2106-3","75-84 years","75-84",6563,7551472,86.9
,"Renal failure","N17-N19","2019","2019","Female","F","White","2106-3","85+ years","85+",8211,3619254,226.9
,"Renal failure","N17-N19","2019","2019","Female","F","More than one race","M","45-54 years","45-54",13,347103,Unreliable
,"Renal failure","N17-N19","2019","2019","Female","F","More than one race","M","55-64 years","55-64",21,284584,7.4
,"Renal failure","N17-N19","2019","2019","Female","F","More than one race","M","65-74 years","65-74",31,170534,18.2
,"Renal failure","N17-N19","2019","2019","Female","F","More than one race","M","75-84 years","75-84",29,77167,37.6
,"Renal failure","N17-N19","2019","2019","Female","F","More than one race","M","85+ years","85+",32,31670,101.0
,"Renal failure","N17-N19","2019","2019","Male","M","American Indian or Alaska Native","1002-5","25-34 years","25-34",12,344901,Unreliable
,"Renal failure","N17-N19","2019","2019","Male","M","American Indian or Alaska Native","1002-5","35-44 years","35-44",30,290505,10.3
,"Renal failure","N17-N19","2019","2019","Male","M","American Indian or Alaska Native","1002-5","45-54 years","45-54",30,250285,12.0
,"Renal failure","N17-N19","2019","2019","Male","M","American Indian or Alaska Native","1002-5","55-64 years","55-64",59,214611,27.5
,"Renal failure","N17-N19","2019","2019","Male","M","American Indian or Alaska Native","1002-5","65-74 years","65-74",63,122177,51.6
,"Renal failure","N17-N19","2019","2019","Male","M","American Indian or Alaska Native","1002-5","75-84 years","75-84",48,47808,100.4
,"Renal failure","N17-N19","2019","2019","Male","M","American Indian or Alaska Native","1002-5","85+ years","85+",26,13205,196.9
,"Renal failure","N17-N19","2019","2019","Male","M","Asian","A","25-34 years","25-34",14,1635538,Unreliable
,"Renal failure","N17-N19","2019","2019","Male","M","Asian","A","35-44 years","35-44",29,1472116,2.0
,"Renal failure","N17-N19","2019","2019","Male","M","Asian","A","45-54 years","45-54",76,1249824,6.1
,"Renal failure","N17-N19","2019","2019","Male","M","Asian","A","55-64 years","55-64",118,985079,12.0
,"Renal failure","N17-N19","2019","2019","Male","M","Asian","A","65-74 years","65-74",204,665448,30.7
,"Renal failure","N17-N19","2019","2019","Male","M","Asian","A","75-84 years","75-84",286,314268,91.0
,"Renal failure","N17-N19","2019","2019","Male","M","Asian","A","85+ years","85+",270,109926,245.6
,"Renal failure","N17-N19","2019","2019","Male","M","Black or African American","2054-5","25-34 years","25-34",83,3492900,2.4
,"Renal failure","N17-N19","2019","2019","Male","M","Black or African American","2054-5","35-44 years","35-44",134,2723729,4.9
,"Renal failure","N17-N19","2019","2019","Male","M","Black or African American","2054-5","45-54 years","45-54",363,2529998,14.3
,"Renal failure","N17-N19","2019","2019","Male","M","Black or African American","2054-5","55-64 years","55-64",848,2369016,35.8
,"Renal failure","N17-N19","2019","2019","Male","M","Black or African American","2054-5","65-74 years","65-74",1068,1380913,77.3
,"Renal failure","N17-N19","2019","2019","Male","M","Black or African American","2054-5","75-84 years","75-84",907,549833,165.0
,"Renal failure","N17-N19","2019","2019","Male","M","Black or African American","2054-5","85+ years","85+",542,161831,334.9
,"Renal failure","N17-N19","2019","2019","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI","45-54 years","45-54",11,48363,Unreliable
,"Renal failure","N17-N19","2019","2019","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI","55-64 years","55-64",12,38240,Unreliable
,"Renal failure","N17-N19","2019","2019","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI","65-74 years","65-74",12,21919,Unreliable
,"Renal failure","N17-N19","2019","2019","Male","M","White","2106-3","25-34 years","25-34",223,17169835,1.3
,"Renal failure","N17-N19","2019","2019","Male","M","White","2106-3","35-44 years","35-44",580,15809201,3.7
,"Renal failure","N17-N19","2019","2019","Male","M","White","2106-3","45-54 years","45-54",1538,15781686,9.7
,"Renal failure","N17-N19","2019","2019","Male","M","White","2106-3","55-64 years","55-64",3840,16638173,23.1
,"Renal failure","N17-N19","2019","2019","Male","M","White","2106-3","65-74 years","65-74",6395,12362274,51.7
,"Renal failure","N17-N19","2019","2019","Male","M","White","2106-3","75-84 years","75-84",7858,6018458,130.6
,"Renal failure","N17-N19","2019","2019","Male","M","White","2106-3","85+ years","85+",6989,2070601,337.5
,"Renal failure","N17-N19","2019","2019","Male","M","More than one race","M","45-54 years","45-54",17,311810,Unreliable
,"Renal failure","N17-N19","2019","2019","Male","M","More than one race","M","55-64 years","55-64",37,254100,14.6
,"Renal failure","N17-N19","2019","2019","Male","M","More than one race","M","65-74 years","65-74",42,146848,28.6
,"Renal failure","N17-N19","2019","2019","Male","M","More than one race","M","75-84 years","75-84",36,59384,60.6
,"Renal failure","N17-N19","2019","2019","Male","M","More than one race","M","85+ years","85+",25,18351,136.2
,"Renal failure","N17-N19","2020","2020","Female","F","American Indian or Alaska Native","1002-5","25-34 years","25-34",16,320490,Unreliable
,"Renal failure","N17-N19","2020","2020","Female","F","American Indian or Alaska Native","1002-5","35-44 years","35-44",35,276495,12.7
,"Renal failure","N17-N19","2020","2020","Female","F","American Indian or Alaska Native","1002-5","45-54 years","45-54",45,244956,18.4
,"Renal failure","N17-N19","2020","2020","Female","F","American Indian or Alaska Native","1002-5","55-64 years","55-64",86,231588,37.1
,"Renal failure","N17-N19","2020","2020","Female","F","American Indian or Alaska Native","1002-5","65-74 years","65-74",76,146082,52.0
,"Renal failure","N17-N19","2020","2020","Female","F","American Indian or Alaska Native","1002-5","75-84 years","75-84",74,63709,116.2
,"Renal failure","N17-N19","2020","2020","Female","F","American Indian or Alaska Native","1002-5","85+ years","85+",42,23614,177.9
,"Renal failure","N17-N19","2020","2020","Female","F","Asian","A","35-44 years","35-44",20,1682217,1.2
,"Renal failure","N17-N19","2020","2020","Female","F","Asian","A","45-54 years","45-54",45,1457277,3.1
,"Renal failure","N17-N19","2020","2020","Female","F","Asian","A","55-64 years","55-64",96,1192784,8.0
,"Renal failure","N17-N19","2020","2020","Female","F","Asian","A","65-74 years","65-74",200,890821,22.5
,"Renal failure","N17-N19","2020","2020","Female","F","Asian","A","75-84 years","75-84",284,427872,66.4
,"Renal failure","N17-N19","2020","2020","Female","F","Asian","A","85+ years","85+",390,194827,200.2
,"Renal failure","N17-N19","2020","2020","Female","F","Black or African American","2054-5","25-34 years","25-34",61,3546510,1.7
,"Renal failure","N17-N19","2020","2020","Female","F","Black or African American","2054-5","35-44 years","35-44",181,3046227,5.9
,"Renal failure","N17-N19","2020","2020","Female","F","Black or African American","2054-5","45-54 years","45-54",434,2850662,15.2
,"Renal failure","N17-N19","2020","2020","Female","F","Black or African American","2054-5","55-64 years","55-64",1035,2824910,36.6
,"Renal failure","N17-N19","2020","2020","Female","F","Black or African American","2054-5","65-74 years","65-74",1447,1923090,75.2
,"Renal failure","N17-N19","2020","2020","Female","F","Black or African American","2054-5","75-84 years","75-84",1413,896629,157.6
,"Renal failure","N17-N19","2020","2020","Female","F","Black or African American","2054-5","85+ years","85+",1240,376151,329.7
,"Renal failure","N17-N19","2020","2020","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI","55-64 years","55-64",23,41200,55.8
,"Renal failure","N17-N19","2020","2020","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI","65-74 years","65-74",16,25379,Unreliable
,"Renal failure","N17-N19","2020","2020","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI","75-84 years","75-84",18,10980,Unreliable
,"Renal failure","N17-N19","2020","2020","Female","F","White","2106-3","25-34 years","25-34",200,16321512,1.2
,"Renal failure","N17-N19","2020","2020","Female","F","White","2106-3","35-44 years","35-44",526,15533913,3.4
,"Renal failure","N17-N19","2020","2020","Female","F","White","2106-3","45-54 years","45-54",1284,15486493,8.3
,"Renal failure","N17-N19","2020","2020","Female","F","White","2106-3","55-64 years","55-64",3300,17332858,19.0
,"Renal failure","N17-N19","2020","2020","Female","F","White","2106-3","65-74 years","65-74",6198,14199413,43.6
,"Renal failure","N17-N19","2020","2020","Female","F","White","2106-3","75-84 years","75-84",7976,7747481,102.9
,"Renal failure","N17-N19","2020","2020","Female","F","White","2106-3","85+ years","85+",9552,3611728,264.5
,"Renal failure","N17-N19","2020","2020","Female","F","More than one race","M","35-44 years","35-44",12,490123,Unreliable
,"Renal failure","N17-N19","2020","2020","Female","F","More than one race","M","45-54 years","45-54",18,353702,Unreliable
,"Renal failure","N17-N19","2020","2020","Female","F","More than one race","M","55-64 years","55-64",46,290903,15.8
,"Renal failure","N17-N19","2020","2020","Female","F","More than one race","M","65-74 years","65-74",44,181073,24.3
,"Renal failure","N17-N19","2020","2020","Female","F","More than one race","M","75-84 years","75-84",54,81601,66.2
,"Renal failure","N17-N19","2020","2020","Female","F","More than one race","M","85+ years","85+",30,33191,90.4
,"Renal failure","N17-N19","2020","2020","Male","M","American Indian or Alaska Native","1002-5","25-34 years","25-34",19,346136,Unreliable
,"Renal failure","N17-N19","2020","2020","Male","M","American Indian or Alaska Native","1002-5","35-44 years","35-44",50,294777,17.0
,"Renal failure","N17-N19","2020","2020","Male","M","American Indian or Alaska Native","1002-5","45-54 years","45-54",65,250264,26.0
,"Renal failure","N17-N19","2020","2020","Male","M","American Indian or Alaska Native","1002-5","55-64 years","55-64",102,218305,46.7
,"Renal failure","N17-N19","2020","2020","Male","M","American Indian or Alaska Native","1002-5","65-74 years","65-74",116,128942,90.0
,"Renal failure","N17-N19","2020","2020","Male","M","American Indian or Alaska Native","1002-5","75-84 years","75-84",85,50759,167.5
,"Renal failure","N17-N19","2020","2020","Male","M","American Indian or Alaska Native","1002-5","85+ years","85+",47,14245,329.9
,"Renal failure","N17-N19","2020","2020","Male","M","Asian","A","25-34 years","25-34",16,1633042,Unreliable
,"Renal failure","N17-N19","2020","2020","Male","M","Asian","A","35-44 years","35-44",43,1499394,2.9
,"Renal failure","N17-N19","2020","2020","Male","M","Asian","A","45-54 years","45-54",95,1274229,7.5
,"Renal failure","N17-N19","2020","2020","Male","M","Asian","A","55-64 years","55-64",213,1002002,21.3
,"Renal failure","N17-N19","2020","2020","Male","M","Asian","A","65-74 years","65-74",384,695521,55.2
,"Renal failure","N17-N19","2020","2020","Male","M","Asian","A","75-84 years","75-84",416,331575,125.5
,"Renal failure","N17-N19","2020","2020","Male","M","Asian","A","85+ years","85+",358,118062,303.2
,"Renal failure","N17-N19","2020","2020","Male","M","Black or African American","2054-5","25-34 years","25-34",109,3548328,3.1
,"Renal failure","N17-N19","2020","2020","Male","M","Black or African American","2054-5","35-44 years","35-44",232,2773914,8.4
,"Renal failure","N17-N19","2020","2020","Male","M","Black or African American","2054-5","45-54 years","45-54",606,2502927,24.2
,"Renal failure","N17-N19","2020","2020","Male","M","Black or African American","2054-5","55-64 years","55-64",1379,2391246,57.7
,"Renal failure","N17-N19","2020","2020","Male","M","Black or African American","2054-5","65-74 years","65-74",1997,1446770,138.0
,"Renal failure","N17-N19","2020","2020","Male","M","Black or African American","2054-5","75-84 years","75-84",1395,569933,244.8
,"Renal failure","N17-N19","2020","2020","Male","M","Black or African American","2054-5","85+ years","85+",820,167252,490.3
,"Renal failure","N17-N19","2020","2020","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI","35-44 years","35-44",15,66704,Unreliable
,"Renal failure","N17-N19","2020","2020","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI","45-54 years","45-54",12,49447,Unreliable
,"Renal failure","N17-N19","2020","2020","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI","55-64 years","55-64",30,39729,75.5
,"Renal failure","N17-N19","2020","2020","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI","65-74 years","65-74",27,23148,116.6
,"Renal failure","N17-N19","2020","2020","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI","75-84 years","75-84",16,9124,Unreliable
,"Renal failure","N17-N19","2020","2020","Male","M","White","2106-3","25-34 years","25-34",354,17168451,2.1
,"Renal failure","N17-N19","2020","2020","Male","M","White","2106-3","35-44 years","35-44",856,15964132,5.4
,"Renal failure","N17-N19","2020","2020","Male","M","White","2106-3","45-54 years","45-54",2204,15530076,14.2
,"Renal failure","N17-N19","2020","2020","Male","M","White","2106-3","55-64 years","55-64",5589,16579452,33.7
,"Renal failure","N17-N19","2020","2020","Male","M","White","2106-3","65-74 years","65-74",9080,12733573,71.3
,"Renal failure","N17-N19","2020","2020","Male","M","White","2106-3","75-84 years","75-84",10407,6198581,167.9
,"Renal failure","N17-N19","2020","2020","Male","M","White","2106-3","85+ years","85+",8256,2092795,394.5
,"Renal failure","N17-N19","2020","2020","Male","M","More than one race","M","25-34 years","25-34",10,675153,Unreliable
,"Renal failure","N17-N19","2020","2020","Male","M","More than one race","M","35-44 years","35-44",17,446947,Unreliable
,"Renal failure","N17-N19","2020","2020","Male","M","More than one race","M","45-54 years","45-54",23,317749,7.2
,"Renal failure","N17-N19","2020","2020","Male","M","More than one race","M","55-64 years","55-64",35,258700,13.5
,"Renal failure","N17-N19","2020","2020","Male","M","More than one race","M","65-74 years","65-74",63,155586,40.5
,"Renal failure","N17-N19","2020","2020","Male","M","More than one race","M","75-84 years","75-84",48,63303,75.8
,"Renal failure","N17-N19","2020","2020","Male","M","More than one race","M","85+ years","85+",27,19535,138.2
,"Renal failure","N17-N19","2021","2021","Female","F","American Indian or Alaska Native","1002-5","25-34 years","25-34",30,320188,9.4
,"Renal failure","N17-N19","2021","2021","Female","F","American Indian or Alaska Native","1002-5","35-44 years","35-44",60,282463,21.2
,"Renal failure","N17-N19","2021","2021","Female","F","American Indian or Alaska Native","1002-5","45-54 years","45-54",92,246317,37.4
,"Renal failure","N17-N19","2021","2021","Female","F","American Indian or Alaska Native","1002-5","55-64 years","55-64",136,233600,58.2
,"Renal failure","N17-N19","2021","2021","Female","F","American Indian or Alaska Native","1002-5","65-74 years","65-74",137,153520,89.2
,"Renal failure","N17-N19","2021","2021","Female","F","American Indian or Alaska Native","1002-5","75-84 years","75-84",101,65081,155.2
,"Renal failure","N17-N19","2021","2021","Female","F","American Indian or Alaska Native","1002-5","85+ years","85+",53,23031,230.1
,"Renal failure","N17-N19","2021","2021","Female","F","Asian","A","25-34 years","25-34",16,1651036,Unreliable
,"Renal failure","N17-N19","2021","2021","Female","F","Asian","A","35-44 years","35-44",29,1722487,1.7
,"Renal failure","N17-N19","2021","2021","Female","F","Asian","A","45-54 years","45-54",62,1495701,4.1
,"Renal failure","N17-N19","2021","2021","Female","F","Asian","A","55-64 years","55-64",158,1212373,13.0
,"Renal failure","N17-N19","2021","2021","Female","F","Asian","A","65-74 years","65-74",330,925664,35.7
,"Renal failure","N17-N19","2021","2021","Female","F","Asian","A","75-84 years","75-84",395,433415,91.1
,"Renal failure","N17-N19","2021","2021","Female","F","Asian","A","85+ years","85+",483,186873,258.5
,"Renal failure","N17-N19","2021","2021","Female","F","Black or African American","2054-5","25-34 years","25-34",143,3529649,4.1
,"Renal failure","N17-N19","2021","2021","Female","F","Black or African American","2054-5","35-44 years","35-44",305,3119548,9.8
,"Renal failure","N17-N19","2021","2021","Female","F","Black or African American","2054-5","45-54 years","45-54",693,2844994,24.4
,"Renal failure","N17-N19","2021","2021","Female","F","Black or African American","2054-5","55-64 years","55-64",1581,2839733,55.7
,"Renal failure","N17-N19","2021","2021","Female","F","Black or African American","2054-5","65-74 years","65-74",2107,1997072,105.5
,"Renal failure","N17-N19","2021","2021","Female","F","Black or African American","2054-5","75-84 years","75-84",1734,881795,196.6
,"Renal failure","N17-N19","2021","2021","Female","F","Black or African American","2054-5","85+ years","85+",1505,345574,435.5
,"Renal failure","N17-N19","2021","2021","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI","35-44 years","35-44",10,63488,Unreliable
,"Renal failure","N17-N19","2021","2021","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI","45-54 years","45-54",22,49395,44.5
,"Renal failure","N17-N19","2021","2021","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI","55-64 years","55-64",29,42383,68.4
,"Renal failure","N17-N19","2021","2021","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI","65-74 years","65-74",27,26846,100.6
,"Renal failure","N17-N19","2021","2021","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI","75-84 years","75-84",22,11503,191.3
,"Renal failure","N17-N19","2021","2021","Female","F","White","2106-3","25-34 years","25-34",344,16163545,2.1
,"Renal failure","N17-N19","2021","2021","Female","F","White","2106-3","35-44 years","35-44",938,15849465,5.9
,"Renal failure","N17-N19","2021","2021","Female","F","White","2106-3","45-54 years","45-54",2227,15375564,14.5
,"Renal failure","N17-N19","2021","2021","Female","F","White","2106-3","55-64 years","55-64",5405,17215418,31.4
