"Notes","Residence State","Residence State Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate
,"Alabama","01","2025 (provisional and partial)","2025","75-84 years","75-84","Other bacterial diseases","A30-A49",168,303054,55.4
,"Alabama","01","2025 (provisional and partial)","2025","75-84 years","75-84","Renal failure","N17-N19",168,303054,55.4
,"Alabama","01","2025 (provisional and partial)","2025","85+ years","85+","Other bacterial diseases","A30-A49",82,92714,88.4
,"Alabama","01","2025 (provisional and partial)","2025","85+ years","85+","Renal failure","N17-N19",82,92714,88.4
,"Alaska","02","2022","2022","55-64 years","55-64","Other bacterial diseases","A30-A49",10,87241,Unreliable
,"Alaska","02","2022","2022","55-64 years","55-64","Renal failure","N17-N19",10,87241,Unreliable
,"Alaska","02","2022","2022","65-74 years","65-74","Other bacterial diseases","A30-A49",13,67276,Unreliable
,"Alaska","02","2022","2022","65-74 years","65-74","Renal failure","N17-N19",14,67276,Unreliable
,"Alaska","02","2022","2022","75-84 years","75-84","Other bacterial diseases","A30-A49",15,27007,Unreliable
,"Alaska","02","2022","2022","75-84 years","75-84","Renal failure","N17-N19",15,27007,Unreliable
,"Alaska","02","2023","2023","65-74 years","65-74","Other bacterial diseases","A30-A49",12,69294,Unreliable
,"Alaska","02","2023","2023","65-74 years","65-74","Renal failure","N17-N19",12,69294,Unreliable
,"Alaska","02","2023","2023","75-84 years","75-84","Other bacterial diseases","A30-A49",13,28978,Unreliable
,"Alaska","02","2023","2023","75-84 years","75-84","Renal failure","N17-N19",13,28978,Unreliable
,"Alaska","02","2024 (provisional)","2024","65-74 years","65-74","Other bacterial diseases","A30-A49",10,70578,Unreliable
,"Alaska","02","2024 (provisional)","2024","65-74 years","65-74","Renal failure","N17-N19",10,70578,Unreliable
,"Alaska","02","2025 (provisional and partial)","2025","75-84 years","75-84","Other bacterial diseases","A30-A49",11,31083,Unreliable
,"Alaska","02","2025 (provisional and partial)","2025","75-84 years","75-84","Renal failure","N17-N19",11,31083,Unreliable
,"Arizona","04","2018","2018","45-54 years","45-54","Other bacterial diseases","A30-A49",19,850790,Unreliable
,"Arizona","04","2018","2018","45-54 years","45-54","Renal failure","N17-N19",20,850790,2.4
,"Arizona","04","2018","2018","55-64 years","55-64","Other bacterial diseases","A30-A49",47,866277,5.4
,"Arizona","04","2018","2018","55-64 years","55-64","Renal failure","N17-N19",47,866277,5.4
,"Arizona","04","2018","2018","65-74 years","65-74","Other bacterial diseases","A30-A49",55,726162,7.6
,"Arizona","04","2018","2018","65-74 years","65-74","Renal failure","N17-N19",55,726162,7.6
,"Arizona","04","2018","2018","75-84 years","75-84","Other bacterial diseases","A30-A49",84,389813,21.5
,"Arizona","04","2018","2018","75-84 years","75-84","Renal failure","N17-N19",86,389813,22.1
,"Arizona","04","2018","2018","85+ years","85+","Other bacterial diseases","A30-A49",45,142275,31.6
,"Arizona","04","2018","2018","85+ years","85+","Renal failure","N17-N19",46,142275,32.3
,"Arizona","04","2019","2019","35-44 years","35-44","Other bacterial diseases","A30-A49",10,896027,Unreliable
,"Arizona","04","2019","2019","35-44 years","35-44","Renal failure","N17-N19",10,896027,Unreliable
,"Arizona","04","2019","2019","45-54 years","45-54","Other bacterial diseases","A30-A49",25,852090,2.9
,"Arizona","04","2019","2019","45-54 years","45-54","Renal failure","N17-N19",25,852090,2.9
,"Arizona","04","2019","2019","55-64 years","55-64","Other bacterial diseases","A30-A49",35,880794,4.0
,"Arizona","04","2019","2019","55-64 years","55-64","Renal failure","N17-N19",35,880794,4.0
,"Arizona","04","2019","2019","65-74 years","65-74","Other bacterial diseases","A30-A49",74,751699,9.8
,"Arizona","04","2019","2019","65-74 years","65-74","Renal failure","N17-N19",74,751699,9.8
,"Arizona","04","2019","2019","75-84 years","75-84","Other bacterial diseases","A30-A49",77,411197,18.7
,"Arizona","04","2019","2019","75-84 years","75-84","Renal failure","N17-N19",77,411197,18.7
,"Arizona","04","2019","2019","85+ years","85+","Other bacterial diseases","A30-A49",32,145737,22.0
,"Arizona","04","2019","2019","85+ years","85+","Renal failure","N17-N19",33,145737,22.6
,"Arizona","04","2020","2020","35-44 years","35-44","Other bacterial diseases","A30-A49",16,913916,Unreliable
,"Arizona","04","2020","2020","35-44 years","35-44","Renal failure","N17-N19",16,913916,Unreliable
,"Arizona","04","2020","2020","45-54 years","45-54","Other bacterial diseases","A30-A49",26,859684,3.0
,"Arizona","04","2020","2020","45-54 years","45-54","Renal failure","N17-N19",26,859684,3.0
,"Arizona","04","2020","2020","55-64 years","55-64","Other bacterial diseases","A30-A49",74,894909,8.3
,"Arizona","04","2020","2020","55-64 years","55-64","Renal failure","N17-N19",74,894909,8.3
,"Arizona","04","2020","2020","65-74 years","65-74","Other bacterial diseases","A30-A49",117,786905,14.9
,"Arizona","04","2020","2020","65-74 years","65-74","Renal failure","N17-N19",118,786905,15.0
,"Arizona","04","2020","2020","75-84 years","75-84","Other bacterial diseases","A30-A49",99,434972,22.8
,"Arizona","04","2020","2020","75-84 years","75-84","Renal failure","N17-N19",99,434972,22.8
,"Arizona","04","2020","2020","85+ years","85+","Other bacterial diseases","A30-A49",60,152098,39.4
,"Arizona","04","2020","2020","85+ years","85+","Renal failure","N17-N19",60,152098,39.4
,"Arizona","04","2021","2021","25-34 years","25-34","Other bacterial diseases","A30-A49",11,1001092,Unreliable
,"Arizona","04","2021","2021","25-34 years","25-34","Renal failure","N17-N19",11,1001092,Unreliable
,"Arizona","04","2021","2021","35-44 years","35-44","Other bacterial diseases","A30-A49",33,915192,3.6
,"Arizona","04","2021","2021","35-44 years","35-44","Renal failure","N17-N19",33,915192,3.6
,"Arizona","04","2021","2021","45-54 years","45-54","Other bacterial diseases","A30-A49",50,847681,5.9
,"Arizona","04","2021","2021","45-54 years","45-54","Renal failure","N17-N19",51,847681,6.0
,"Arizona","04","2021","2021","55-64 years","55-64","Other bacterial diseases","A30-A49",138,879885,15.7
,"Arizona","04","2021","2021","55-64 years","55-64","Renal failure","N17-N19",139,879885,15.8
,"Arizona","04","2021","2021","65-74 years","65-74","Other bacterial diseases","A30-A49",158,783000,20.2
,"Arizona","04","2021","2021","65-74 years","65-74","Renal failure","N17-N19",159,783000,20.3
,"Arizona","04","2021","2021","75-84 years","75-84","Other bacterial diseases","A30-A49",127,416355,30.5
,"Arizona","04","2021","2021","75-84 years","75-84","Renal failure","N17-N19",128,416355,30.7
,"Arizona","04","2021","2021","85+ years","85+","Other bacterial diseases","A30-A49",60,133691,44.9
,"Arizona","04","2021","2021","85+ years","85+","Renal failure","N17-N19",61,133691,45.6
,"Arizona","04","2022","2022","25-34 years","25-34","Other bacterial diseases","A30-A49",14,1018332,Unreliable
,"Arizona","04","2022","2022","25-34 years","25-34","Renal failure","N17-N19",15,1018332,Unreliable
,"Arizona","04","2022","2022","35-44 years","35-44","Other bacterial diseases","A30-A49",21,926056,2.3
,"Arizona","04","2022","2022","35-44 years","35-44","Renal failure","N17-N19",21,926056,2.3
,"Arizona","04","2022","2022","45-54 years","45-54","Other bacterial diseases","A30-A49",49,851890,5.8
,"Arizona","04","2022","2022","45-54 years","45-54","Renal failure","N17-N19",49,851890,5.8
,"Arizona","04","2022","2022","55-64 years","55-64","Other bacterial diseases","A30-A49",87,871963,10.0
,"Arizona","04","2022","2022","55-64 years","55-64","Renal failure","N17-N19",87,871963,10.0
,"Arizona","04","2022","2022","65-74 years","65-74","Other bacterial diseases","A30-A49",178,780707,22.8
,"Arizona","04","2022","2022","65-74 years","65-74","Renal failure","N17-N19",181,780707,23.2
,"Arizona","04","2022","2022","75-84 years","75-84","Other bacterial diseases","A30-A49",173,452319,38.2
,"Arizona","04","2022","2022","75-84 years","75-84","Renal failure","N17-N19",172,452319,38.0
,"Arizona","04","2022","2022","85+ years","85+","Other bacterial diseases","A30-A49",79,149360,52.9
,"Arizona","04","2022","2022","85+ years","85+","Renal failure","N17-N19",79,149360,52.9
,"Arizona","04","2023","2023","35-44 years","35-44","Other bacterial diseases","A30-A49",19,943877,Unreliable
,"Arizona","04","2023","2023","35-44 years","35-44","Renal failure","N17-N19",20,943877,2.1
,"Arizona","04","2023","2023","45-54 years","45-54","Other bacterial diseases","A30-A49",37,858908,4.3
,"Arizona","04","2023","2023","45-54 years","45-54","Renal failure","N17-N19",38,858908,4.4
,"Arizona","04","2023","2023","55-64 years","55-64","Other bacterial diseases","A30-A49",90,879578,10.2
,"Arizona","04","2023","2023","55-64 years","55-64","Renal failure","N17-N19",90,879578,10.2
,"Arizona","04","2023","2023","65-74 years","65-74","Other bacterial diseases","A30-A49",166,804936,20.6
,"Arizona","04","2023","2023","65-74 years","65-74","Renal failure","N17-N19",167,804936,20.7
,"Arizona","04","2023","2023","75-84 years","75-84","Other bacterial diseases","A30-A49",164,480458,34.1
,"Arizona","04","2023","2023","75-84 years","75-84","Renal failure","N17-N19",166,480458,34.6
,"Arizona","04","2023","2023","85+ years","85+","Other bacterial diseases","A30-A49",88,149125,59.0
,"Arizona","04","2023","2023","85+ years","85+","Renal failure","N17-N19",90,149125,60.4
,"Arizona","04","2024 (provisional)","2024","35-44 years","35-44","Other bacterial diseases","A30-A49",25,974538,2.6
,"Arizona","04","2024 (provisional)","2024","35-44 years","35-44","Renal failure","N17-N19",27,974538,2.8
,"Arizona","04","2024 (provisional)","2024","45-54 years","45-54","Other bacterial diseases","A30-A49",31,867692,3.6
,"Arizona","04","2024 (provisional)","2024","45-54 years","45-54","Renal failure","N17-N19",32,867692,3.7
,"Arizona","04","2024 (provisional)","2024","55-64 years","55-64","Other bacterial diseases","A30-A49",89,881030,10.1
,"Arizona","04","2024 (provisional)","2024","55-64 years","55-64","Renal failure","N17-N19",89,881030,10.1
,"Arizona","04","2024 (provisional)","2024","65-74 years","65-74","Other bacterial diseases","A30-A49",174,822752,21.1
,"Arizona","04","2024 (provisional)","2024","65-74 years","65-74","Renal failure","N17-N19",175,822752,21.3
,"Arizona","04","2024 (provisional)","2024","75-84 years","75-84","Other bacterial diseases","A30-A49",155,507360,30.6
,"Arizona","04","2024 (provisional)","2024","75-84 years","75-84","Renal failure","N17-N19",157,507360,30.9
,"Arizona","04","2024 (provisional)","2024","85+ years","85+","Other bacterial diseases","A30-A49",91,158340,57.5
,"Arizona","04","2024 (provisional)","2024","85+ years","85+","Renal failure","N17-N19",91,158340,57.5
,"Arizona","04","2025 (provisional and partial)","2025","25-34 years","25-34","Other bacterial diseases","A30-A49",10,1054834,Unreliable
,"Arizona","04","2025 (provisional and partial)","2025","25-34 years","25-34","Renal failure","N17-N19",10,1054834,Unreliable
,"Arizona","04","2025 (provisional and partial)","2025","35-44 years","35-44","Other bacterial diseases","A30-A49",20,974538,2.1
,"Arizona","04","2025 (provisional and partial)","2025","35-44 years","35-44","Renal failure","N17-N19",20,974538,2.1
,"Arizona","04","2025 (provisional and partial)","2025","45-54 years","45-54","Other bacterial diseases","A30-A49",40,867692,4.6
,"Arizona","04","2025 (provisional and partial)","2025","45-54 years","45-54","Renal failure","N17-N19",40,867692,4.6
,"Arizona","04","2025 (provisional and partial)","2025","55-64 years","55-64","Other bacterial diseases","A30-A49",76,881030,8.6
,"Arizona","04","2025 (provisional and partial)","2025","55-64 years","55-64","Renal failure","N17-N19",76,881030,8.6
,"Arizona","04","2025 (provisional and partial)","2025","65-74 years","65-74","Other bacterial diseases","A30-A49",142,822752,17.3
,"Arizona","04","2025 (provisional and partial)","2025","65-74 years","65-74","Renal failure","N17-N19",142,822752,17.3
,"Arizona","04","2025 (provisional and partial)","2025","75-84 years","75-84","Other bacterial diseases","A30-A49",169,507360,33.3
,"Arizona","04","2025 (provisional and partial)","2025","75-84 years","75-84","Renal failure","N17-N19",169,507360,33.3
,"Arizona","04","2025 (provisional and partial)","2025","85+ years","85+","Other bacterial diseases","A30-A49",93,158340,58.7
,"Arizona","04","2025 (provisional and partial)","2025","85+ years","85+","Renal failure","N17-N19",93,158340,58.7
,"Arkansas","05","2018","2018","45-54 years","45-54","Other bacterial diseases","A30-A49",15,368667,Unreliable
,"Arkansas","05","2018","2018","45-54 years","45-54","Renal failure","N17-N19",15,368667,Unreliable
,"Arkansas","05","2018","2018","55-64 years","55-64","Other bacterial diseases","A30-A49",51,384467,13.3
,"Arkansas","05","2018","2018","55-64 years","55-64","Renal failure","N17-N19",53,384467,13.8
,"Arkansas","05","2018","2018","65-74 years","65-74","Other bacterial diseases","A30-A49",58,296011,19.6
,"Arkansas","05","2018","2018","65-74 years","65-74","Renal failure","N17-N19",58,296011,19.6
,"Arkansas","05","2018","2018","75-84 years","75-84","Other bacterial diseases","A30-A49",76,156799,48.5
,"Arkansas","05","2018","2018","75-84 years","75-84","Renal failure","N17-N19",78,156799,49.7
,"Arkansas","05","2018","2018","85+ years","85+","Other bacterial diseases","A30-A49",45,59017,76.2
,"Arkansas","05","2018","2018","85+ years","85+","Renal failure","N17-N19",45,59017,76.2
,"Arkansas","05","2019","2019","35-44 years","35-44","Other bacterial diseases","A30-A49",13,370263,Unreliable
,"Arkansas","05","2019","2019","35-44 years","35-44","Renal failure","N17-N19",13,370263,Unreliable
,"Arkansas","05","2019","2019","45-54 years","45-54","Other bacterial diseases","A30-A49",22,361582,6.1
,"Arkansas","05","2019","2019","45-54 years","45-54","Renal failure","N17-N19",22,361582,6.1
,"Arkansas","05","2019","2019","55-64 years","55-64","Other bacterial diseases","A30-A49",50,385994,13.0
,"Arkansas","05","2019","2019","55-64 years","55-64","Renal failure","N17-N19",50,385994,13.0
,"Arkansas","05","2019","2019","65-74 years","65-74","Other bacterial diseases","A30-A49",70,302829,23.1
,"Arkansas","05","2019","2019","65-74 years","65-74","Renal failure","N17-N19",71,302829,23.4
,"Arkansas","05","2019","2019","75-84 years","75-84","Other bacterial diseases","A30-A49",75,161141,46.5
,"Arkansas","05","2019","2019","75-84 years","75-84","Renal failure","N17-N19",75,161141,46.5
,"Arkansas","05","2019","2019","85+ years","85+","Other bacterial diseases","A30-A49",51,59912,85.1
,"Arkansas","05","2019","2019","85+ years","85+","Renal failure","N17-N19",51,59912,85.1
,"Arkansas","05","2020","2020","35-44 years","35-44","Other bacterial diseases","A30-A49",14,372730,Unreliable
,"Arkansas","05","2020","2020","35-44 years","35-44","Renal failure","N17-N19",14,372730,Unreliable
,"Arkansas","05","2020","2020","45-54 years","45-54","Other bacterial diseases","A30-A49",24,358067,6.7
,"Arkansas","05","2020","2020","45-54 years","45-54","Renal failure","N17-N19",24,358067,6.7
,"Arkansas","05","2020","2020","55-64 years","55-64","Other bacterial diseases","A30-A49",53,386200,13.7
,"Arkansas","05","2020","2020","55-64 years","55-64","Renal failure","N17-N19",54,386200,14.0
,"Arkansas","05","2020","2020","65-74 years","65-74","Other bacterial diseases","A30-A49",107,310489,34.5
,"Arkansas","05","2020","2020","65-74 years","65-74","Renal failure","N17-N19",107,310489,34.5
,"Arkansas","05","2020","2020","75-84 years","75-84","Other bacterial diseases","A30-A49",80,164712,48.6
,"Arkansas","05","2020","2020","75-84 years","75-84","Renal failure","N17-N19",80,164712,48.6
,"Arkansas","05","2020","2020","85+ years","85+","Other bacterial diseases","A30-A49",48,61105,78.6
,"Arkansas","05","2020","2020","85+ years","85+","Renal failure","N17-N19",49,61105,80.2
,"Arkansas","05","2021","2021","35-44 years","35-44","Other bacterial diseases","A30-A49",30,379440,7.9
,"Arkansas","05","2021","2021","35-44 years","35-44","Renal failure","N17-N19",30,379440,7.9
,"Arkansas","05","2021","2021","45-54 years","45-54","Other bacterial diseases","A30-A49",34,358491,9.5
,"Arkansas","05","2021","2021","45-54 years","45-54","Renal failure","N17-N19",35,358491,9.8
,"Arkansas","05","2021","2021","55-64 years","55-64","Other bacterial diseases","A30-A49",77,384896,20.0
,"Arkansas","05","2021","2021","55-64 years","55-64","Renal failure","N17-N19",78,384896,20.3
,"Arkansas","05","2021","2021","65-74 years","65-74","Other bacterial diseases","A30-A49",120,315422,38.0
,"Arkansas","05","2021","2021","65-74 years","65-74","Renal failure","N17-N19",121,315422,38.4
,"Arkansas","05","2021","2021","75-84 years","75-84","Other bacterial diseases","A30-A49",99,158588,62.4
,"Arkansas","05","2021","2021","75-84 years","75-84","Renal failure","N17-N19",101,158588,63.7
,"Arkansas","05","2021","2021","85+ years","85+","Other bacterial diseases","A30-A49",70,54091,129.4
,"Arkansas","05","2021","2021","85+ years","85+","Renal failure","N17-N19",70,54091,129.4
,"Arkansas","05","2022","2022","35-44 years","35-44","Other bacterial diseases","A30-A49",14,381818,Unreliable
,"Arkansas","05","2022","2022","35-44 years","35-44","Renal failure","N17-N19",14,381818,Unreliable
,"Arkansas","05","2022","2022","45-54 years","45-54","Other bacterial diseases","A30-A49",39,358703,10.9
,"Arkansas","05","2022","2022","45-54 years","45-54","Renal failure","N17-N19",40,358703,11.2
,"Arkansas","05","2022","2022","55-64 years","55-64","Other bacterial diseases","A30-A49",89,378312,23.5
,"Arkansas","05","2022","2022","55-64 years","55-64","Renal failure","N17-N19",89,378312,23.5
,"Arkansas","05","2022","2022","65-74 years","65-74","Other bacterial diseases","A30-A49",121,314714,38.4
,"Arkansas","05","2022","2022","65-74 years","65-74","Renal failure","N17-N19",123,314714,39.1
,"Arkansas","05","2022","2022","75-84 years","75-84","Other bacterial diseases","A30-A49",156,169325,92.1
,"Arkansas","05","2022","2022","75-84 years","75-84","Renal failure","N17-N19",158,169325,93.3
,"Arkansas","05","2022","2022","85+ years","85+","Other bacterial diseases","A30-A49",80,58317,137.2
,"Arkansas","05","2022","2022","85+ years","85+","Renal failure","N17-N19",81,58317,138.9
,"Arkansas","05","2023","2023","35-44 years","35-44","Other bacterial diseases","A30-A49",10,387566,Unreliable
,"Arkansas","05","2023","2023","35-44 years","35-44","Renal failure","N17-N19",11,387566,Unreliable
,"Arkansas","05","2023","2023","45-54 years","45-54","Other bacterial diseases","A30-A49",31,361836,8.6
,"Arkansas","05","2023","2023","45-54 years","45-54","Renal failure","N17-N19",31,361836,8.6
,"Arkansas","05","2023","2023","55-64 years","55-64","Other bacterial diseases","A30-A49",78,375591,20.8
,"Arkansas","05","2023","2023","55-64 years","55-64","Renal failure","N17-N19",79,375591,21.0
,"Arkansas","05","2023","2023","65-74 years","65-74","Other bacterial diseases","A30-A49",140,320139,43.7
,"Arkansas","05","2023","2023","65-74 years","65-74","Renal failure","N17-N19",142,320139,44.4
,"Arkansas","05","2023","2023","75-84 years","75-84","Other bacterial diseases","A30-A49",139,174875,79.5
