"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code","Sex","Sex Code",Deaths,Population,Crude Rate
"Total","Other bacterial diseases","A30-A49","2011","2011","55-64 years","55-64",,,2154,38062140,5.7
,"Other bacterial diseases","A30-A49","2011","2011","65-74 years","65-74","Female","F",1469,12005425,12.2
,"Other bacterial diseases","A30-A49","2011","2011","65-74 years","65-74","Male","M",1602,10476313,15.3
"Total","Other bacterial diseases","A30-A49","2011","2011","65-74 years","65-74",,,3071,22481738,13.7
,"Other bacterial diseases","A30-A49","2011","2011","75-84 years","75-84","Female","F",2309,7602197,30.4
,"Other bacterial diseases","A30-A49","2011","2011","75-84 years","75-84","Male","M",2312,5573033,41.5
"Total","Other bacterial diseases","A30-A49","2011","2011","75-84 years","75-84",,,4621,13175230,35.1
,"Other bacterial diseases","A30-A49","2011","2011","85+ years","85+","Female","F",2682,3843148,69.8
,"Other bacterial diseases","A30-A49","2011","2011","85+ years","85+","Male","M",1863,1894025,98.4
"Total","Other bacterial diseases","A30-A49","2011","2011","85+ years","85+",,,4545,5737173,79.2
"Total","Other bacterial diseases","A30-A49","2011","2011",,,,,15961,206592936,7.7
,"Other bacterial diseases","A30-A49","2012","2012","25-34 years","25-34","Female","F",43,20970529,0.2
,"Other bacterial diseases","A30-A49","2012","2012","25-34 years","25-34","Male","M",72,21338792,0.3
"Total","Other bacterial diseases","A30-A49","2012","2012","25-34 years","25-34",,,115,42309321,0.3
,"Other bacterial diseases","A30-A49","2012","2012","35-44 years","35-44","Female","F",134,20342813,0.7
,"Other bacterial diseases","A30-A49","2012","2012","35-44 years","35-44","Male","M",184,20173607,0.9
"Total","Other bacterial diseases","A30-A49","2012","2012","35-44 years","35-44",,,318,40516420,0.8
,"Other bacterial diseases","A30-A49","2012","2012","45-54 years","45-54","Female","F",431,22461868,1.9
,"Other bacterial diseases","A30-A49","2012","2012","45-54 years","45-54","Male","M",618,21806870,2.8
"Total","Other bacterial diseases","A30-A49","2012","2012","45-54 years","45-54",,,1049,44268738,2.4
,"Other bacterial diseases","A30-A49","2012","2012","55-64 years","55-64","Female","F",988,19983308,4.9
,"Other bacterial diseases","A30-A49","2012","2012","55-64 years","55-64","Male","M",1280,18602894,6.9
"Total","Other bacterial diseases","A30-A49","2012","2012","55-64 years","55-64",,,2268,38586202,5.9
,"Other bacterial diseases","A30-A49","2012","2012","65-74 years","65-74","Female","F",1420,12782530,11.1
,"Other bacterial diseases","A30-A49","2012","2012","65-74 years","65-74","Male","M",1669,11202862,14.9
"Total","Other bacterial diseases","A30-A49","2012","2012","65-74 years","65-74",,,3089,23985392,12.9
,"Other bacterial diseases","A30-A49","2012","2012","75-84 years","75-84","Female","F",2188,7624484,28.7
,"Other bacterial diseases","A30-A49","2012","2012","75-84 years","75-84","Male","M",2143,5648150,37.9
"Total","Other bacterial diseases","A30-A49","2012","2012","75-84 years","75-84",,,4331,13272634,32.6
,"Other bacterial diseases","A30-A49","2012","2012","85+ years","85+","Female","F",2589,3923297,66.0
,"Other bacterial diseases","A30-A49","2012","2012","85+ years","85+","Male","M",1788,1964033,91.0
"Total","Other bacterial diseases","A30-A49","2012","2012","85+ years","85+",,,4377,5887330,74.3
"Total","Other bacterial diseases","A30-A49","2012","2012",,,,,15547,208826037,7.4
,"Other bacterial diseases","A30-A49","2013","2013","25-34 years","25-34","Female","F",77,21203096,0.4
,"Other bacterial diseases","A30-A49","2013","2013","25-34 years","25-34","Male","M",69,21641491,0.3
"Total","Other bacterial diseases","A30-A49","2013","2013","25-34 years","25-34",,,146,42844587,0.3
,"Other bacterial diseases","A30-A49","2013","2013","35-44 years","35-44","Female","F",164,20307429,0.8
,"Other bacterial diseases","A30-A49","2013","2013","35-44 years","35-44","Male","M",211,20145261,1.0
"Total","Other bacterial diseases","A30-A49","2013","2013","35-44 years","35-44",,,375,40452690,0.9
,"Other bacterial diseases","A30-A49","2013","2013","45-54 years","45-54","Female","F",515,22198448,2.3
,"Other bacterial diseases","A30-A49","2013","2013","45-54 years","45-54","Male","M",632,21569084,2.9
"Total","Other bacterial diseases","A30-A49","2013","2013","45-54 years","45-54",,,1147,43767532,2.6
,"Other bacterial diseases","A30-A49","2013","2013","55-64 years","55-64","Female","F",1034,20359676,5.1
,"Other bacterial diseases","A30-A49","2013","2013","55-64 years","55-64","Male","M",1405,18956755,7.4
"Total","Other bacterial diseases","A30-A49","2013","2013","55-64 years","55-64",,,2439,39316431,6.2
,"Other bacterial diseases","A30-A49","2013","2013","65-74 years","65-74","Female","F",1592,13419124,11.9
,"Other bacterial diseases","A30-A49","2013","2013","65-74 years","65-74","Male","M",1789,11797642,15.2
"Total","Other bacterial diseases","A30-A49","2013","2013","65-74 years","65-74",,,3381,25216766,13.4
,"Other bacterial diseases","A30-A49","2013","2013","75-84 years","75-84","Female","F",2334,7686002,30.4
,"Other bacterial diseases","A30-A49","2013","2013","75-84 years","75-84","Male","M",2243,5760517,38.9
"Total","Other bacterial diseases","A30-A49","2013","2013","75-84 years","75-84",,,4577,13446519,34.0
,"Other bacterial diseases","A30-A49","2013","2013","85+ years","85+","Female","F",2575,3999007,64.4
,"Other bacterial diseases","A30-A49","2013","2013","85+ years","85+","Male","M",1781,2041782,87.2
"Total","Other bacterial diseases","A30-A49","2013","2013","85+ years","85+",,,4356,6040789,72.1
"Total","Other bacterial diseases","A30-A49","2013","2013",,,,,16421,211085314,7.8
,"Other bacterial diseases","A30-A49","2014","2014","25-34 years","25-34","Female","F",63,21546290,0.3
,"Other bacterial diseases","A30-A49","2014","2014","25-34 years","25-34","Male","M",82,21970214,0.4
"Total","Other bacterial diseases","A30-A49","2014","2014","25-34 years","25-34",,,145,43516504,0.3
,"Other bacterial diseases","A30-A49","2014","2014","35-44 years","35-44","Female","F",184,20353904,0.9
,"Other bacterial diseases","A30-A49","2014","2014","35-44 years","35-44","Male","M",223,20159229,1.1
"Total","Other bacterial diseases","A30-A49","2014","2014","35-44 years","35-44",,,407,40513133,1.0
,"Other bacterial diseases","A30-A49","2014","2014","45-54 years","45-54","Female","F",499,22033807,2.3
,"Other bacterial diseases","A30-A49","2014","2014","45-54 years","45-54","Male","M",697,21425044,3.3
"Total","Other bacterial diseases","A30-A49","2014","2014","45-54 years","45-54",,,1196,43458851,2.8
,"Other bacterial diseases","A30-A49","2014","2014","55-64 years","55-64","Female","F",1120,20755699,5.4
,"Other bacterial diseases","A30-A49","2014","2014","55-64 years","55-64","Male","M",1488,19321882,7.7
"Total","Other bacterial diseases","A30-A49","2014","2014","55-64 years","55-64",,,2608,40077581,6.5
,"Other bacterial diseases","A30-A49","2014","2014","65-74 years","65-74","Female","F",1744,14049245,12.4
,"Other bacterial diseases","A30-A49","2014","2014","65-74 years","65-74","Male","M",1941,12349045,15.7
"Total","Other bacterial diseases","A30-A49","2014","2014","65-74 years","65-74",,,3685,26398290,14.0
,"Other bacterial diseases","A30-A49","2014","2014","75-84 years","75-84","Female","F",2243,7789312,28.8
,"Other bacterial diseases","A30-A49","2014","2014","75-84 years","75-84","Male","M",2174,5893378,36.9
"Total","Other bacterial diseases","A30-A49","2014","2014","75-84 years","75-84",,,4417,13682690,32.3
,"Other bacterial diseases","A30-A49","2014","2014","85+ years","85+","Female","F",2598,4053362,64.1
,"Other bacterial diseases","A30-A49","2014","2014","85+ years","85+","Male","M",1956,2108869,92.8
"Total","Other bacterial diseases","A30-A49","2014","2014","85+ years","85+",,,4554,6162231,73.9
"Total","Other bacterial diseases","A30-A49","2014","2014",,,,,17012,213809280,8.0
,"Other bacterial diseases","A30-A49","2015","2015","25-34 years","25-34","Female","F",63,21838064,0.3
,"Other bacterial diseases","A30-A49","2015","2015","25-34 years","25-34","Male","M",74,22299138,0.3
"Total","Other bacterial diseases","A30-A49","2015","2015","25-34 years","25-34",,,137,44137202,0.3
,"Other bacterial diseases","A30-A49","2015","2015","35-44 years","35-44","Female","F",186,20386206,0.9
,"Other bacterial diseases","A30-A49","2015","2015","35-44 years","35-44","Male","M",208,20203577,1.0
"Total","Other bacterial diseases","A30-A49","2015","2015","35-44 years","35-44",,,394,40589783,1.0
,"Other bacterial diseases","A30-A49","2015","2015","45-54 years","45-54","Female","F",561,21889385,2.6
,"Other bacterial diseases","A30-A49","2015","2015","45-54 years","45-54","Male","M",631,21298776,3.0
"Total","Other bacterial diseases","A30-A49","2015","2015","45-54 years","45-54",,,1192,43188161,2.8
,"Other bacterial diseases","A30-A49","2015","2015","55-64 years","55-64","Female","F",1190,21163072,5.6
,"Other bacterial diseases","A30-A49","2015","2015","55-64 years","55-64","Male","M",1586,19714747,8.0
"Total","Other bacterial diseases","A30-A49","2015","2015","55-64 years","55-64",,,2776,40877819,6.8
,"Other bacterial diseases","A30-A49","2015","2015","65-74 years","65-74","Female","F",1832,14658169,12.5
,"Other bacterial diseases","A30-A49","2015","2015","65-74 years","65-74","Male","M",2161,12892348,16.8
"Total","Other bacterial diseases","A30-A49","2015","2015","65-74 years","65-74",,,3993,27550517,14.5
,"Other bacterial diseases","A30-A49","2015","2015","75-84 years","75-84","Female","F",2424,7899603,30.7
,"Other bacterial diseases","A30-A49","2015","2015","75-84 years","75-84","Male","M",2415,6023571,40.1
"Total","Other bacterial diseases","A30-A49","2015","2015","75-84 years","75-84",,,4839,13923174,34.8
,"Other bacterial diseases","A30-A49","2015","2015","85+ years","85+","Female","F",2744,4112863,66.7
,"Other bacterial diseases","A30-A49","2015","2015","85+ years","85+","Male","M",2001,2174298,92.0
"Total","Other bacterial diseases","A30-A49","2015","2015","85+ years","85+",,,4745,6287161,75.5
"Total","Other bacterial diseases","A30-A49","2015","2015",,,,,18076,216553817,8.3
,"Other bacterial diseases","A30-A49","2016","2016","25-34 years","25-34","Female","F",83,22077505,0.4
,"Other bacterial diseases","A30-A49","2016","2016","25-34 years","25-34","Male","M",79,22599738,0.3
"Total","Other bacterial diseases","A30-A49","2016","2016","25-34 years","25-34",,,162,44677243,0.4
,"Other bacterial diseases","A30-A49","2016","2016","35-44 years","35-44","Female","F",172,20317393,0.8
,"Other bacterial diseases","A30-A49","2016","2016","35-44 years","35-44","Male","M",250,20152763,1.2
"Total","Other bacterial diseases","A30-A49","2016","2016","35-44 years","35-44",,,422,40470156,1.0
,"Other bacterial diseases","A30-A49","2016","2016","45-54 years","45-54","Female","F",541,21680540,2.5
,"Other bacterial diseases","A30-A49","2016","2016","45-54 years","45-54","Male","M",685,21106139,3.2
"Total","Other bacterial diseases","A30-A49","2016","2016","45-54 years","45-54",,,1226,42786679,2.9
,"Other bacterial diseases","A30-A49","2016","2016","55-64 years","55-64","Female","F",1236,21464106,5.8
,"Other bacterial diseases","A30-A49","2016","2016","55-64 years","55-64","Male","M",1657,19999038,8.3
"Total","Other bacterial diseases","A30-A49","2016","2016","55-64 years","55-64",,,2893,41463144,7.0
,"Other bacterial diseases","A30-A49","2016","2016","65-74 years","65-74","Female","F",1838,15239221,12.1
,"Other bacterial diseases","A30-A49","2016","2016","65-74 years","65-74","Male","M",2219,13391109,16.6
"Total","Other bacterial diseases","A30-A49","2016","2016","65-74 years","65-74",,,4057,28630330,14.2
,"Other bacterial diseases","A30-A49","2016","2016","75-84 years","75-84","Female","F",2336,8056660,29.0
,"Other bacterial diseases","A30-A49","2016","2016","75-84 years","75-84","Male","M",2355,6176874,38.1
"Total","Other bacterial diseases","A30-A49","2016","2016","75-84 years","75-84",,,4691,14233534,33.0
,"Other bacterial diseases","A30-A49","2016","2016","85+ years","85+","Female","F",2490,4155488,59.9
,"Other bacterial diseases","A30-A49","2016","2016","85+ years","85+","Male","M",1939,2224843,87.2
"Total","Other bacterial diseases","A30-A49","2016","2016","85+ years","85+",,,4429,6380331,69.4
"Total","Other bacterial diseases","A30-A49","2016","2016",,,,,17880,218641417,8.2
,"Other bacterial diseases","A30-A49","2017","2017","25-34 years","25-34","Female","F",67,22351311,0.3
,"Other bacterial diseases","A30-A49","2017","2017","25-34 years","25-34","Male","M",115,22991361,0.5
"Total","Other bacterial diseases","A30-A49","2017","2017","25-34 years","25-34",,,182,45342672,0.4
,"Other bacterial diseases","A30-A49","2017","2017","35-44 years","35-44","Female","F",196,20506270,1.0
,"Other bacterial diseases","A30-A49","2017","2017","35-44 years","35-44","Male","M",232,20369100,1.1
"Total","Other bacterial diseases","A30-A49","2017","2017","35-44 years","35-44",,,428,40875370,1.0
,"Other bacterial diseases","A30-A49","2017","2017","45-54 years","45-54","Female","F",504,21468595,2.3
,"Other bacterial diseases","A30-A49","2017","2017","45-54 years","45-54","Male","M",680,20906357,3.3
"Total","Other bacterial diseases","A30-A49","2017","2017","45-54 years","45-54",,,1184,42374952,2.8
,"Other bacterial diseases","A30-A49","2017","2017","55-64 years","55-64","Female","F",1265,21737855,5.8
,"Other bacterial diseases","A30-A49","2017","2017","55-64 years","55-64","Male","M",1621,20257803,8.0
"Total","Other bacterial diseases","A30-A49","2017","2017","55-64 years","55-64",,,2886,41995658,6.9
,"Other bacterial diseases","A30-A49","2017","2017","65-74 years","65-74","Female","F",1934,15806306,12.2
,"Other bacterial diseases","A30-A49","2017","2017","65-74 years","65-74","Male","M",2307,13877140,16.6
"Total","Other bacterial diseases","A30-A49","2017","2017","65-74 years","65-74",,,4241,29683446,14.3
,"Other bacterial diseases","A30-A49","2017","2017","75-84 years","75-84","Female","F",2346,8298676,28.3
,"Other bacterial diseases","A30-A49","2017","2017","75-84 years","75-84","Male","M",2397,6407875,37.4
"Total","Other bacterial diseases","A30-A49","2017","2017","75-84 years","75-84",,,4743,14706551,32.3
,"Other bacterial diseases","A30-A49","2017","2017","85+ years","85+","Female","F",2516,4189013,60.1
,"Other bacterial diseases","A30-A49","2017","2017","85+ years","85+","Male","M",1994,2279669,87.5
"Total","Other bacterial diseases","A30-A49","2017","2017","85+ years","85+",,,4510,6468682,69.7
"Total","Other bacterial diseases","A30-A49","2017","2017",,,,,18174,221447331,8.2
"Total","Other bacterial diseases","A30-A49",,,,,,,134534,1700848115,7.9
,"Renal failure","N17-N19","2010","2010","25-34 years","25-34","Female","F",60,20431857,0.3
,"Renal failure","N17-N19","2010","2010","25-34 years","25-34","Male","M",59,20632091,0.3
"Total","Renal failure","N17-N19","2010","2010","25-34 years","25-34",,,119,41063948,0.3
,"Renal failure","N17-N19","2010","2010","35-44 years","35-44","Female","F",137,20634607,0.7
,"Renal failure","N17-N19","2010","2010","35-44 years","35-44","Male","M",165,20435999,0.8
"Total","Renal failure","N17-N19","2010","2010","35-44 years","35-44",,,302,41070606,0.7
,"Renal failure","N17-N19","2010","2010","45-54 years","45-54","Female","F",465,22864357,2.0
,"Renal failure","N17-N19","2010","2010","45-54 years","45-54","Male","M",613,22142359,2.8
"Total","Renal failure","N17-N19","2010","2010","45-54 years","45-54",,,1078,45006716,2.4
,"Renal failure","N17-N19","2010","2010","55-64 years","55-64","Female","F",879,18881581,4.7
,"Renal failure","N17-N19","2010","2010","55-64 years","55-64","Male","M",1159,17601148,6.6
"Total","Renal failure","N17-N19","2010","2010","55-64 years","55-64",,,2038,36482729,5.6
,"Renal failure","N17-N19","2010","2010","65-74 years","65-74","Female","F",1392,11616910,12.0
,"Renal failure","N17-N19","2010","2010","65-74 years","65-74","Male","M",1630,10096519,16.1
"Total","Renal failure","N17-N19","2010","2010","65-74 years","65-74",,,3022,21713429,13.9
,"Renal failure","N17-N19","2010","2010","75-84 years","75-84","Female","F",2253,7584360,29.7
,"Renal failure","N17-N19","2010","2010","75-84 years","75-84","Male","M",2273,5476762,41.5
"Total","Renal failure","N17-N19","2010","2010","75-84 years","75-84",,,4526,13061122,34.7
,"Renal failure","N17-N19","2010","2010","85+ years","85+","Female","F",2685,3703754,72.5
,"Renal failure","N17-N19","2010","2010","85+ years","85+","Male","M",1758,1789679,98.2
"Total","Renal failure","N17-N19","2010","2010","85+ years","85+",,,4443,5493433,80.9
"Total","Renal failure","N17-N19","2010","2010",,,,,15528,203891983,7.6
,"Renal failure","N17-N19","2011","2011","25-34 years","25-34","Female","F",52,20746335,0.3
,"Renal failure","N17-N19","2011","2011","25-34 years","25-34","Male","M",85,21044163,0.4
"Total","Renal failure","N17-N19","2011","2011","25-34 years","25-34",,,137,41790498,0.3
,"Renal failure","N17-N19","2011","2011","35-44 years","35-44","Female","F",152,20404484,0.7
,"Renal failure","N17-N19","2011","2011","35-44 years","35-44","Male","M",211,20223470,1.0
"Total","Renal failure","N17-N19","2011","2011","35-44 years","35-44",,,363,40627954,0.9
,"Renal failure","N17-N19","2011","2011","45-54 years","45-54","Female","F",453,22698956,2.0
,"Renal failure","N17-N19","2011","2011","45-54 years","45-54","Male","M",625,22019247,2.8
"Total","Renal failure","N17-N19","2011","2011","45-54 years","45-54",,,1078,44718203,2.4
,"Renal failure","N17-N19","2011","2011","55-64 years","55-64","Female","F",941,19703935,4.8
,"Renal failure","N17-N19","2011","2011","55-64 years","55-64","Male","M",1229,18358205,6.7
"Total","Renal failure","N17-N19","2011","2011","55-64 years","55-64",,,2170,38062140,5.7
,"Renal failure","N17-N19","2011","2011","65-74 years","65-74","Female","F",1481,12005425,12.3
,"Renal failure","N17-N19","2011","2011","65-74 years","65-74","Male","M",1609,10476313,15.4
"Total","Renal failure","N17-N19","2011","2011","65-74 years","65-74",,,3090,22481738,13.7
,"Renal failure","N17-N19","2011","2011","75-84 years","75-84","Female","F",2324,7602197,30.6
,"Renal failure","N17-N19","2011","2011","75-84 years","75-84","Male","M",2321,5573033,41.6
"Total","Renal failure","N17-N19","2011","2011","75-84 years","75-84",,,4645,13175230,35.3
,"Renal failure","N17-N19","2011","2011","85+ years","85+","Female","F",2695,3843148,70.1
,"Renal failure","N17-N19","2011","2011","85+ years","85+","Male","M",1880,1894025,99.3
"Total","Renal failure","N17-N19","2011","2011","85+ years","85+",,,4575,5737173,79.7
"Total","Renal failure","N17-N19","2011","2011",,,,,16058,206592936,7.8
,"Renal failure","N17-N19","2012","2012","25-34 years","25-34","Female","F",43,20970529,0.2
,"Renal failure","N17-N19","2012","2012","25-34 years","25-34","Male","M",74,21338792,0.3
"Total","Renal failure","N17-N19","2012","2012","25-34 years","25-34",,,117,42309321,0.3
,"Renal failure","N17-N19","2012","2012","35-44 years","35-44","Female","F",135,20342813,0.7
,"Renal failure","N17-N19","2012","2012","35-44 years","35-44","Male","M",184,20173607,0.9
"Total","Renal failure","N17-N19","2012","2012","35-44 years","35-44",,,319,40516420,0.8
,"Renal failure","N17-N19","2012","2012","45-54 years","45-54","Female","F",436,22461868,1.9
,"Renal failure","N17-N19","2012","2012","45-54 years","45-54","Male","M",625,21806870,2.9
"Total","Renal failure","N17-N19","2012","2012","45-54 years","45-54",,,1061,44268738,2.4
,"Renal failure","N17-N19","2012","2012","55-64 years","55-64","Female","F",989,19983308,4.9
,"Renal failure","N17-N19","2012","2012","55-64 years","55-64","Male","M",1292,18602894,6.9
"Total","Renal failure","N17-N19","2012","2012","55-64 years","55-64",,,2281,38586202,5.9
,"Renal failure","N17-N19","2012","2012","65-74 years","65-74","Female","F",1428,12782530,11.2
,"Renal failure","N17-N19","2012","2012","65-74 years","65-74","Male","M",1671,11202862,14.9
"Total","Renal failure","N17-N19","2012","2012","65-74 years","65-74",,,3099,23985392,12.9
,"Renal failure","N17-N19","2012","2012","75-84 years","75-84","Female","F",2204,7624484,28.9
,"Renal failure","N17-N19","2012","2012","75-84 years","75-84","Male","M",2151,5648150,38.1
"Total","Renal failure","N17-N19","2012","2012","75-84 years","75-84",,,4355,13272634,32.8
,"Renal failure","N17-N19","2012","2012","85+ years","85+","Female","F",2601,3923297,66.3
,"Renal failure","N17-N19","2012","2012","85+ years","85+","Male","M",1797,1964033,91.5
"Total","Renal failure","N17-N19","2012","2012","85+ years","85+",,,4398,5887330,74.7
"Total","Renal failure","N17-N19","2012","2012",,,,,15630,208826037,7.5
,"Renal failure","N17-N19","2013","2013","25-34 years","25-34","Female","F",79,21203096,0.4
,"Renal failure","N17-N19","2013","2013","25-34 years","25-34","Male","M",70,21641491,0.3
"Total","Renal failure","N17-N19","2013","2013","25-34 years","25-34",,,149,42844587,0.3
,"Renal failure","N17-N19","2013","2013","35-44 years","35-44","Female","F",167,20307429,0.8
,"Renal failure","N17-N19","2013","2013","35-44 years","35-44","Male","M",212,20145261,1.1
"Total","Renal failure","N17-N19","2013","2013","35-44 years","35-44",,,379,40452690,0.9
,"Renal failure","N17-N19","2013","2013","45-54 years","45-54","Female","F",519,22198448,2.3
,"Renal failure","N17-N19","2013","2013","45-54 years","45-54","Male","M",632,21569084,2.9
"Total","Renal failure","N17-N19","2013","2013","45-54 years","45-54",,,1151,43767532,2.6
,"Renal failure","N17-N19","2013","2013","55-64 years","55-64","Female","F",1035,20359676,5.1
,"Renal failure","N17-N19","2013","2013","55-64 years","55-64","Male","M",1413,18956755,7.5
"Total","Renal failure","N17-N19","2013","2013","55-64 years","55-64",,,2448,39316431,6.2
,"Renal failure","N17-N19","2013","2013","65-74 years","65-74","Female","F",1602,13419124,11.9
,"Renal failure","N17-N19","2013","2013","65-74 years","65-74","Male","M",1802,11797642,15.3
"Total","Renal failure","N17-N19","2013","2013","65-74 years","65-74",,,3404,25216766,13.5
,"Renal failure","N17-N19","2013","2013","75-84 years","75-84","Female","F",2343,7686002,30.5
,"Renal failure","N17-N19","2013","2013","75-84 years","75-84","Male","M",2255,5760517,39.1
"Total","Renal failure","N17-N19","2013","2013","75-84 years","75-84",,,4598,13446519,34.2
,"Renal failure","N17-N19","2013","2013","85+ years","85+","Female","F",2592,3999007,64.8
,"Renal failure","N17-N19","2013","2013","85+ years","85+","Male","M",1790,2041782,87.7
"Total","Renal failure","N17-N19","2013","2013","85+ years","85+",,,4382,6040789,72.5
"Total","Renal failure","N17-N19","2013","2013",,,,,16511,211085314,7.8
,"Renal failure","N17-N19","2014","2014","25-34 years","25-34","Female","F",65,21546290,0.3
,"Renal failure","N17-N19","2014","2014","25-34 years","25-34","Male","M",82,21970214,0.4
"Total","Renal failure","N17-N19","2014","2014","25-34 years","25-34",,,147,43516504,0.3
,"Renal failure","N17-N19","2014","2014","35-44 years","35-44","Female","F",185,20353904,0.9
,"Renal failure","N17-N19","2014","2014","35-44 years","35-44","Male","M",224,20159229,1.1
"Total","Renal failure","N17-N19","2014","2014","35-44 years","35-44",,,409,40513133,1.0
,"Renal failure","N17-N19","2014","2014","45-54 years","45-54","Female","F",503,22033807,2.3
,"Renal failure","N17-N19","2014","2014","45-54 years","45-54","Male","M",704,21425044,3.3
"Total","Renal failure","N17-N19","2014","2014","45-54 years","45-54",,,1207,43458851,2.8
,"Renal failure","N17-N19","2014","2014","55-64 years","55-64","Female","F",1128,20755699,5.4
,"Renal failure","N17-N19","2014","2014","55-64 years","55-64","Male","M",1508,19321882,7.8
"Total","Renal failure","N17-N19","2014","2014","55-64 years","55-64",,,2636,40077581,6.6
,"Renal failure","N17-N19","2014","2014","65-74 years","65-74","Female","F",1759,14049245,12.5
,"Renal failure","N17-N19","2014","2014","65-74 years","65-74","Male","M",1952,12349045,15.8
"Total","Renal failure","N17-N19","2014","2014","65-74 years","65-74",,,3711,26398290,14.1
,"Renal failure","N17-N19","2014","2014","75-84 years","75-84","Female","F",2254,7789312,28.9
,"Renal failure","N17-N19","2014","2014","75-84 years","75-84","Male","M",2189,5893378,37.1
"Total","Renal failure","N17-N19","2014","2014","75-84 years","75-84",,,4443,13682690,32.5
,"Renal failure","N17-N19","2014","2014","85+ years","85+","Female","F",2615,4053362,64.5
,"Renal failure","N17-N19","2014","2014","85+ years","85+","Male","M",1971,2108869,93.5
"Total","Renal failure","N17-N19","2014","2014","85+ years","85+",,,4586,6162231,74.4
"Total","Renal failure","N17-N19","2014","2014",,,,,17139,213809280,8.0
,"Renal failure","N17-N19","2015","2015","25-34 years","25-34","Female","F",64,21838064,0.3
,"Renal failure","N17-N19","2015","2015","25-34 years","25-34","Male","M",74,22299138,0.3
"Total","Renal failure","N17-N19","2015","2015","25-34 years","25-34",,,138,44137202,0.3
,"Renal failure","N17-N19","2015","2015","35-44 years","35-44","Female","F",187,20386206,0.9
,"Renal failure","N17-N19","2015","2015","35-44 years","35-44","Male","M",211,20203577,1.0
"Total","Renal failure","N17-N19","2015","2015","35-44 years","35-44",,,398,40589783,1.0
