"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Sex","Sex Code","Race","Race Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Other bacterial diseases","A30-A49","2010","2010","Female","F","White","2106-3","45-54 years","45-54",339,18311038,1.9
,"Other bacterial diseases","A30-A49","2010","2010","Female","F","White","2106-3","55-64 years","55-64",677,15586402,4.3
,"Other bacterial diseases","A30-A49","2010","2010","Female","F","White","2106-3","65-74 years","65-74",1141,9846491,11.6
,"Other bacterial diseases","A30-A49","2010","2010","Female","F","White","2106-3","75-84 years","75-84",1851,6601101,28.0
,"Other bacterial diseases","A30-A49","2010","2010","Female","F","White","2106-3","85+ years","85+",2291,3314447,69.1
,"Other bacterial diseases","A30-A49","2010","2010","Male","M","American Indian or Alaska Native","1002-5","55-64 years","55-64",13,167158,Unreliable
,"Other bacterial diseases","A30-A49","2010","2010","Male","M","American Indian or Alaska Native","1002-5","65-74 years","65-74",10,76459,Unreliable
,"Other bacterial diseases","A30-A49","2010","2010","Male","M","American Indian or Alaska Native","1002-5","75-84 years","75-84",10,29157,Unreliable
,"Other bacterial diseases","A30-A49","2010","2010","Male","M","Asian or Pacific Islander","A-PI","45-54 years","45-54",19,1074756,Unreliable
,"Other bacterial diseases","A30-A49","2010","2010","Male","M","Asian or Pacific Islander","A-PI","55-64 years","55-64",32,761268,4.2
,"Other bacterial diseases","A30-A49","2010","2010","Male","M","Asian or Pacific Islander","A-PI","65-74 years","65-74",46,408568,11.3
,"Other bacterial diseases","A30-A49","2010","2010","Male","M","Asian or Pacific Islander","A-PI","75-84 years","75-84",70,185737,37.7
,"Other bacterial diseases","A30-A49","2010","2010","Male","M","Asian or Pacific Islander","A-PI","85+ years","85+",48,54709,87.7
,"Other bacterial diseases","A30-A49","2010","2010","Male","M","Black or African American","2054-5","25-34 years","25-34",15,2801017,Unreliable
,"Other bacterial diseases","A30-A49","2010","2010","Male","M","Black or African American","2054-5","35-44 years","35-44",29,2639054,1.1
,"Other bacterial diseases","A30-A49","2010","2010","Male","M","Black or African American","2054-5","45-54 years","45-54",119,2707520,4.4
,"Other bacterial diseases","A30-A49","2010","2010","Male","M","Black or African American","2054-5","55-64 years","55-64",214,1832463,11.7
,"Other bacterial diseases","A30-A49","2010","2010","Male","M","Black or African American","2054-5","65-74 years","65-74",230,885780,26.0
,"Other bacterial diseases","A30-A49","2010","2010","Male","M","Black or African American","2054-5","75-84 years","75-84",239,395774,60.4
,"Other bacterial diseases","A30-A49","2010","2010","Male","M","Black or African American","2054-5","85+ years","85+",161,110382,145.9
,"Other bacterial diseases","A30-A49","2010","2010","Male","M","White","2106-3","25-34 years","25-34",39,16138835,0.2
,"Other bacterial diseases","A30-A49","2010","2010","Male","M","White","2106-3","35-44 years","35-44",130,16208232,0.8
,"Other bacterial diseases","A30-A49","2010","2010","Male","M","White","2106-3","45-54 years","45-54",464,18095800,2.6
,"Other bacterial diseases","A30-A49","2010","2010","Male","M","White","2106-3","55-64 years","55-64",899,14840259,6.1
,"Other bacterial diseases","A30-A49","2010","2010","Male","M","White","2106-3","65-74 years","65-74",1333,8725712,15.3
,"Other bacterial diseases","A30-A49","2010","2010","Male","M","White","2106-3","75-84 years","75-84",1946,4866094,40.0
,"Other bacterial diseases","A30-A49","2010","2010","Male","M","White","2106-3","85+ years","85+",1545,1617352,95.5
,"Other bacterial diseases","A30-A49","2011","2011","Female","F","American Indian or Alaska Native","1002-5","45-54 years","45-54",12,276312,Unreliable
,"Other bacterial diseases","A30-A49","2011","2011","Female","F","American Indian or Alaska Native","1002-5","55-64 years","55-64",15,192307,Unreliable
,"Other bacterial diseases","A30-A49","2011","2011","Female","F","American Indian or Alaska Native","1002-5","65-74 years","65-74",22,93453,23.5
,"Other bacterial diseases","A30-A49","2011","2011","Female","F","American Indian or Alaska Native","1002-5","75-84 years","75-84",19,43747,Unreliable
,"Other bacterial diseases","A30-A49","2011","2011","Female","F","Asian or Pacific Islander","A-PI","45-54 years","45-54",13,1247324,Unreliable
,"Other bacterial diseases","A30-A49","2011","2011","Female","F","Asian or Pacific Islander","A-PI","55-64 years","55-64",23,979140,2.3
,"Other bacterial diseases","A30-A49","2011","2011","Female","F","Asian or Pacific Islander","A-PI","65-74 years","65-74",44,525453,8.4
,"Other bacterial diseases","A30-A49","2011","2011","Female","F","Asian or Pacific Islander","A-PI","75-84 years","75-84",64,282420,22.7
,"Other bacterial diseases","A30-A49","2011","2011","Female","F","Asian or Pacific Islander","A-PI","85+ years","85+",73,105055,69.5
,"Other bacterial diseases","A30-A49","2011","2011","Female","F","Black or African American","2054-5","25-34 years","25-34",11,3122987,Unreliable
,"Other bacterial diseases","A30-A49","2011","2011","Female","F","Black or African American","2054-5","35-44 years","35-44",34,2934906,1.2
,"Other bacterial diseases","A30-A49","2011","2011","Female","F","Black or African American","2054-5","45-54 years","45-54",118,3066612,3.8
,"Other bacterial diseases","A30-A49","2011","2011","Female","F","Black or African American","2054-5","55-64 years","55-64",190,2331287,8.2
,"Other bacterial diseases","A30-A49","2011","2011","Female","F","Black or African American","2054-5","65-74 years","65-74",228,1237777,18.4
,"Other bacterial diseases","A30-A49","2011","2011","Female","F","Black or African American","2054-5","75-84 years","75-84",289,696468,41.5
,"Other bacterial diseases","A30-A49","2011","2011","Female","F","Black or African American","2054-5","85+ years","85+",280,292691,95.7
,"Other bacterial diseases","A30-A49","2011","2011","Female","F","White","2106-3","25-34 years","25-34",39,15778153,0.2
,"Other bacterial diseases","A30-A49","2011","2011","Female","F","White","2106-3","35-44 years","35-44",108,15695797,0.7
,"Other bacterial diseases","A30-A49","2011","2011","Female","F","White","2106-3","45-54 years","45-54",307,18108708,1.7
,"Other bacterial diseases","A30-A49","2011","2011","Female","F","White","2106-3","55-64 years","55-64",708,16201201,4.4
,"Other bacterial diseases","A30-A49","2011","2011","Female","F","White","2106-3","65-74 years","65-74",1175,10148742,11.6
,"Other bacterial diseases","A30-A49","2011","2011","Female","F","White","2106-3","75-84 years","75-84",1937,6579562,29.4
,"Other bacterial diseases","A30-A49","2011","2011","Female","F","White","2106-3","85+ years","85+",2323,3429955,67.7
,"Other bacterial diseases","A30-A49","2011","2011","Male","M","American Indian or Alaska Native","1002-5","45-54 years","45-54",13,269072,Unreliable
,"Other bacterial diseases","A30-A49","2011","2011","Male","M","American Indian or Alaska Native","1002-5","55-64 years","55-64",13,179489,Unreliable
,"Other bacterial diseases","A30-A49","2011","2011","Male","M","American Indian or Alaska Native","1002-5","65-74 years","65-74",10,82279,Unreliable
,"Other bacterial diseases","A30-A49","2011","2011","Male","M","American Indian or Alaska Native","1002-5","75-84 years","75-84",10,31812,Unreliable
,"Other bacterial diseases","A30-A49","2011","2011","Male","M","Asian or Pacific Islander","A-PI","45-54 years","45-54",10,1101754,Unreliable
,"Other bacterial diseases","A30-A49","2011","2011","Male","M","Asian or Pacific Islander","A-PI","55-64 years","55-64",38,809532,4.7
,"Other bacterial diseases","A30-A49","2011","2011","Male","M","Asian or Pacific Islander","A-PI","65-74 years","65-74",45,436536,10.3
,"Other bacterial diseases","A30-A49","2011","2011","Male","M","Asian or Pacific Islander","A-PI","75-84 years","75-84",68,200623,33.9
,"Other bacterial diseases","A30-A49","2011","2011","Male","M","Asian or Pacific Islander","A-PI","85+ years","85+",63,61242,102.9
,"Other bacterial diseases","A30-A49","2011","2011","Male","M","Black or African American","2054-5","25-34 years","25-34",25,2876283,0.9
,"Other bacterial diseases","A30-A49","2011","2011","Male","M","Black or African American","2054-5","35-44 years","35-44",43,2612286,1.6
,"Other bacterial diseases","A30-A49","2011","2011","Male","M","Black or African American","2054-5","45-54 years","45-54",117,2717303,4.3
,"Other bacterial diseases","A30-A49","2011","2011","Male","M","Black or African American","2054-5","55-64 years","55-64",187,1946428,9.6
,"Other bacterial diseases","A30-A49","2011","2011","Male","M","Black or African American","2054-5","65-74 years","65-74",224,924403,24.2
,"Other bacterial diseases","A30-A49","2011","2011","Male","M","Black or African American","2054-5","75-84 years","75-84",225,414645,54.3
,"Other bacterial diseases","A30-A49","2011","2011","Male","M","Black or African American","2054-5","85+ years","85+",147,114793,128.1
,"Other bacterial diseases","A30-A49","2011","2011","Male","M","White","2106-3","25-34 years","25-34",57,16433075,0.3
,"Other bacterial diseases","A30-A49","2011","2011","Male","M","White","2106-3","35-44 years","35-44",159,15984681,1.0
,"Other bacterial diseases","A30-A49","2011","2011","Male","M","White","2106-3","45-54 years","45-54",483,17931118,2.7
,"Other bacterial diseases","A30-A49","2011","2011","Male","M","White","2106-3","55-64 years","55-64",980,15422756,6.4
,"Other bacterial diseases","A30-A49","2011","2011","Male","M","White","2106-3","65-74 years","65-74",1323,9033095,14.6
,"Other bacterial diseases","A30-A49","2011","2011","Male","M","White","2106-3","75-84 years","75-84",2009,4925953,40.8
,"Other bacterial diseases","A30-A49","2011","2011","Male","M","White","2106-3","85+ years","85+",1648,1709767,96.4
,"Other bacterial diseases","A30-A49","2012","2012","Female","F","American Indian or Alaska Native","1002-5","45-54 years","45-54",13,276700,Unreliable
,"Other bacterial diseases","A30-A49","2012","2012","Female","F","American Indian or Alaska Native","1002-5","55-64 years","55-64",13,200285,Unreliable
,"Other bacterial diseases","A30-A49","2012","2012","Female","F","American Indian or Alaska Native","1002-5","65-74 years","65-74",14,100409,Unreliable
,"Other bacterial diseases","A30-A49","2012","2012","Female","F","American Indian or Alaska Native","1002-5","75-84 years","75-84",21,45258,46.4
,"Other bacterial diseases","A30-A49","2012","2012","Female","F","American Indian or Alaska Native","1002-5","85+ years","85+",11,16376,Unreliable
,"Other bacterial diseases","A30-A49","2012","2012","Female","F","Asian or Pacific Islander","A-PI","45-54 years","45-54",13,1275996,Unreliable
,"Other bacterial diseases","A30-A49","2012","2012","Female","F","Asian or Pacific Islander","A-PI","55-64 years","55-64",24,1023275,2.3
,"Other bacterial diseases","A30-A49","2012","2012","Female","F","Asian or Pacific Islander","A-PI","65-74 years","65-74",39,568687,6.9
,"Other bacterial diseases","A30-A49","2012","2012","Female","F","Asian or Pacific Islander","A-PI","75-84 years","75-84",63,297516,21.2
,"Other bacterial diseases","A30-A49","2012","2012","Female","F","Asian or Pacific Islander","A-PI","85+ years","85+",88,115055,76.5
,"Other bacterial diseases","A30-A49","2012","2012","Female","F","Black or African American","2054-5","35-44 years","35-44",25,2941200,0.8
,"Other bacterial diseases","A30-A49","2012","2012","Female","F","Black or African American","2054-5","45-54 years","45-54",86,3055924,2.8
,"Other bacterial diseases","A30-A49","2012","2012","Female","F","Black or African American","2054-5","55-64 years","55-64",196,2419636,8.1
,"Other bacterial diseases","A30-A49","2012","2012","Female","F","Black or African American","2054-5","65-74 years","65-74",190,1304676,14.6
,"Other bacterial diseases","A30-A49","2012","2012","Female","F","Black or African American","2054-5","75-84 years","75-84",234,706069,33.1
,"Other bacterial diseases","A30-A49","2012","2012","Female","F","Black or African American","2054-5","85+ years","85+",282,307270,91.8
,"Other bacterial diseases","A30-A49","2012","2012","Female","F","White","2106-3","25-34 years","25-34",35,15892849,0.2
,"Other bacterial diseases","A30-A49","2012","2012","Female","F","White","2106-3","35-44 years","35-44",103,15573096,0.7
,"Other bacterial diseases","A30-A49","2012","2012","Female","F","White","2106-3","45-54 years","45-54",319,17853248,1.8
,"Other bacterial diseases","A30-A49","2012","2012","Female","F","White","2106-3","55-64 years","55-64",755,16340112,4.6
,"Other bacterial diseases","A30-A49","2012","2012","Female","F","White","2106-3","65-74 years","65-74",1177,10808758,10.9
,"Other bacterial diseases","A30-A49","2012","2012","Female","F","White","2106-3","75-84 years","75-84",1870,6575641,28.4
,"Other bacterial diseases","A30-A49","2012","2012","Female","F","White","2106-3","85+ years","85+",2208,3484596,63.4
,"Other bacterial diseases","A30-A49","2012","2012","Male","M","American Indian or Alaska Native","1002-5","45-54 years","45-54",11,269981,Unreliable
,"Other bacterial diseases","A30-A49","2012","2012","Male","M","American Indian or Alaska Native","1002-5","55-64 years","55-64",17,185911,Unreliable
,"Other bacterial diseases","A30-A49","2012","2012","Male","M","American Indian or Alaska Native","1002-5","65-74 years","65-74",17,88818,Unreliable
,"Other bacterial diseases","A30-A49","2012","2012","Male","M","American Indian or Alaska Native","1002-5","75-84 years","75-84",17,33101,Unreliable
,"Other bacterial diseases","A30-A49","2012","2012","Male","M","Asian or Pacific Islander","A-PI","45-54 years","45-54",14,1128254,Unreliable
,"Other bacterial diseases","A30-A49","2012","2012","Male","M","Asian or Pacific Islander","A-PI","55-64 years","55-64",31,846795,3.7
,"Other bacterial diseases","A30-A49","2012","2012","Male","M","Asian or Pacific Islander","A-PI","65-74 years","65-74",37,468808,7.9
,"Other bacterial diseases","A30-A49","2012","2012","Male","M","Asian or Pacific Islander","A-PI","75-84 years","75-84",63,214358,29.4
,"Other bacterial diseases","A30-A49","2012","2012","Male","M","Asian or Pacific Islander","A-PI","85+ years","85+",66,66110,99.8
,"Other bacterial diseases","A30-A49","2012","2012","Male","M","Black or African American","2054-5","25-34 years","25-34",19,2944482,Unreliable
,"Other bacterial diseases","A30-A49","2012","2012","Male","M","Black or African American","2054-5","35-44 years","35-44",43,2619646,1.6
,"Other bacterial diseases","A30-A49","2012","2012","Male","M","Black or African American","2054-5","45-54 years","45-54",107,2707346,4.0
,"Other bacterial diseases","A30-A49","2012","2012","Male","M","Black or African American","2054-5","55-64 years","55-64",220,2021385,10.9
,"Other bacterial diseases","A30-A49","2012","2012","Male","M","Black or African American","2054-5","65-74 years","65-74",208,978519,21.3
,"Other bacterial diseases","A30-A49","2012","2012","Male","M","Black or African American","2054-5","75-84 years","75-84",227,424153,53.5
,"Other bacterial diseases","A30-A49","2012","2012","Male","M","Black or African American","2054-5","85+ years","85+",171,123493,138.5
,"Other bacterial diseases","A30-A49","2012","2012","Male","M","White","2106-3","25-34 years","25-34",47,16593734,0.3
,"Other bacterial diseases","A30-A49","2012","2012","Male","M","White","2106-3","35-44 years","35-44",136,15882055,0.9
,"Other bacterial diseases","A30-A49","2012","2012","Male","M","White","2106-3","45-54 years","45-54",486,17701289,2.7
,"Other bacterial diseases","A30-A49","2012","2012","Male","M","White","2106-3","55-64 years","55-64",1012,15548803,6.5
,"Other bacterial diseases","A30-A49","2012","2012","Male","M","White","2106-3","65-74 years","65-74",1407,9666717,14.6
,"Other bacterial diseases","A30-A49","2012","2012","Male","M","White","2106-3","75-84 years","75-84",1836,4976538,36.9
,"Other bacterial diseases","A30-A49","2012","2012","Male","M","White","2106-3","85+ years","85+",1544,1765739,87.4
,"Other bacterial diseases","A30-A49","2013","2013","Female","F","American Indian or Alaska Native","1002-5","45-54 years","45-54",16,276505,Unreliable
,"Other bacterial diseases","A30-A49","2013","2013","Female","F","American Indian or Alaska Native","1002-5","55-64 years","55-64",16,208893,Unreliable
,"Other bacterial diseases","A30-A49","2013","2013","Female","F","American Indian or Alaska Native","1002-5","65-74 years","65-74",12,107248,Unreliable
,"Other bacterial diseases","A30-A49","2013","2013","Female","F","American Indian or Alaska Native","1002-5","75-84 years","75-84",13,47550,Unreliable
,"Other bacterial diseases","A30-A49","2013","2013","Female","F","Asian or Pacific Islander","A-PI","55-64 years","55-64",22,1064048,2.1
,"Other bacterial diseases","A30-A49","2013","2013","Female","F","Asian or Pacific Islander","A-PI","65-74 years","65-74",35,614960,5.7
,"Other bacterial diseases","A30-A49","2013","2013","Female","F","Asian or Pacific Islander","A-PI","75-84 years","75-84",72,312870,23.0
,"Other bacterial diseases","A30-A49","2013","2013","Female","F","Asian or Pacific Islander","A-PI","85+ years","85+",77,126827,60.7
,"Other bacterial diseases","A30-A49","2013","2013","Female","F","Black or African American","2054-5","25-34 years","25-34",23,3224131,0.7
,"Other bacterial diseases","A30-A49","2013","2013","Female","F","Black or African American","2054-5","35-44 years","35-44",33,2950264,1.1
,"Other bacterial diseases","A30-A49","2013","2013","Female","F","Black or African American","2054-5","45-54 years","45-54",96,3043355,3.2
,"Other bacterial diseases","A30-A49","2013","2013","Female","F","Black or African American","2054-5","55-64 years","55-64",205,2498661,8.2
,"Other bacterial diseases","A30-A49","2013","2013","Female","F","Black or African American","2054-5","65-74 years","65-74",237,1378030,17.2
,"Other bacterial diseases","A30-A49","2013","2013","Female","F","Black or African American","2054-5","75-84 years","75-84",290,722525,40.1
,"Other bacterial diseases","A30-A49","2013","2013","Female","F","Black or African American","2054-5","85+ years","85+",303,317960,95.3
,"Other bacterial diseases","A30-A49","2013","2013","Female","F","White","2106-3","25-34 years","25-34",46,16021255,0.3
,"Other bacterial diseases","A30-A49","2013","2013","Female","F","White","2106-3","35-44 years","35-44",121,15488957,0.8
,"Other bacterial diseases","A30-A49","2013","2013","Female","F","White","2106-3","45-54 years","45-54",398,17569134,2.3
,"Other bacterial diseases","A30-A49","2013","2013","Female","F","White","2106-3","55-64 years","55-64",791,16588074,4.8
,"Other bacterial diseases","A30-A49","2013","2013","Female","F","White","2106-3","65-74 years","65-74",1308,11318886,11.6
,"Other bacterial diseases","A30-A49","2013","2013","Female","F","White","2106-3","75-84 years","75-84",1959,6603057,29.7
,"Other bacterial diseases","A30-A49","2013","2013","Female","F","White","2106-3","85+ years","85+",2186,3536701,61.8
,"Other bacterial diseases","A30-A49","2013","2013","Male","M","American Indian or Alaska Native","1002-5","45-54 years","45-54",16,271530,Unreliable
,"Other bacterial diseases","A30-A49","2013","2013","Male","M","American Indian or Alaska Native","1002-5","55-64 years","55-64",20,193548,10.3
,"Other bacterial diseases","A30-A49","2013","2013","Male","M","American Indian or Alaska Native","1002-5","65-74 years","65-74",10,95237,Unreliable
,"Other bacterial diseases","A30-A49","2013","2013","Male","M","American Indian or Alaska Native","1002-5","75-84 years","75-84",12,35081,Unreliable
,"Other bacterial diseases","A30-A49","2013","2013","Male","M","American Indian or Alaska Native","1002-5","85+ years","85+",10,9475,Unreliable
,"Other bacterial diseases","A30-A49","2013","2013","Male","M","Asian or Pacific Islander","A-PI","35-44 years","35-44",14,1405065,Unreliable
,"Other bacterial diseases","A30-A49","2013","2013","Male","M","Asian or Pacific Islander","A-PI","45-54 years","45-54",14,1157519,Unreliable
,"Other bacterial diseases","A30-A49","2013","2013","Male","M","Asian or Pacific Islander","A-PI","55-64 years","55-64",42,883729,4.8
,"Other bacterial diseases","A30-A49","2013","2013","Male","M","Asian or Pacific Islander","A-PI","65-74 years","65-74",60,504244,11.9
,"Other bacterial diseases","A30-A49","2013","2013","Male","M","Asian or Pacific Islander","A-PI","75-84 years","75-84",71,229913,30.9
,"Other bacterial diseases","A30-A49","2013","2013","Male","M","Asian or Pacific Islander","A-PI","85+ years","85+",70,72810,96.1
,"Other bacterial diseases","A30-A49","2013","2013","Male","M","Black or African American","2054-5","25-34 years","25-34",10,3018776,Unreliable
,"Other bacterial diseases","A30-A49","2013","2013","Male","M","Black or African American","2054-5","35-44 years","35-44",51,2628985,1.9
,"Other bacterial diseases","A30-A49","2013","2013","Male","M","Black or African American","2054-5","45-54 years","45-54",111,2693002,4.1
,"Other bacterial diseases","A30-A49","2013","2013","Male","M","Black or African American","2054-5","55-64 years","55-64",245,2092483,11.7
,"Other bacterial diseases","A30-A49","2013","2013","Male","M","Black or African American","2054-5","65-74 years","65-74",250,1038392,24.1
,"Other bacterial diseases","A30-A49","2013","2013","Male","M","Black or African American","2054-5","75-84 years","75-84",220,439331,50.1
,"Other bacterial diseases","A30-A49","2013","2013","Male","M","Black or African American","2054-5","85+ years","85+",163,129339,126.0
,"Other bacterial diseases","A30-A49","2013","2013","Male","M","White","2106-3","25-34 years","25-34",56,16763513,0.3
,"Other bacterial diseases","A30-A49","2013","2013","Male","M","White","2106-3","35-44 years","35-44",142,15812520,0.9
,"Other bacterial diseases","A30-A49","2013","2013","Male","M","White","2106-3","45-54 years","45-54",491,17447033,2.8
,"Other bacterial diseases","A30-A49","2013","2013","Male","M","White","2106-3","55-64 years","55-64",1098,15786995,7.0
,"Other bacterial diseases","A30-A49","2013","2013","Male","M","White","2106-3","65-74 years","65-74",1469,10159769,14.5
,"Other bacterial diseases","A30-A49","2013","2013","Male","M","White","2106-3","75-84 years","75-84",1940,5056192,38.4
,"Other bacterial diseases","A30-A49","2013","2013","Male","M","White","2106-3","85+ years","85+",1538,1830158,84.0
,"Other bacterial diseases","A30-A49","2014","2014","Female","F","American Indian or Alaska Native","1002-5","45-54 years","45-54",15,277173,Unreliable
,"Other bacterial diseases","A30-A49","2014","2014","Female","F","American Indian or Alaska Native","1002-5","55-64 years","55-64",21,217910,9.6
,"Other bacterial diseases","A30-A49","2014","2014","Female","F","American Indian or Alaska Native","1002-5","65-74 years","65-74",18,114498,Unreliable
,"Other bacterial diseases","A30-A49","2014","2014","Female","F","American Indian or Alaska Native","1002-5","75-84 years","75-84",19,50208,Unreliable
,"Other bacterial diseases","A30-A49","2014","2014","Female","F","American Indian or Alaska Native","1002-5","85+ years","85+",13,18585,Unreliable
,"Other bacterial diseases","A30-A49","2014","2014","Female","F","Asian or Pacific Islander","A-PI","35-44 years","35-44",10,1634483,Unreliable
,"Other bacterial diseases","A30-A49","2014","2014","Female","F","Asian or Pacific Islander","A-PI","55-64 years","55-64",23,1111024,2.1
,"Other bacterial diseases","A30-A49","2014","2014","Female","F","Asian or Pacific Islander","A-PI","65-74 years","65-74",38,669694,5.7
,"Other bacterial diseases","A30-A49","2014","2014","Female","F","Asian or Pacific Islander","A-PI","75-84 years","75-84",60,331448,18.1
,"Other bacterial diseases","A30-A49","2014","2014","Female","F","Asian or Pacific Islander","A-PI","85+ years","85+",89,137805,64.6
,"Other bacterial diseases","A30-A49","2014","2014","Female","F","Black or African American","2054-5","25-34 years","25-34",13,3304914,Unreliable
,"Other bacterial diseases","A30-A49","2014","2014","Female","F","Black or African American","2054-5","35-44 years","35-44",42,2984282,1.4
,"Other bacterial diseases","A30-A49","2014","2014","Female","F","Black or African American","2054-5","45-54 years","45-54",105,3028774,3.5
,"Other bacterial diseases","A30-A49","2014","2014","Female","F","Black or African American","2054-5","55-64 years","55-64",191,2577838,7.4
,"Other bacterial diseases","A30-A49","2014","2014","Female","F","Black or African American","2054-5","65-74 years","65-74",248,1460270,17.0
,"Other bacterial diseases","A30-A49","2014","2014","Female","F","Black or African American","2054-5","75-84 years","75-84",259,740614,35.0
,"Other bacterial diseases","A30-A49","2014","2014","Female","F","Black or African American","2054-5","85+ years","85+",279,327938,85.1
,"Other bacterial diseases","A30-A49","2014","2014","Female","F","White","2106-3","25-34 years","25-34",46,16204311,0.3
,"Other bacterial diseases","A30-A49","2014","2014","Female","F","White","2106-3","35-44 years","35-44",125,15444065,0.8
,"Other bacterial diseases","A30-A49","2014","2014","Female","F","White","2106-3","45-54 years","45-54",372,17361561,2.1
,"Other bacterial diseases","A30-A49","2014","2014","Female","F","White","2106-3","55-64 years","55-64",885,16848927,5.3
,"Other bacterial diseases","A30-A49","2014","2014","Female","F","White","2106-3","65-74 years","65-74",1440,11804783,12.2
,"Other bacterial diseases","A30-A49","2014","2014","Female","F","White","2106-3","75-84 years","75-84",1905,6667042,28.6
,"Other bacterial diseases","A30-A49","2014","2014","Female","F","White","2106-3","85+ years","85+",2217,3569034,62.1
,"Other bacterial diseases","A30-A49","2014","2014","Male","M","American Indian or Alaska Native","1002-5","45-54 years","45-54",15,274161,Unreliable
,"Other bacterial diseases","A30-A49","2014","2014","Male","M","American Indian or Alaska Native","1002-5","55-64 years","55-64",19,201175,Unreliable
,"Other bacterial diseases","A30-A49","2014","2014","Male","M","American Indian or Alaska Native","1002-5","65-74 years","65-74",18,101793,Unreliable
,"Other bacterial diseases","A30-A49","2014","2014","Male","M","American Indian or Alaska Native","1002-5","75-84 years","75-84",16,37312,Unreliable
,"Other bacterial diseases","A30-A49","2014","2014","Male","M","Asian or Pacific Islander","A-PI","45-54 years","45-54",11,1204948,Unreliable
,"Other bacterial diseases","A30-A49","2014","2014","Male","M","Asian or Pacific Islander","A-PI","55-64 years","55-64",43,924813,4.6
,"Other bacterial diseases","A30-A49","2014","2014","Male","M","Asian or Pacific Islander","A-PI","65-74 years","65-74",67,545296,12.3
,"Other bacterial diseases","A30-A49","2014","2014","Male","M","Asian or Pacific Islander","A-PI","75-84 years","75-84",63,248143,25.4
,"Other bacterial diseases","A30-A49","2014","2014","Male","M","Asian or Pacific Islander","A-PI","85+ years","85+",78,79563,98.0
,"Other bacterial diseases","A30-A49","2014","2014","Male","M","Black or African American","2054-5","25-34 years","25-34",16,3122333,Unreliable
,"Other bacterial diseases","A30-A49","2014","2014","Male","M","Black or African American","2054-5","35-44 years","35-44",28,2661111,1.1
,"Other bacterial diseases","A30-A49","2014","2014","Male","M","Black or African American","2054-5","45-54 years","45-54",104,2680947,3.9
,"Other bacterial diseases","A30-A49","2014","2014","Male","M","Black or African American","2054-5","55-64 years","55-64",233,2162149,10.8
,"Other bacterial diseases","A30-A49","2014","2014","Male","M","Black or African American","2054-5","65-74 years","65-74",247,1099266,22.5
,"Other bacterial diseases","A30-A49","2014","2014","Male","M","Black or African American","2054-5","75-84 years","75-84",227,456225,49.8
,"Other bacterial diseases","A30-A49","2014","2014","Male","M","Black or African American","2054-5","85+ years","85+",159,136175,116.8
,"Other bacterial diseases","A30-A49","2014","2014","Male","M","White","2106-3","25-34 years","25-34",59,16906536,0.3
