"Notes","Residence State","Residence State Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate
,"Alabama","01","2021","2021","65-74 years","65-74","Other bacterial diseases","A30-A49",1619,541944,298.7
,"Alabama","01","2021","2021","75-84 years","75-84","Other bacterial diseases","A30-A49",1311,261671,501.0
,"Alabama","01","2021","2021","85+ years","85+","Other bacterial diseases","A30-A49",762,85202,894.3
,"Alabama","01","2022","2022","25-34 years","25-34","Other bacterial diseases","A30-A49",64,657905,9.7
,"Alabama","01","2022","2022","35-44 years","35-44","Other bacterial diseases","A30-A49",136,621848,21.9
,"Alabama","01","2022","2022","45-54 years","45-54","Other bacterial diseases","A30-A49",342,617797,55.4
,"Alabama","01","2022","2022","55-64 years","55-64","Other bacterial diseases","A30-A49",872,658430,132.4
,"Alabama","01","2022","2022","65-74 years","65-74","Other bacterial diseases","A30-A49",1351,540882,249.8
,"Alabama","01","2022","2022","75-84 years","75-84","Other bacterial diseases","A30-A49",1188,280480,423.6
,"Alabama","01","2022","2022","85+ years","85+","Other bacterial diseases","A30-A49",722,93371,773.3
,"Alabama","01","2023","2023","25-34 years","25-34","Other bacterial diseases","A30-A49",48,660795,7.3
,"Alabama","01","2023","2023","35-44 years","35-44","Other bacterial diseases","A30-A49",146,631197,23.1
,"Alabama","01","2023","2023","45-54 years","45-54","Other bacterial diseases","A30-A49",318,618963,51.4
,"Alabama","01","2023","2023","55-64 years","55-64","Other bacterial diseases","A30-A49",775,654066,118.5
,"Alabama","01","2023","2023","65-74 years","65-74","Other bacterial diseases","A30-A49",1212,550923,220.0
,"Alabama","01","2023","2023","75-84 years","75-84","Other bacterial diseases","A30-A49",1166,290970,400.7
,"Alabama","01","2023","2023","85+ years","85+","Other bacterial diseases","A30-A49",656,90419,725.5
,"Alabama","01","2024 (provisional)","2024","25-34 years","25-34","Other bacterial diseases","A30-A49",41,667496,6.1
,"Alabama","01","2024 (provisional)","2024","35-44 years","35-44","Other bacterial diseases","A30-A49",121,641915,18.8
,"Alabama","01","2024 (provisional)","2024","45-54 years","45-54","Other bacterial diseases","A30-A49",283,619567,45.7
,"Alabama","01","2024 (provisional)","2024","55-64 years","55-64","Other bacterial diseases","A30-A49",736,649788,113.3
,"Alabama","01","2024 (provisional)","2024","65-74 years","65-74","Other bacterial diseases","A30-A49",1156,560133,206.4
,"Alabama","01","2024 (provisional)","2024","75-84 years","75-84","Other bacterial diseases","A30-A49",1186,303054,391.3
,"Alabama","01","2024 (provisional)","2024","85+ years","85+","Other bacterial diseases","A30-A49",690,92714,744.2
,"Alabama","01","2025 (provisional and partial)","2025","25-34 years","25-34","Other bacterial diseases","A30-A49",52,667496,7.8
,"Alabama","01","2025 (provisional and partial)","2025","35-44 years","35-44","Other bacterial diseases","A30-A49",138,641915,21.5
,"Alabama","01","2025 (provisional and partial)","2025","45-54 years","45-54","Other bacterial diseases","A30-A49",283,619567,45.7
,"Alabama","01","2025 (provisional and partial)","2025","55-64 years","55-64","Other bacterial diseases","A30-A49",652,649788,100.3
,"Alabama","01","2025 (provisional and partial)","2025","65-74 years","65-74","Other bacterial diseases","A30-A49",1144,560133,204.2
,"Alabama","01","2025 (provisional and partial)","2025","75-84 years","75-84","Other bacterial diseases","A30-A49",1120,303054,369.6
,"Alabama","01","2025 (provisional and partial)","2025","85+ years","85+","Other bacterial diseases","A30-A49",649,92714,700.0
,"Alaska","02","2018","2018","35-44 years","35-44","Other bacterial diseases","A30-A49",11,94650,Unreliable
,"Alaska","02","2018","2018","45-54 years","45-54","Other bacterial diseases","A30-A49",23,88117,26.1
,"Alaska","02","2018","2018","55-64 years","55-64","Other bacterial diseases","A30-A49",44,94602,46.5
,"Alaska","02","2018","2018","65-74 years","65-74","Other bacterial diseases","A30-A49",62,58555,105.9
,"Alaska","02","2018","2018","75-84 years","75-84","Other bacterial diseases","A30-A49",73,21603,337.9
,"Alaska","02","2018","2018","85+ years","85+","Other bacterial diseases","A30-A49",43,6853,627.5
,"Alaska","02","2019","2019","45-54 years","45-54","Other bacterial diseases","A30-A49",24,85130,28.2
,"Alaska","02","2019","2019","55-64 years","55-64","Other bacterial diseases","A30-A49",39,93339,41.8
,"Alaska","02","2019","2019","65-74 years","65-74","Other bacterial diseases","A30-A49",70,61300,114.2
,"Alaska","02","2019","2019","75-84 years","75-84","Other bacterial diseases","A30-A49",64,23107,277.0
,"Alaska","02","2019","2019","85+ years","85+","Other bacterial diseases","A30-A49",72,7181,1002.6
,"Alaska","02","2020","2020","35-44 years","35-44","Other bacterial diseases","A30-A49",18,98141,Unreliable
,"Alaska","02","2020","2020","45-54 years","45-54","Other bacterial diseases","A30-A49",17,83476,Unreliable
,"Alaska","02","2020","2020","55-64 years","55-64","Other bacterial diseases","A30-A49",48,91536,52.4
,"Alaska","02","2020","2020","65-74 years","65-74","Other bacterial diseases","A30-A49",77,64158,120.0
,"Alaska","02","2020","2020","75-84 years","75-84","Other bacterial diseases","A30-A49",70,24379,287.1
,"Alaska","02","2020","2020","85+ years","85+","Other bacterial diseases","A30-A49",52,7339,708.5
,"Alaska","02","2021","2021","35-44 years","35-44","Other bacterial diseases","A30-A49",18,101657,Unreliable
,"Alaska","02","2021","2021","45-54 years","45-54","Other bacterial diseases","A30-A49",40,83163,48.1
,"Alaska","02","2021","2021","55-64 years","55-64","Other bacterial diseases","A30-A49",55,90376,60.9
,"Alaska","02","2021","2021","65-74 years","65-74","Other bacterial diseases","A30-A49",74,66426,111.4
,"Alaska","02","2021","2021","75-84 years","75-84","Other bacterial diseases","A30-A49",78,24499,318.4
,"Alaska","02","2021","2021","85+ years","85+","Other bacterial diseases","A30-A49",55,6738,816.3
,"Alaska","02","2022","2022","25-34 years","25-34","Other bacterial diseases","A30-A49",10,113239,Unreliable
,"Alaska","02","2022","2022","35-44 years","35-44","Other bacterial diseases","A30-A49",15,103579,Unreliable
,"Alaska","02","2022","2022","45-54 years","45-54","Other bacterial diseases","A30-A49",27,82973,32.5
,"Alaska","02","2022","2022","55-64 years","55-64","Other bacterial diseases","A30-A49",76,87241,87.1
,"Alaska","02","2022","2022","65-74 years","65-74","Other bacterial diseases","A30-A49",102,67276,151.6
,"Alaska","02","2022","2022","75-84 years","75-84","Other bacterial diseases","A30-A49",92,27007,340.7
,"Alaska","02","2022","2022","85+ years","85+","Other bacterial diseases","A30-A49",59,7328,805.1
,"Alaska","02","2023","2023","35-44 years","35-44","Other bacterial diseases","A30-A49",18,105964,Unreliable
,"Alaska","02","2023","2023","45-54 years","45-54","Other bacterial diseases","A30-A49",31,82872,37.4
,"Alaska","02","2023","2023","55-64 years","55-64","Other bacterial diseases","A30-A49",63,85164,74.0
,"Alaska","02","2023","2023","65-74 years","65-74","Other bacterial diseases","A30-A49",103,69294,148.6
,"Alaska","02","2023","2023","75-84 years","75-84","Other bacterial diseases","A30-A49",87,28978,300.2
,"Alaska","02","2023","2023","85+ years","85+","Other bacterial diseases","A30-A49",42,7039,596.7
,"Alaska","02","2024 (provisional)","2024","35-44 years","35-44","Other bacterial diseases","A30-A49",10,109068,Unreliable
,"Alaska","02","2024 (provisional)","2024","45-54 years","45-54","Other bacterial diseases","A30-A49",17,83311,Unreliable
,"Alaska","02","2024 (provisional)","2024","55-64 years","55-64","Other bacterial diseases","A30-A49",51,83536,61.1
,"Alaska","02","2024 (provisional)","2024","65-74 years","65-74","Other bacterial diseases","A30-A49",96,70578,136.0
,"Alaska","02","2024 (provisional)","2024","75-84 years","75-84","Other bacterial diseases","A30-A49",90,31083,289.5
,"Alaska","02","2024 (provisional)","2024","85+ years","85+","Other bacterial diseases","A30-A49",48,7545,636.2
,"Alaska","02","2025 (provisional and partial)","2025","45-54 years","45-54","Other bacterial diseases","A30-A49",22,83311,26.4
,"Alaska","02","2025 (provisional and partial)","2025","55-64 years","55-64","Other bacterial diseases","A30-A49",37,83536,44.3
,"Alaska","02","2025 (provisional and partial)","2025","65-74 years","65-74","Other bacterial diseases","A30-A49",98,70578,138.9
,"Alaska","02","2025 (provisional and partial)","2025","75-84 years","75-84","Other bacterial diseases","A30-A49",67,31083,215.6
,"Alaska","02","2025 (provisional and partial)","2025","85+ years","85+","Other bacterial diseases","A30-A49",49,7545,649.4
,"Arizona","04","2018","2018","25-34 years","25-34","Other bacterial diseases","A30-A49",49,985845,5.0
,"Arizona","04","2018","2018","35-44 years","35-44","Other bacterial diseases","A30-A49",72,880431,8.2
,"Arizona","04","2018","2018","45-54 years","45-54","Other bacterial diseases","A30-A49",194,850790,22.8
,"Arizona","04","2018","2018","55-64 years","55-64","Other bacterial diseases","A30-A49",440,866277,50.8
,"Arizona","04","2018","2018","65-74 years","65-74","Other bacterial diseases","A30-A49",624,726162,85.9
,"Arizona","04","2018","2018","75-84 years","75-84","Other bacterial diseases","A30-A49",641,389813,164.4
,"Arizona","04","2018","2018","85+ years","85+","Other bacterial diseases","A30-A49",538,142275,378.1
,"Arizona","04","2019","2019","25-34 years","25-34","Other bacterial diseases","A30-A49",52,1007093,5.2
,"Arizona","04","2019","2019","35-44 years","35-44","Other bacterial diseases","A30-A49",82,896027,9.2
,"Arizona","04","2019","2019","45-54 years","45-54","Other bacterial diseases","A30-A49",177,852090,20.8
,"Arizona","04","2019","2019","55-64 years","55-64","Other bacterial diseases","A30-A49",402,880794,45.6
,"Arizona","04","2019","2019","65-74 years","65-74","Other bacterial diseases","A30-A49",599,751699,79.7
,"Arizona","04","2019","2019","75-84 years","75-84","Other bacterial diseases","A30-A49",641,411197,155.9
,"Arizona","04","2019","2019","85+ years","85+","Other bacterial diseases","A30-A49",426,145737,292.3
,"Arizona","04","2020","2020","25-34 years","25-34","Other bacterial diseases","A30-A49",65,1030830,6.3
,"Arizona","04","2020","2020","35-44 years","35-44","Other bacterial diseases","A30-A49",134,913916,14.7
,"Arizona","04","2020","2020","45-54 years","45-54","Other bacterial diseases","A30-A49",259,859684,30.1
,"Arizona","04","2020","2020","55-64 years","55-64","Other bacterial diseases","A30-A49",595,894909,66.5
,"Arizona","04","2020","2020","65-74 years","65-74","Other bacterial diseases","A30-A49",909,786905,115.5
,"Arizona","04","2020","2020","75-84 years","75-84","Other bacterial diseases","A30-A49",819,434972,188.3
,"Arizona","04","2020","2020","85+ years","85+","Other bacterial diseases","A30-A49",513,152098,337.3
,"Arizona","04","2021","2021","25-34 years","25-34","Other bacterial diseases","A30-A49",70,1001092,7.0
,"Arizona","04","2021","2021","35-44 years","35-44","Other bacterial diseases","A30-A49",187,915192,20.4
,"Arizona","04","2021","2021","45-54 years","45-54","Other bacterial diseases","A30-A49",322,847681,38.0
,"Arizona","04","2021","2021","55-64 years","55-64","Other bacterial diseases","A30-A49",725,879885,82.4
,"Arizona","04","2021","2021","65-74 years","65-74","Other bacterial diseases","A30-A49",968,783000,123.6
,"Arizona","04","2021","2021","75-84 years","75-84","Other bacterial diseases","A30-A49",849,416355,203.9
,"Arizona","04","2021","2021","85+ years","85+","Other bacterial diseases","A30-A49",491,133691,367.3
,"Arizona","04","2022","2022","25-34 years","25-34","Other bacterial diseases","A30-A49",64,1018332,6.3
,"Arizona","04","2022","2022","35-44 years","35-44","Other bacterial diseases","A30-A49",132,926056,14.3
,"Arizona","04","2022","2022","45-54 years","45-54","Other bacterial diseases","A30-A49",260,851890,30.5
,"Arizona","04","2022","2022","55-64 years","55-64","Other bacterial diseases","A30-A49",514,871963,58.9
,"Arizona","04","2022","2022","65-74 years","65-74","Other bacterial diseases","A30-A49",877,780707,112.3
,"Arizona","04","2022","2022","75-84 years","75-84","Other bacterial diseases","A30-A49",960,452319,212.2
,"Arizona","04","2022","2022","85+ years","85+","Other bacterial diseases","A30-A49",549,149360,367.6
,"Arizona","04","2023","2023","25-34 years","25-34","Other bacterial diseases","A30-A49",55,1027029,5.4
,"Arizona","04","2023","2023","35-44 years","35-44","Other bacterial diseases","A30-A49",118,943877,12.5
,"Arizona","04","2023","2023","45-54 years","45-54","Other bacterial diseases","A30-A49",198,858908,23.1
,"Arizona","04","2023","2023","55-64 years","55-64","Other bacterial diseases","A30-A49",495,879578,56.3
,"Arizona","04","2023","2023","65-74 years","65-74","Other bacterial diseases","A30-A49",836,804936,103.9
,"Arizona","04","2023","2023","75-84 years","75-84","Other bacterial diseases","A30-A49",894,480458,186.1
,"Arizona","04","2023","2023","85+ years","85+","Other bacterial diseases","A30-A49",580,149125,388.9
,"Arizona","04","2024 (provisional)","2024","25-34 years","25-34","Other bacterial diseases","A30-A49",54,1054834,5.1
,"Arizona","04","2024 (provisional)","2024","35-44 years","35-44","Other bacterial diseases","A30-A49",121,974538,12.4
,"Arizona","04","2024 (provisional)","2024","45-54 years","45-54","Other bacterial diseases","A30-A49",225,867692,25.9
,"Arizona","04","2024 (provisional)","2024","55-64 years","55-64","Other bacterial diseases","A30-A49",474,881030,53.8
,"Arizona","04","2024 (provisional)","2024","65-74 years","65-74","Other bacterial diseases","A30-A49",852,822752,103.6
,"Arizona","04","2024 (provisional)","2024","75-84 years","75-84","Other bacterial diseases","A30-A49",909,507360,179.2
,"Arizona","04","2024 (provisional)","2024","85+ years","85+","Other bacterial diseases","A30-A49",565,158340,356.8
,"Arizona","04","2025 (provisional and partial)","2025","25-34 years","25-34","Other bacterial diseases","A30-A49",43,1054834,4.1
,"Arizona","04","2025 (provisional and partial)","2025","35-44 years","35-44","Other bacterial diseases","A30-A49",100,974538,10.3
,"Arizona","04","2025 (provisional and partial)","2025","45-54 years","45-54","Other bacterial diseases","A30-A49",245,867692,28.2
,"Arizona","04","2025 (provisional and partial)","2025","55-64 years","55-64","Other bacterial diseases","A30-A49",465,881030,52.8
,"Arizona","04","2025 (provisional and partial)","2025","65-74 years","65-74","Other bacterial diseases","A30-A49",826,822752,100.4
,"Arizona","04","2025 (provisional and partial)","2025","75-84 years","75-84","Other bacterial diseases","A30-A49",964,507360,190.0
,"Arizona","04","2025 (provisional and partial)","2025","85+ years","85+","Other bacterial diseases","A30-A49",598,158340,377.7
,"Arkansas","05","2018","2018","25-34 years","25-34","Other bacterial diseases","A30-A49",19,396588,Unreliable
,"Arkansas","05","2018","2018","35-44 years","35-44","Other bacterial diseases","A30-A49",75,368518,20.4
,"Arkansas","05","2018","2018","45-54 years","45-54","Other bacterial diseases","A30-A49",179,368667,48.6
,"Arkansas","05","2018","2018","55-64 years","55-64","Other bacterial diseases","A30-A49",440,384467,114.4
,"Arkansas","05","2018","2018","65-74 years","65-74","Other bacterial diseases","A30-A49",584,296011,197.3
,"Arkansas","05","2018","2018","75-84 years","75-84","Other bacterial diseases","A30-A49",683,156799,435.6
,"Arkansas","05","2018","2018","85+ years","85+","Other bacterial diseases","A30-A49",537,59017,909.9
,"Arkansas","05","2019","2019","25-34 years","25-34","Other bacterial diseases","A30-A49",33,396868,8.3
,"Arkansas","05","2019","2019","35-44 years","35-44","Other bacterial diseases","A30-A49",55,370263,14.9
,"Arkansas","05","2019","2019","45-54 years","45-54","Other bacterial diseases","A30-A49",163,361582,45.1
,"Arkansas","05","2019","2019","55-64 years","55-64","Other bacterial diseases","A30-A49",435,385994,112.7
,"Arkansas","05","2019","2019","65-74 years","65-74","Other bacterial diseases","A30-A49",679,302829,224.2
,"Arkansas","05","2019","2019","75-84 years","75-84","Other bacterial diseases","A30-A49",727,161141,451.2
,"Arkansas","05","2019","2019","85+ years","85+","Other bacterial diseases","A30-A49",510,59912,851.2
,"Arkansas","05","2020","2020","25-34 years","25-34","Other bacterial diseases","A30-A49",44,398873,11.0
,"Arkansas","05","2020","2020","35-44 years","35-44","Other bacterial diseases","A30-A49",93,372730,25.0
,"Arkansas","05","2020","2020","45-54 years","45-54","Other bacterial diseases","A30-A49",226,358067,63.1
,"Arkansas","05","2020","2020","55-64 years","55-64","Other bacterial diseases","A30-A49",481,386200,124.5
,"Arkansas","05","2020","2020","65-74 years","65-74","Other bacterial diseases","A30-A49",779,310489,250.9
,"Arkansas","05","2020","2020","75-84 years","75-84","Other bacterial diseases","A30-A49",756,164712,459.0
,"Arkansas","05","2020","2020","85+ years","85+","Other bacterial diseases","A30-A49",561,61105,918.1
,"Arkansas","05","2021","2021","25-34 years","25-34","Other bacterial diseases","A30-A49",43,393643,10.9
,"Arkansas","05","2021","2021","35-44 years","35-44","Other bacterial diseases","A30-A49",138,379440,36.4
,"Arkansas","05","2021","2021","45-54 years","45-54","Other bacterial diseases","A30-A49",268,358491,74.8
,"Arkansas","05","2021","2021","55-64 years","55-64","Other bacterial diseases","A30-A49",605,384896,157.2
,"Arkansas","05","2021","2021","65-74 years","65-74","Other bacterial diseases","A30-A49",861,315422,273.0
,"Arkansas","05","2021","2021","75-84 years","75-84","Other bacterial diseases","A30-A49",775,158588,488.7
,"Arkansas","05","2021","2021","85+ years","85+","Other bacterial diseases","A30-A49",515,54091,952.1
,"Arkansas","05","2022","2022","25-34 years","25-34","Other bacterial diseases","A30-A49",34,397098,8.6
,"Arkansas","05","2022","2022","35-44 years","35-44","Other bacterial diseases","A30-A49",95,381818,24.9
,"Arkansas","05","2022","2022","45-54 years","45-54","Other bacterial diseases","A30-A49",248,358703,69.1
,"Arkansas","05","2022","2022","55-64 years","55-64","Other bacterial diseases","A30-A49",527,378312,139.3
,"Arkansas","05","2022","2022","65-74 years","65-74","Other bacterial diseases","A30-A49",857,314714,272.3
,"Arkansas","05","2022","2022","75-84 years","75-84","Other bacterial diseases","A30-A49",817,169325,482.5
,"Arkansas","05","2022","2022","85+ years","85+","Other bacterial diseases","A30-A49",542,58317,929.4
,"Arkansas","05","2023","2023","25-34 years","25-34","Other bacterial diseases","A30-A49",31,400366,7.7
,"Arkansas","05","2023","2023","35-44 years","35-44","Other bacterial diseases","A30-A49",76,387566,19.6
,"Arkansas","05","2023","2023","45-54 years","45-54","Other bacterial diseases","A30-A49",212,361836,58.6
,"Arkansas","05","2023","2023","55-64 years","55-64","Other bacterial diseases","A30-A49",508,375591,135.3
,"Arkansas","05","2023","2023","65-74 years","65-74","Other bacterial diseases","A30-A49",795,320139,248.3
,"Arkansas","05","2023","2023","75-84 years","75-84","Other bacterial diseases","A30-A49",820,174875,468.9
,"Arkansas","05","2023","2023","85+ years","85+","Other bacterial diseases","A30-A49",537,56280,954.2
,"Arkansas","05","2024 (provisional)","2024","25-34 years","25-34","Other bacterial diseases","A30-A49",29,404804,7.2
,"Arkansas","05","2024 (provisional)","2024","35-44 years","35-44","Other bacterial diseases","A30-A49",74,392801,18.8
,"Arkansas","05","2024 (provisional)","2024","45-54 years","45-54","Other bacterial diseases","A30-A49",177,364398,48.6
,"Arkansas","05","2024 (provisional)","2024","55-64 years","55-64","Other bacterial diseases","A30-A49",434,372526,116.5
,"Arkansas","05","2024 (provisional)","2024","65-74 years","65-74","Other bacterial diseases","A30-A49",754,324479,232.4
,"Arkansas","05","2024 (provisional)","2024","75-84 years","75-84","Other bacterial diseases","A30-A49",887,180366,491.8
,"Arkansas","05","2024 (provisional)","2024","85+ years","85+","Other bacterial diseases","A30-A49",559,57997,963.8
,"Arkansas","05","2025 (provisional and partial)","2025","25-34 years","25-34","Other bacterial diseases","A30-A49",20,404804,4.9
,"Arkansas","05","2025 (provisional and partial)","2025","35-44 years","35-44","Other bacterial diseases","A30-A49",73,392801,18.6
,"Arkansas","05","2025 (provisional and partial)","2025","45-54 years","45-54","Other bacterial diseases","A30-A49",180,364398,49.4
,"Arkansas","05","2025 (provisional and partial)","2025","55-64 years","55-64","Other bacterial diseases","A30-A49",465,372526,124.8
,"Arkansas","05","2025 (provisional and partial)","2025","65-74 years","65-74","Other bacterial diseases","A30-A49",787,324479,242.5
,"Arkansas","05","2025 (provisional and partial)","2025","75-84 years","75-84","Other bacterial diseases","A30-A49",811,180366,449.6
,"Arkansas","05","2025 (provisional and partial)","2025","85+ years","85+","Other bacterial diseases","A30-A49",532,57997,917.3
,"California","06","2018","2018","25-34 years","25-34","Other bacterial diseases","A30-A49",261,6043799,4.3
,"California","06","2018","2018","35-44 years","35-44","Other bacterial diseases","A30-A49",542,5255671,10.3
,"California","06","2018","2018","45-54 years","45-54","Other bacterial diseases","A30-A49",1425,5071974,28.1
,"California","06","2018","2018","55-64 years","55-64","Other bacterial diseases","A30-A49",3447,4781226,72.1
,"California","06","2018","2018","65-74 years","65-74","Other bacterial diseases","A30-A49",4858,3285414,147.9
,"California","06","2018","2018","75-84 years","75-84","Other bacterial diseases","A30-A49",5556,1640026,338.8
,"California","06","2018","2018","85+ years","85+","Other bacterial diseases","A30-A49",6149,743585,826.9
,"California","06","2019","2019","25-34 years","25-34","Other bacterial diseases","A30-A49",282,6052952,4.7
,"California","06","2019","2019","35-44 years","35-44","Other bacterial diseases","A30-A49",555,5282100,10.5
,"California","06","2019","2019","45-54 years","45-54","Other bacterial diseases","A30-A49",1385,4979745,27.8
,"California","06","2019","2019","55-64 years","55-64","Other bacterial diseases","A30-A49",3344,4786635,69.9
,"California","06","2019","2019","65-74 years","65-74","Other bacterial diseases","A30-A49",4807,3386670,141.9
,"California","06","2019","2019","75-84 years","75-84","Other bacterial diseases","A30-A49",5527,1701599,324.8
,"California","06","2019","2019","85+ years","85+","Other bacterial diseases","A30-A49",5816,749846,775.6
,"California","06","2020","2020","25-34 years","25-34","Other bacterial diseases","A30-A49",346,6017057,5.8
,"California","06","2020","2020","35-44 years","35-44","Other bacterial diseases","A30-A49",801,5305749,15.1
,"California","06","2020","2020","45-54 years","45-54","Other bacterial diseases","A30-A49",1886,4910948,38.4
,"California","06","2020","2020","55-64 years","55-64","Other bacterial diseases","A30-A49",4338,4762421,91.1
,"California","06","2020","2020","65-74 years","65-74","Other bacterial diseases","A30-A49",6407,3469545,184.7
,"California","06","2020","2020","75-84 years","75-84","Other bacterial diseases","A30-A49",6506,1750249,371.7
,"California","06","2020","2020","85+ years","85+","Other bacterial diseases","A30-A49",6558,756372,867.0
,"California","06","2021","2021","25-34 years","25-34","Other bacterial diseases","A30-A49",433,5839642,7.4
,"California","06","2021","2021","35-44 years","35-44","Other bacterial diseases","A30-A49",1076,5406441,19.9
,"California","06","2021","2021","45-54 years","45-54","Other bacterial diseases","A30-A49",2310,4927546,46.9
,"California","06","2021","2021","55-64 years","55-64","Other bacterial diseases","A30-A49",5151,4777732,107.8
,"California","06","2021","2021","65-74 years","65-74","Other bacterial diseases","A30-A49",7365,3558013,207.0
,"California","06","2021","2021","75-84 years","75-84","Other bacterial diseases","A30-A49",7073,1721688,410.8
,"California","06","2021","2021","85+ years","85+","Other bacterial diseases","A30-A49",6168,677391,910.6
,"California","06","2022","2022","25-34 years","25-34","Other bacterial diseases","A30-A49",358,5747351,6.2
,"California","06","2022","2022","35-44 years","35-44","Other bacterial diseases","A30-A49",771,5390648,14.3
,"California","06","2022","2022","45-54 years","45-54","Other bacterial diseases","A30-A49",1746,4870281,35.9
,"California","06","2022","2022","55-64 years","55-64","Other bacterial diseases","A30-A49",4062,4687309,86.7
,"California","06","2022","2022","65-74 years","65-74","Other bacterial diseases","A30-A49",6529,3560888,183.4
,"California","06","2022","2022","75-84 years","75-84","Other bacterial diseases","A30-A49",7015,1855432,378.1
,"California","06","2022","2022","85+ years","85+","Other bacterial diseases","A30-A49",6396,739427,865.0
,"California","06","2023","2023","25-34 years","25-34","Other bacterial diseases","A30-A49",334,5671757,5.9
,"California","06","2023","2023","35-44 years","35-44","Other bacterial diseases","A30-A49",748,5449760,13.7
,"California","06","2023","2023","45-54 years","45-54","Other bacterial diseases","A30-A49",1477,4847348,30.5
,"California","06","2023","2023","55-64 years","55-64","Other bacterial diseases","A30-A49",3700,4676328,79.1
,"California","06","2023","2023","65-74 years","65-74","Other bacterial diseases","A30-A49",6200,3660975,169.4
,"California","06","2023","2023","75-84 years","75-84","Other bacterial diseases","A30-A49",6854,1946723,352.1
,"California","06","2023","2023","85+ years","85+","Other bacterial diseases","A30-A49",6321,704235,897.6
,"California","06","2024 (provisional)","2024","25-34 years","25-34","Other bacterial diseases","A30-A49",315,5716113,5.5
,"California","06","2024 (provisional)","2024","35-44 years","35-44","Other bacterial diseases","A30-A49",717,5588789,12.8
,"California","06","2024 (provisional)","2024","45-54 years","45-54","Other bacterial diseases","A30-A49",1515,4857450,31.2
,"California","06","2024 (provisional)","2024","55-64 years","55-64","Other bacterial diseases","A30-A49",3368,4677285,72.0
,"California","06","2024 (provisional)","2024","65-74 years","65-74","Other bacterial diseases","A30-A49",5943,3745476,158.7
,"California","06","2024 (provisional)","2024","75-84 years","75-84","Other bacterial diseases","A30-A49",6995,2047655,341.6
,"California","06","2024 (provisional)","2024","85+ years","85+","Other bacterial diseases","A30-A49",6092,728742,836.0
,"California","06","2025 (provisional and partial)","2025","25-34 years","25-34","Other bacterial diseases","A30-A49",276,5716113,4.8
,"California","06","2025 (provisional and partial)","2025","35-44 years","35-44","Other bacterial diseases","A30-A49",712,5588789,12.7
,"California","06","2025 (provisional and partial)","2025","45-54 years","45-54","Other bacterial diseases","A30-A49",1376,4857450,28.3
